行	種別	語根	基礎表記	グループ順位	グループ件数	F	識別子	上付き識別子	識別子付き表記	判定根拠
268	content	okaz	生	2	3	28	o	ᴼ	生ᴼ	頭文字唯一
269	content	parol	话	1	2	73			话	基本形
270	content	patr	父	1	1	61			父	単独
271	content	pet	求	1	2	39			求	基本形
272	content	plen	满	1	2	150			满	基本形
273	content	port	运	1	2	71			运	基本形
274	content	pov	能	1	4	59			能	基本形
275	content	pren	拿	1	1	57			拿	単独
276	content	proksim	近	1	2	28			近	基本形
277	content	rapid	速	1	2	75			速	基本形
278	content	respond	答	1	1	28			答	単独
279	content	riĉ	富	1	1	69			富	単独
280	content	ricev	收	1	2	23			收	基本形
281	content	rid	笑	1	2	31			笑	基本形
282	content	ruĝ	红	1	1	68			红	単独
283	content	ŝajn	像	1	2	34			像	基本形
284	content	sam	同	1	3	86			同	基本形
285	content	sci	知	1	1	46			知	単独
286	content	sekv	随	1	2	34			随	基本形
287	content	send	送	1	2	41			送	基本形
288	content	sid	坐	1	1	52			坐	単独
289	content	sinjor	君	1	1	16			君	単独
290	content	skrib	书	1	2	104			书	基本形
291	content	star	立	1	1	52			立	単独
292	content	tag	日	1	2	80			日	基本形
293	content	temp	时	1	1	113			时	単独
294	content	ten	持	1	1	92			持	単独
295	content	ter	地	1	3	142			地	基本形
296	content	tut	整	1	2	38			整	基本形
297	content	ven	来	1	1	79			来	単独
298	content	vetur	乘	1	2	72			乘	基本形
299	content	vid	见	1	1	84			见	単独
300	content	vir	男	1	1	64			男	単独
301	content	viv	活	1	3	147			活	基本形
302	content	voj	路	1	3	132			路	基本形
303	content	vol	愿	1	3	48			愿	基本形
304	content	vort	词	1	2	87			词	基本形
305	content	daŭr	续	1	1	40			续	単独
306	content	kolekt	集	1	3	40			集	基本形
307	content	nul	零	1	1	19			零	単独
308	content	aĉet	买	1	1	26			买	単独
309	content	akv	水	1	1	201			水	単独
310	content	arb	树	1	1	150			树	単独
311	content	art	艺	1	2	81			艺	基本形
312	content	atend	待	1	1	15			待	単独
313	content	aŭd	听	1	2	29			听	基本形
314	content	bat	打	1	2	67			打	基本形
315	content	bezon	需	1	1	12			需	単独
316	content	bild	画	1	1	46			画	単独
317	content	bird	鸟	1	1	63			鸟	単独
318	content	blank	白	1	1	68			白	単独
319	content	brul	燃	1	1	73			燃	単独
320	content	buŝ	口	1	2	33			口	基本形
321	content	cert	确	1	4	18			确	基本形
322	content	dank	谢	1	1	26			谢	単独
323	content	dekstr	右	1	1	43			右	単独
324	content	dolĉ	甘	1	1	32			甘	単独
325	content	dom	屋	1	1	80			屋	単独
326	content	dorm	睡	1	2	46			睡	基本形
327	content	edz	夫	1	1	74			夫	単独
328	content	fal	落	1	1	67			落	単独
329	content	famili	家	3	3	24	f	ᶠ	家ᶠ	頭文字唯一
330	content	fenestr	窗	1	2	35			窗	基本形
331	content	ferm	闭	1	1	56			闭	単独
332	content	fil	儿	1	1	44			儿	単独
333	content	fingr	指	1	2	35			指	基本形
334	content	flug	飞	1	1	71			飞	単独
335	content	frat	兄	1	1	30			兄	単独
336	content	fraŭl	单	1	2	8			单	基本形
337	content	frukt	果	1	4	65			果	基本形
338	content	har	毛	1	2	82			毛	基本形
339	content	hejm	家	2	3	42	h	ᴴ	家ᴴ	頭文字唯一
340	content	hor	钟	1	1	41			钟	単独
341	content	interes	趣	1	1	22			趣	単独
342	content	ĵet	投	1	1	67			投	単独
343	content	kant	唱	1	2	49			唱	基本形
344	content	knab	郎	1	1	16			郎	単独
345	content	kolor	色	1	3	106			色	基本形
346	content	konsil	议	1	4	27			议	基本形
347	content	konstru	建	1	2	51			建	基本形
348	content	kost	费	1	1	21			费	単独
349	content	kresk	育	1	1	43			育	単独
350	content	kri	叫	1	1	32			叫	単独
351	content	kuraĝ	勇	1	2	19			勇	基本形
352	content	kur	跑	1	1	63			跑	単独
353	content	las	留	1	1	56			留	単独
354	content	leter	信	2	5	45	l	ᴸ	信ᴸ	頭文字唯一
355	content	libr	书	2	2	93	l	ᴸ	书ᴸ	頭文字唯一
356	content	lingv	语	1	2	188			语	基本形
357	content	lit	床	1	1	68			床	単独
358	content	lum	光	1	1	135			光	単独
359	content	manĝ	食	1	1	86			食	単独
360	content	mank	缺	1	1	29			缺	単独
361	content	mar	海	1	1	167			海	単独
362	content	maten	晨	1	1	23			晨	単独
363	content	memor	记	1	4	51			记	基本形
364	content	mir	惊	1	2	19			惊	基本形
365	content	mon	钱	1	1	78			钱	単独
366	content	mont	山	1	1	67			山	単独
367	content	mur	壁	1	1	39			壁	単独
368	content	nask	生	1	3	68			生	基本形
369	content	neces	必	1	2	18			必	基本形
370	content	nigr	黑	1	1	60			黑	単独
371	content	okul	目	1	1	67			目	単独
372	content	okup	占	1	1	17			占	単独
373	content	pac	和	1	3	47			和	基本形
374	content	pag	付	1	1	69			付	単独
375	content	part	部	1	3	49			部	基本形
376	content	pas	过	1	2	54			过	基本形
377	content	pec	片	1	1	35			片	単独
378	content	pens	思	1	2	49			思	基本形
379	content	perd	失	1	1	21			失	単独
380	content	permes	许	1	1	21			许	単独
381	content	person	人	2	3	30	p	ᴾ	人ᴾ	頭文字唯一
382	content	pied	足	1	1	81			足	単独
383	content	popol	民	1	3	38			民	基本形
384	content	pord	门	1	1	37			门	単独
385	content	prem	压	1	1	102			压	単独
386	content	prezent	呈	1	1	27			呈	単独
387	content	propr	己	2	3	32	p	ᴾ	己ᴾ	頭文字唯一
388	content	prov	试	1	1	42			试	単独
389	content	punkt	点	1	3	69			点	基本形
390	content	pur	纯	1	1	48			纯	単独
391	content	rajt	权	1	2	62			权	基本形
392	content	rakont	述	1	2	15			述	基本形
393	content	reg	治	1	1	55			治	単独
394	content	renkont	遇	1	1	10			遇	単独
395	content	rigard	看	1	1	44			看	単独
396	content	rimark	觉	2	2	11	r	ᴿ	觉ᴿ	頭文字唯一
397	content	ŝanĝ	变	1	2	62			变	基本形
398	content	semajn	周	1	1	25			周	単独
399	content	sent	感	1	2	52			感	基本形
400	content	serĉ	寻	1	1	22			寻	単独
401	content	simpl	简	1	2	21			简	基本形
402	content	sol	唯	1	1	29			唯	単独
403	content	son	声	1	3	95			声	基本形
404	content	sun	阳	1	1	65			阳	単独
405	content	tabl	桌	1	1	45			桌	単独
406	content	tim	怕	1	1	44			怕	単独
407	content	tir	拉	1	1	75			拉	単独
408	content	trankvil	静	2	2	18	t	ᵀ	静ᵀ	頭文字唯一
409	content	trink	饮	1	2	26			饮	基本形
410	content	turn	转	1	2	62			转	基本形
411	content	urb	市	1	5	72			市	基本形
412	content	uz	用	1	2	54			用	基本形
413	content	valor	值	2	3	58	v	ⱽ	值ⱽ	頭文字唯一
414	content	varm	暖	1	1	136			暖	単独
415	content	vent	风	1	3	81			风	基本形
416	content	ver	真	1	1	33			真	単独
417	content	vesper	晚	1	1	28			晚	単独
418	content	vest	衣	1	1	70			衣	単独
419	content	vizaĝ	颜	1	2	15			颜	基本形
420	content	vojaĝ	旅	1	2	42			旅	基本形
421	content	fru	早	1	1	48			早	単独
422	content	aer	气	1	5	95			气	基本形
423	content	aĝ	岁	1	1	41			岁	単独
424	content	agrabl	快	1	1	10			快	単独
425	content	akcept	受	1	1	14			受	単独
426	content	amas	堆	1	1	44			堆	単独
427	content	aper	现	2	6	19	a	ᴬ	现ᴬ	同頭文字初出/頭文字単独
428	content	atent	注	1	3	16			注	基本形
429	content	aŭskult	听	2	2	12	as	ᴬˢ	听ᴬˢ	子音位置2
430	content	aŭtun	秋	1	1	12			秋	単独
431	content	best	兽	1	2	49			兽	基本形
432	content	blu	蓝	1	1	41			蓝	単独
433	content	bril	亮	1	2	30			亮	基本形
434	content	cel	标	1	2	46			标	基本形
435	content	dent	齿	1	1	95			齿	単独
436	content	dik	厚	1	1	39			厚	単独
437	content	direkt	方	1	4	34			方	基本形
438	content	divers	杂	1	1	24			杂	単独
439	content	dolor	痛	1	1	42			痛	単独
440	content	dub	疑	1	2	23			疑	基本形
441	content	elekt	选	1	2	39			选	基本形
442	content	erar	错	1	1	32			错	単独
443	content	esper	望	1	1	28			望	単独
444	content	fiŝ	鱼	1	2	83			鱼	基本形
445	content	flor	花	1	1	87			花	単独
446	content	forges	忘	1	1	13			忘	単独
447	content	fremd	异	1	2	19			异	基本形
448	content	gaj	欢	1	1	27			欢	単独
449	content	ĝarden	园	1	2	39			园	基本形
450	content	gazet	报	1	5	30			报	基本形
451	content	glas	杯	1	3	15			杯	基本形
452	content	ĝust	正	2	3	21	ĝ	ᴳ̂	正ᴳ̂	頭文字唯一
453	content	histori	史	1	1	32			史	単独
454	content	hund	犬	1	1	60			犬	単独
455	content	ide	意	2	4	31	i	ᴵ	意ᴵ	同頭文字初出/頭文字単独
456	content	kalkul	算	1	3	48			算	基本形
457	content	kapt	捕	1	1	42			捕	単独
458	content	kar	亲	1	4	16			亲	基本形
459	content	kaŝ	藏	1	1	50			藏	単独
460	content	kat	猫	1	1	27			猫	単独
461	content	kaŭz	因	3	4	18	k	ᴷ	因ᴷ	頭文字唯一
462	content	koler	怒	1	1	18			怒	単独
463	content	komerc	商	1	2	48			商	基本形
464	content	komun	共	2	3	53	km	ᴷᴹ	共ᴷᴹ	子音位置1
465	content	konduk	导	1	3	35			导	基本形
466	content	konsent	赞	1	3	24			赞	基本形
467	content	kontent	满	2	2	18	k	ᴷ	满ᴷ	頭文字唯一
468	content	korp	体	1	3	44			体	基本形
469	content	kovr	盖	1	1	51			盖	単独
470	content	kuir	烹	1	2	41			烹	基本形
471	content	kuŝ	躺	1	1	24			躺	単独
472	content	lac	疲	1	1	16			疲	単独
473	content	lakt	乳	1	2	48			乳	基本形
474	content	larĝ	宽	1	2	29			宽	基本形
475	content	lav	洗	1	2	39			洗	基本形
476	content	lig	结	1	4	49			结	基本形
477	content	lud	玩	1	2	87			玩	基本形
478	content	mark	标	2	2	37	m	ᴹ	标ᴹ	頭文字唯一
479	content	mez	中	1	2	92			中	基本形
480	content	minut	分	5	5	7	mn	ᴹᴺ	分ᴹᴺ	子音位置1
481	content	monat	月	2	2	26	m	ᴹ	月ᴹ	頭文字唯一
482	content	natur	然	1	1	66			然	単独
483	content	naz	鼻	1	1	37			鼻	単独
484	content	neĝ	雪	1	1	51			雪	単独
485	content	nokt	夜	1	1	61			夜	単独
486	content	nub	云	1	1	24			云	単独
487	content	onkl	叔	1	1	6			叔	単独
488	content	opini	想	1	3	23			想	基本形
489	content	orel	耳	1	1	33			耳	単独
490	content	pan	包	1	4	54			包	基本形
491	content	paper	纸	1	1	89			纸	単独
492	content	pardon	恕	1	1	11			恕	単独
493	content	plor	哭	1	1	18			哭	単独
494	content	pluv	雨	1	1	52			雨	単独
495	content	pret	备	1	3	28			备	基本形
496	content	printemp	春	1	1	11			春	単独
497	content	ripoz	休	1	1	12			休	単独
498	content	river	河	1	1	25			河	単独
499	content	romp	破	1	2	69			破	基本形
500	content	salut	问	3	3	15	s	ˢ	问ˢ	頭文字唯一
501	content	san	健	1	1	92			健	単独
502	content	sat	饱	1	1	27			饱	単独
503	content	seĝ	椅	1	1	34			椅	単独
504	content	serv	务	1	2	81			务	基本形
505	content	silent	默	1	1	25			默	単独
506	content	ŝip	船	1	1	118			船	単独
507	content	somer	夏	1	1	30			夏	単独
508	content	ŝton	石	1	2	95			石	基本形
509	content	strat	街	1	1	29			街	単独
510	content	sufiĉ	够	1	1	13			够	単独
511	content	tranĉ	切	1	1	52			切	単独
512	content	tuŝ	触	1	1	40			触	単独
513	content	util	益	1	1	28			益	単独
514	content	vend	卖	1	1	59			卖	単独
515	content	verd	绿	1	1	49			绿	単独
516	content	vintr	冬	1	1	25			冬	単独
517	content	vok	呼	1	1	29			呼	単独
518	content	zorg	护	1	3	28			护	基本形
519	content	ag	办	1	3	55			办	基本形
520	content	ating	到	1	1	11			到	単独
521	content	ban	浴	1	1	42			浴	単独
522	content	decid	决	1	2	37			决	基本形
523	content	ekzist	存	2	3	14	e	ᴱ	存ᴱ	頭文字唯一
524	content	fiks	定	1	4	38			定	基本形
525	content	flu	流	1	1	85			流	単独
526	content	grup	团	2	5	26	g	ᴳ	团ᴳ	頭文字唯一
527	content	instru	教	1	3	40			教	基本形
528	content	invit	邀	1	1	14			邀	単独
529	content	klas	级	1	2	30			级	基本形
530	content	mol	软	1	1	40			软	単独
531	content	paĝ	页	1	1	15			页	単独
532	content	pend	挂	1	1	43			挂	単独
533	content	pez	重	1	3	50			重	基本形
534	content	plaĉ	悦	1	1	13			悦	単独
535	content	poŝt	邮	1	2	56			邮	基本形
536	content	puŝ	推	1	3	48			推	基本形
537	content	saĝ	智	1	3	22			智	基本形
538	content	ŝat	喜	2	2	15	ŝ	ˢ̂	喜ˢ̂	頭文字唯一
539	content	simil	似	1	1	16			似	単独
540	content	stud	研	1	1	19			研	単独
541	content	sukces	成	2	3	19	s	ˢ	成ˢ	頭文字唯一
542	content	verk	作	1	2	37			作	基本形
543	content	vizit	访	1	2	19			访	基本形
544	content	dio,Di	神	3	3	0	do	ᴰᴼ	神ᴰᴼ	母音補完/全文字位置2
545	content	precip	主	4	6	3	pc	ᴾᶜ	主ᴾᶜ	子音位置2
546	content	supr	顶	1	4	58			顶	基本形
547	content	bedaŭr	憾	1	1	9			憾	単独
548	content	gvid	导	2	3	29	g	ᴳ	导ᴳ	頭文字唯一
549	content	miks	混	1	1	43			混	単独
550	content	par	偶	1	4	32			偶	基本形
551	content	publik	公	1	2	46			公	基本形
552	content	spert	验	1	2	21			验	基本形
553	content	te	茶	1	1	41			茶	単独
554	content	trov	找	1	1	22			找	単独
555	content	venk	胜	1	1	32			胜	単独
556	content	volv	卷	2	4	42	v	ⱽ	卷ⱽ	頭文字唯一
557	content	afabl	善	1	1	14			善	単独
558	content	ĉeval	马	1	1	51			马	単独
559	content	halt	停	1	1	32			停	単独
560	content	kort	院	1	5	19			院	基本形
561	content	postul	求	2	2	16	ps	ᴾˢ	求ᴾˢ	子音位置1
562	content	rimed	法	3	3	14	r	ᴿ	法ᴿ	頭文字唯一
563	content	dat	期	1	3	49			期	基本形
564	content	angul	角	1	3	85			角	基本形
565	content	apart	独	1	2	13			独	基本形
566	content	av	爷	1	1	10			爷	単独
567	content	batal	战	2	2	45	b	ᴮ	战ᴮ	頭文字唯一
568	content	bord	岸	1	1	18			岸	単独
569	content	brak	臂	1	1	28			臂	単独
570	content	bru	噪	1	1	27			噪	単独
571	content	ĉapel	帽	1	2	22			帽	基本形
572	content	ekzempl	例	1	2	9			例	基本形
573	content	fajr	火	1	1	61			火	単独
574	content	fer	铁	1	1	66			铁	単独
575	content	fest	庆	1	2	31			庆	基本形
576	content	frap	敲	1	1	45			敲	単独
577	content	gajn	赢	1	1	11			赢	単独
578	content	hel	亮	2	2	27	h	ᴴ	亮ᴴ	頭文字唯一
579	content	intern	内	2	2	32	i	ᴵ	内ᴵ	頭文字唯一
580	content	just	公	2	2	18	j	ᴶ	公ᴶ	頭文字唯一
581	content	kol	颈	1	1	36			颈	単独
582	content	kutim	习	1	1	25			习	単独
583	content	lign	木	1	1	51			木	単独
584	content	lini	线	1	2	85			线	基本形
585	content	mezur	测	1	1	57			测	単独
