類型	層A	語A	面A	層B	語B	面B
転置(恣意的)	PEJVO	dek-tria	十-三	PEJVO	tridek	三十
転置(恣意的)	PEJVO	diaj^o	神物	PEJVO	fetic^o	物神
転置(恣意的)	PEJVO	dratradio	线ᴰ射ᴿ	PEJVO	paflinio	射线
転置(恣意的)	PEJVO	ekbatali	始战ᴮ	PEJVO	militkomenco	战始ᴷ
転置(恣意的)	PEJVO	familiareco	熟ᶠ性	PEJVO	seksmatura	性ˢ熟
転置(恣意的)	PEJVO	familinomo	家ᶠ名	PEJVO	nominalisto	名ᴺᴺ家
転置(恣意的)	PEJVO	filantropio	爱ᶠ人ᴬ	PEJVO	homama	人爱
転置(恣意的)	PEJVO	fundamentisto	基ᶠ家	PEJVO	hejmbazo	家ᴴ基
転置(恣意的)	PEJVO	futbaltereno	球ᶠ地ᵀᴺ	PEJVO	tergloba	地球ᴳ
転置(恣意的)	PEJVO	geodezio	测地	PEJVO	geometria	地ᴳ测ᴹᵀ
転置(恣意的)	PEJVO	geodezio	测地	PEJVO	geometro	地ᴳ测ᴹᴱ
転置(恣意的)	PEJVO	geodezio	测地	PEJVO	termezuri	地测
転置(恣意的)	PEJVO	grafito	石墨	PEJVO	tuc^s^tono	墨ᵀ石
転置(恣意的)	PEJVO	hararang^o	毛整ᴬ	PEJVO	tutlana	整毛ᴸ
転置(恣意的)	PEJVO	hejmlando	家ᴴ国	PEJVO	s^tatisto	国ˢ̂家
転置(恣意的)	PEJVO	hejmtasko	家ᴴ务ᵀ	PEJVO	servisto	务家
転置(恣意的)	PEJVO	hejmurbo	家ᴴ市	PEJVO	merkatisto	市ᴹ家
転置(恣意的)	PEJVO	impotenta	性无能	PEJVO	senenergieco	无能ᴱ性
転置(恣意的)	PEJVO	jahurto	酸乳ᴶᴴ	PEJVO	laktacido	乳酸
転置(恣意的)	PEJVO	jamba	抑扬	PEJVO	trokea	扬抑
転置(恣意的)	PEJVO	jogurto	酸乳	PEJVO	laktacido	乳酸
転置(恣意的)	PEJVO	kapflanko	头侧	PEJVO	tempio	侧头
転置(恣意的)	PEJVO	konfekcia	成衣	PEJVO	vestig^i	衣成
転置(恣意的)	PEJVO	kontentig^i	满ᴷ成	PEJVO	sukcesplena	成ˢ满
転置(恣意的)	PEJVO	kulpeco	罪性	PEJVO	sekskrimo	性ˢ罪ᴷᴿ
転置(恣意的)	PEJVO	langeto	舌小	PEJVO	uvula	小舌
転置(恣意的)	PEJVO	megalita	巨ᴹᴱ石ᴸᵀ	PEJVO	s^tonego	石巨
転置(恣意的)	PEJVO	preskripto	时效ᴾ	PEJVO	validtempo	效ⱽ时
転置(恣意的)	PEJVO	skitereno	滑ˢ地ᵀᴺ	PEJVO	terglito	地滑
転置(恣意的)	PEJVO	uzukapi	时效	PEJVO	validtempo	效ⱽ时
高重複(恣意的)	PEJVO	abateco	院长性	PEJVO	priorejo	院长ᴾ所
高重複(恣意的)	PEJVO	abateco	院长性	PEJVO	priorino	院长ᴾ女
高重複(恣意的)	PEJVO	abatejo	院长所	PEJVO	priorino	院长ᴾ女
高重複(恣意的)	PEJVO	abatino	院长女	PEJVO	priorejo	院长ᴾ所
高重複(恣意的)	PEJVO	aboliciismo	废ᴬᶜ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	aboliciismo	废ᴬᶜ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	aboliciismo	废ᴬᶜ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	absolutismo	绝主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	absolutismo	绝主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	absolutismo	绝主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	abstraktismo	抽主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	abstraktismo	抽主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	abstraktismo	抽主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	agavbrando	龙舌兰酒ᴮᴺ	PEJVO	jukao	龙舌兰ᴶ
高重複(恣意的)	PEJVO	agavbrando	龙舌兰酒ᴮᴺ	PEJVO	tuberoso	龙舌兰ᵀ
高重複(恣意的)	PEJVO	agavvino	龙舌兰酒	PEJVO	jukao	龙舌兰ᴶ
高重複(恣意的)	PEJVO	agavvino	龙舌兰酒	PEJVO	tuberoso	龙舌兰ᵀ
高重複(恣意的)	PEJVO	aktivismo	活ᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	aktivismo	活ᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	aktivismo	活ᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	albinismo	白ᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	albinismo	白ᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	albinismo	白ᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	alfa-diserig^o	alfa-散粒成	PEJVO	disgrajnigi	散粒ᴳ使
高重複(恣意的)	PEJVO	alkoholismo	醇主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	altruisma	他ᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	altruisma	他ᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	altruisma	他ᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ambau^seksema	两性ˢ倾	PEJVO	hermafroditeco	两ᴴ性ᴬᶠ性
高重複(恣意的)	PEJVO	anemiemo	无ᴬ血ᴱ倾	PEJVO	sensangigi	无血使
高重複(恣意的)	PEJVO	anestezaj^o	无ᴬ感ᴱ物	PEJVO	sensensigi	无感ˢˢ使
高重複(恣意的)	PEJVO	anestezilo	无ᴬ感ᴱ具	PEJVO	sensensigi	无感ˢˢ使
高重複(恣意的)	PEJVO	anestezisto	无ᴬ感ᴱ家	PEJVO	sensensigi	无感ˢˢ使
高重複(恣意的)	PEJVO	animismo	魂主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	animismo	魂主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	animismo	魂主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	antagonismo	敌ᴬᴺ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	antagonismo	敌ᴬᴺ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	antagonismo	敌ᴬᴺ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	antikvaj^isto	古物家	PEJVO	arh^eologo	古ᴬᴴ̂学家
高重複(恣意的)	PEJVO	antikvaj^isto	古物家	PEJVO	arkeologo	古ᴬᴼ学家
高重複(恣意的)	PEJVO	apartismo	独ᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	apartismo	独ᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	apartismo	独ᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	apatiulo	无ᴬ情者	PEJVO	senemocieco	无情ᴱ性
高重複(恣意的)	PEJVO	arh^aismo	古ᴬᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	arh^aismo	古ᴬᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	arh^aismo	古ᴬᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PEJVO	estetikisto	美学家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PEJVO	kemiisto	化学家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PEJVO	matematikisto	数学家
高重複(恣意的)	PEJVO	arh^eologo	古ᴬᴴ̂学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	arkaismo	古ᴬᴿ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	arkaismo	古ᴬᴿ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	arkaismo	古ᴬᴿ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PEJVO	estetikisto	美学家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PEJVO	kemiisto	化学家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PEJVO	matematikisto	数学家
高重複(恣意的)	PEJVO	arkeologo	古ᴬᴼ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	artismo	艺主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	artismo	艺主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	artismo	艺主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	atavismo	祖主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	atavismo	祖主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	atavismo	祖主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ateista	无ᴬ神ᵀ家	PEJVO	sendieco	无神性
高重複(恣意的)	PEJVO	atomismo	子ᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	atomismo	子ᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	atomismo	子ᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	au^tismo	自ᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	au^tismo	自ᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	au^tismo	自ᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	au^tonomeco	自治性	PEJVO	memregado	自治行
高重複(恣意的)	PEJVO	au^tonomeco	自治性	PEJVO	memreganta	自治在
高重複(恣意的)	PEJVO	aventurismo	冒主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	aventurismo	冒主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	aventurismo	冒主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	barbarismo	蛮主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	barbarismo	蛮主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	barbarismo	蛮主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	baritono	男中音	PEJVO	tenora	男高音
高重複(恣意的)	PEJVO	bergamotoleo	香柑ᴮ油	PEJVO	cedratujo	香柑器
高重複(恣意的)	PEJVO	beta-diserig^o	beta-散粒成	PEJVO	disgrajnigi	散粒ᴳ使
高重複(恣意的)	PEJVO	bigoteco	偏执性	PEJVO	paranojulo	偏执ᴾ者
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PEJVO	estetikisto	美学家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PEJVO	kemiisto	化学家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PEJVO	matematikisto	数学家
高重複(恣意的)	PEJVO	biologo	生ᴮᴼ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	brizeto	微风小	PEJVO	zefirlano	微风ᶻ毛ᴸ
高重複(恣意的)	PEJVO	bromismo	卤ᴮ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	bromismo	卤ᴮ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	bromismo	卤ᴮ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	budaismo	佛ᴮᴬ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	budaismo	佛ᴮᴬ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	budaismo	佛ᴮᴬ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	budhismo	佛主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	budhismo	佛主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	budhismo	佛主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	burokratismo	官ᴮ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	burokratismo	官ᴮ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	burokratismo	官ᴮ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	buterfungo	黄油菌	PEJVO	kantarelo	鸡油菌
高重複(恣意的)	PEJVO	buterujo	黄油器	PEJVO	latuninstrumento	黄铜器ᴵ
高重複(恣意的)	PEJVO	c^arlatanismo	骗ᶜ̂主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	c^arlatanismo	骗ᶜ̂主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	c^arlatanismo	骗ᶜ̂主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	carismo	帝ᶜ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	carismo	帝ᶜ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	cekuminflamo	盲肠炎ᴵ	PEJVO	kojlito	结肠炎ᵀ
高重複(恣意的)	PEJVO	celismo	标主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	cidoniarbo	木瓜ᶜ树	PEJVO	papajfrukto	木瓜果
高重複(恣意的)	PEJVO	cidonibero	木瓜ᶜ浆果	PEJVO	papajfrukto	木瓜果
高重複(恣意的)	PEJVO	civitismo	市ᶜ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	civitismo	市ᶜ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	civitismo	市ᶜ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	dandismo	俏主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	dandismo	俏主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	dandismo	俏主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	deflaciismo	缩ᴰ主义	PEJVO	deismo	神主义ᴰ
高重複(恣意的)	PEJVO	deflaciismo	缩ᴰ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	deflaciismo	缩ᴰ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	demokratismo	民ᴰᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	demonismo	魔ᴰᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	determinismo	定ᴰᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	diletantismo	好ᴰ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	dinamismo	力ᴰᴵ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	drakonismo	严ᴰ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	dualismo	双ᴰ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	egalismo	等主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	egoisma	吾主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ekspansiismo	膨ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	eksperimentismo	验ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ekspresionismo	表ᴱᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ekstremismo	极主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ekvilibrismo	衡主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ekzistencialismo	存ᴱᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ekzotismo	异ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	elektrismo	电主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	empiriismo	验ᴱᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	empirismo	验ᴱᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	energiismo	能ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	esoterismo	秘ᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	esprimismo	表ᴱˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	evoluismo	展主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	fatalismo	命ᶠ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	federismo	联ᶠᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	fenomenismo	现ᶠ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	fetic^ismo	物神主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	feu^dismo	封ᶠ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	fonetismo	音ᶠᴼ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	formalismo	形ᶠᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	fundamentismo	基ᶠ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	futurismo	未主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	galvanismo	电ᴳ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	gigantismo	巨ᴳ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	grafismo	记ᴳ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	heroismo	杰主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	hidrargismo	汞主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	humanisma	仁主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	idealismo	想ᴵᴰ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	idiotismo	愚ᴵ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	iluminismo	照ᴵ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	imanentismo	内ᴵᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	imperiismo	帝主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	individualismo	个ᴵᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	individuismo	个主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	industriismo	业主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	infanismo	童主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	inflaciismo	胀ᴵ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	intelektismo	智ᴵ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	izolismo	隔主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	j^urnalismo	记ᴶ̂主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kapitalismo	资主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	karierismo	职ᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	katastrofismo	灾主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kavalirismo	士主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	klasikismo	典主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	klerismo	文主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	koloniismo	殖主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	komunisma	共ᴷᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	konformismo	合ᴷᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	konservativismo	存ᴷᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kontingencismo	偶ᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kooperativismo	协主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kosmopolitismo	泛主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kretenismo	痴ᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kritikismo	评ᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kubismo	方ᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	kvietismo	静ᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	lakonismo	简ᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	liberalismo	宽ᴸᴮ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	libertinismo	荡ᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	limfatismo	淋ᴸᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	lirikismo	抒主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	lirismo	琴ᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	lokismo	处主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	magnetismo	磁主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	manierismo	式主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	mas^inismo	机主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	materialismo	材主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	materiismo	质ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	mediumismo	媒ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	mekanikismo	械主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	meteorismo	陨主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	metodismo	法ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	militarismo	军ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	militismo	战主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	mistikismo	秘ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	moderismo	适ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	modernismo	现ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	monismo	单ᴹᴼ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	moralismo	德ᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	mutualismo	互ᴹ主义
