char	root	band	gloss
隙	interstic	piv	【解】【PIV】Spaco, kiu trovig^as inter la esencaj elementoj de iu organo k estas plenigita de diversaj help-elementoj (c^efe
件	kondic^		条件つきの;取り決められた
倦	langvor	pejvo	【詩】=malviglo（無気力）
玄	mistik	pejvo	{Ｏ}【宗】神秘の,霊的象徴の;神秘主義的な
故	do	func	(語釈なし)
吾	ego	pejvo	【心】エゴ;【哲】自我
向	al	prep	（飛行機の）翼（つばさ）,（プロペラ・風車の）羽根,（建物・陣形の）翼（よく）;【解】鼻翼,小鼻
坑	krater	pejvo	【地理】火口湖,>>kaldrona lago
幸	felic^		{Ｂ}幸福な,幸せな;幸運な
更	pli	func	より以上の,追加の
洪	diluv	pejvo	{Ｏ}【聖】ノアの洪水;《転》大洪水,=inundego
糠	bran	pejvo	{Ｏ}【農】ふすま,ぬか（糠）
荒	noval	pejvo	【農】=senkultivejo（休閑地）
行	andant	pejvo	【楽】（速度標語）歩く速さで
酵	ferment	pejvo	{Ｏ}［自］発酵する
豪	pomp	pejvo	豪勢な,はなやかな,壮麗な,華麗な,絢爛豪華な
今	hodiau^		きょうの;今日（こんにち）の
痕	stigmat	pejvo	（消すことのできない）傷跡,>>cikatro;【キ】聖痕
佐	kondiment	pejvo	［他］【料】味付けする
左	liv	piv	【PIV】Maldekstra: liva g^irado; turnu liven tuj post la angulo! -> g^iri.
差	aberaci	pejvo	【天】光行差;【光】収差
砂	smirg	pejvo	紙やすり
挫	frustr	pejvo	{Ｏ}［他］【心】欲求不満を起こさせる
催	kataliz	piv	【化】【PIV】(tr (transitiva)) Plirapidigi kemian reakcion per katalizanto: kataliza procezo, kataliza reakcio (kiuj okazas p
最	plej	func	最大で;とりわけ;たいていの場合
栽	kultiv	pejvo	【植】コリアンダー（セリ科の香草）
犀	rinocer	pejvo	{Ｏ}【動】サイ（犀）（属・科）
在	c^e		【人名】チェ（エスペラント直接教授法の開発者、1895-1979）,>>C^e-metodo
削	frez	pejvo	［他］【機】フライスで削る
昨	hierau^		きのうの
窄	stret	pejvo	《詩》=mallarg^a（幅の狭い）
撒	s^ut		{Ｂ}［他］（粉粒を）まく,ばらまく;《転》ぶちまける
雌	femal	pejvo	《稀》=ina（雌の）
辞	demisi	pejvo	［自］（大臣・内閣などが）辞職する,>>abdiki
七	sep	num	第七の,七番目の
赦	amnesti	pejvo	大赦令
者	ul	suf	人,者
尺	uln	pejvo	{Ｏ}【解】尺骨;【史】腕尺（尺骨の長さに由来する昔の長さの単位、国により約50〜120cm）
灼	kau^ter	pejvo	【医】=kau^terizi（焼灼する）
爵	baron	pejvo	{Ｏ}男爵;【史】（中世、国王から領地を与えられた）諸侯
若	se	func	(語釈なし)
取	retrat	pejvo	［他］（預金を）引き出す,>>repreni
州	kanton	pejvo	{Ｏ}（フランスの）郡;（スイスの）州
秋	au^tun		秋の
住	log^		{Ｂ}［自］住む,居住する;泊まる,滞在する;《転》宿る
殉	martir	pejvo	{Ｏ}【宗】殉教者;《転》殉難者,受難者
盾	s^ild	pejvo	{Ｏ}【軍】盾（たて）;遮蔽物,シールド;看板;【地質】楯状地
所	kontor	pejvo	{Ｏ}事務室;帳場,>>oficejo
庶	bastard	pejvo	嫡出でない
薯	maniok	pejvo	{Ｏ}【植】キャッサバ,マニオク,>>tapioko
叙	ordin	pejvo	［他］【キ】叙階する,聖職につける
承	lagr	pejvo	【機】軸受
掌	polm	pejvo	【解】手のひら,=manplato
樟	kamfor	pejvo	{Ｏ}【化】ショウノウ（樟脳）
沼	marc^		【植】カキツバタ（_Iris laevigata_）
焦	koaks	pejvo	{Ｏ}【化】コークス
硝	salpetr	pejvo	{Ｏ}【化】硝石,=kalia nitrato
礁	rif	pejvo	{Ｏ}【海】礁（しょう）,岩礁,暗礁;《転》暗礁（危険な障害物）
章	c^apitr		{Ｂ}（本などの）章
冗	redund	piv	【PIV】Estanta pluroble au^ ripete, au^ aldonita por sekurigi kontrau^ perdig^o, misfunkcio ks (kaj simile, kaj similaj). 
状	adjekt	pejvo	【Ｇ】状況副詞節
蒸	transpir	piv	【PIV】(ntr (netransitiva)) 1 Elimini akvovaporon el sia korpo: la kormoplantoj transpiras per la kutiklo k precipe per la
触	tus^		{Ｂ}［他］触れる,さわる,接触する;（物が）接する,とどく;手荒に扱う,傷つける,害を及ぼす;（軽く）言及する;関係がある,かかわる;感動させる,心を打つ
侵	invad	pejvo	{Ｏ}［他］侵入する,侵略する;押し寄せる,殺到する
芯	mec^	pejvo	{Ｏ}灯心,（ろうそくなどの）芯;火縄;導火線;【医】（排膿用の）ガーゼ芯
崇	sublim	pejvo	崇高な,至高の,気高い,高尚な
制	reg^im		{Ｂ}【政】政体;制度,体制;【機】作動状態;【情】モード,>>ens^ova,>>superskriba
惜	domag^		惜しむべき,遺憾な,残念な,>>bedau^rinda
斥	skold	piv	【PIV】(tr (transitiva)) Riproc^e admoni: la patro skoldis la knabon, ke li s^iris sian veston.
昔	pase	pejvo	《詩》=pasinteco（過去）;=pasintaj^o（昔のこと）
籍	matrikul	pejvo	［他］登録番号を付ける;=enmatrikuligi（登録する）
拙	fus^		仕損じの,出来損ないの
窃	plagiat	pejvo	［他］盗作する,剽窃（ひょうせつ）する
雪	neg^		雪の,雪に覆われた,雪のような
先	aprior	pejvo	【哲】先天的な,演繹（えんえき）的な,><aposteriora
煎	dekokt	pejvo	［他］（薬草などを）せんじる,煮出す;【化】煎出する
船	s^ip		船の
禅	zen	pejvo	【仏】禅（ぜん）
阻	obstrukc	pejvo	［他］（通路・管を）ふさぐ,詰まらせる;【政】（議事進行を）妨害する
葬	sepult	pejvo	［他］葬る,埋葬する,>>entombigi
造	manufaktur	pejvo	［他］（工場で）製造する,製作する
卒	peon	pejvo	【遊】（チェスの）ポーン,（将棋の）歩兵（歩）;（中南米の）農場労働者,ペオン
村	vilag^		村の,いなか風の
他	li	func	彼の
太	tro	func	余りの,余分な,過度の
唾	saliv	pejvo	［自］つばが出る
堕	abort	pejvo	{Ｏ}［他］【医】流産する;［自］《転》中止になる
惰	inert	pejvo	{Ｏ}惰性的な,無気力な,消極的な;【化】不活性の
舵	rudr	pejvo	【空】【海】かじ（舵）
胎	fet	pejvo	【動】胎児（妊娠３ヶ月以降）,>>embrio
茸	lanug	pejvo	綿羽のような,綿羽でできた,うぶ毛の生えた,綿毛に覆われた
但	sed	func	【PIV】(ntr (netransitiva)) Kontrau^diri, obj^eti: en mi la intelekto sedis . Rim. (Rimarko) Post kvankam oni uzas en la c
脱	secesi	piv	【法】【PIV】(pp (se paroli pri) grupo, societo, s^tato) Apartig^o disde socia korpo, al kiu oni apartenis, ekz. (ekzemple) e
池	cistern	pejvo	{Ｏ}雨水だめ,貯水池;水槽,（液体用）タンク
著	signifik	piv	【数】【PIV】(ntr (netransitiva)) Havi alian kau^zon ol la hazardo.
朝	dinasti	pejvo	{Ｏ}【史】（一系統の）王朝
珍	delic	piv	【PIV】Delikata g^uo (gastronomia, amora k.a. (kaj aliaj)): meze de tiu delico ekgrincis s^losilo en la seruro .
椎	vertebr	pejvo	椎骨の,脊椎の;脊椎のある
堤	g^et	pejvo	【海】防波堤,突堤
廷	kuri	pejvo	【史】クリア（古代ローマの社会組織の一単位／クリア集会所／元老院議場）;【カ】教皇庁
抵	hipotek	pejvo	【経】モーゲージ,抵当貸し,（特に）住宅ローン
渡	pram	pejvo	［他］（船で）渡す
都	metropol	pejvo	{Ｏ}（植民地に対して）本国;（国・地方の）中心都市,大都市,メトロポリス,>>c^efurbo
刀	sabr	pejvo	［他］サーベルで切る,切りつける
藤	heder	pejvo	{Ｏ}【植】キヅタ（属）,ヘデラ,アイビー
踏	tret	pejvo	{Ｏ}［他］踏む,踏みつける;踏みつぶす
透	diafan	pejvo	{Ｏ}半透明の,>>travidebla,>>maldiafana
匿	inkognit	pejvo	お忍びの,微行の
虹	iriz	pejvo	虹色の,虹色に輝く
如	kvazau^		見かけ上の,〜まがいの
蚤	pul	pejvo	{Ｏ}【動】ノミ（蚤）（ノミ目の総称）,>>cimo,>>pediko,>>lau^so
播	propag	pejvo	【電】伝搬指数,伝搬定数
牌	medal	pejvo	［他］メダルを授ける
培	but	pejvo	［他］【農】根に土をかける,土寄せする
梅	ume	pejvo	【果】ウメ（梅）の実;【植】ウメ（梅）,=umearbo
伯	graf	sci	{Ｏ}伯爵
柏	cipres	pejvo	{Ｏ}【植】イトスギ（ヨーロッパでは喪の象徴）
肌	mi	func	私の,僕の,あたしの
蛤	meretrik	pejvo	《Ｎ》【貝】ハマグリ（mang^ebla duvalva konkulo，_Meretrix lusoria_）
蛮	barbar	pejvo	未開の
妃	dam	pejvo	{Ｏ}貴婦人;（中世の）身分の高い女性への尊称;【遊】（トランプ、チェスの）クイーン;【遊】（チェッカーの）成り駒,キング
泌	sekreci	pejvo	［他］分泌する
逼	kompuls	piv	【PIV】(tr (transitiva)) Igi, ke iu efektive plenumu devon ks (kaj simile, kaj similaj).
漂	driv	pejvo	{Ｏ}［自］【海】漂流する,（潮や風に）流される,>>flosi;偏流する,わきにそれる
不	ne	func	否定の
伏	embusk	pejvo	待ち伏せて
焚	incendi	pejvo	火災の,=brulega;放火の,=bruliga
丙	propil	piv	【化】【PIV】La radiko CH 3-CH 2-CH 2 -.
碧	turkis	pejvo	トルコ玉の;青緑色の
蔑	disdegn	piv	【PIV】(tr (transitiva)) Mals^ati: alpreni tian s^ajnon, kiun disdegnas ec^ la hundoj mem .
圃	bed	pejvo	{Ｏ}【園】（細長い）野菜畑,花壇
呆	gap	pejvo	ぽかんと
峰	alp	pejvo	【植】ミネズオウ（峰蘇芳）（種）
崩	kolaps	pejvo	［自］【病】虚脱する;【天】崩壊する;【情】フリーズする;《転》（急に）意気消沈する,衰弱する
放	emancip	pejvo	{Ｏ}［他］【法】親権を解除する;《転》（政治的・社会的束縛から）解放する,>>liberigi
剖	anatomi	pejvo	{Ｏ}解剖学
勃	erekt	pejvo	【医】勃起した
摩	masag^		［他］マッサージする
膜	membran	pejvo	膜の,膜質の,膜状の
枕	s^pal	pejvo	（窓などの）横木;【鉄】枕木（まくらぎ）
沫	s^au^m		泡の,泡立つ
万	miria	pejvo	(語釈なし)
蔓	sarment	piv	【PIV】1 Ligna, tamen fleksebla tigo, kiun vito kreskigas c^iun jaron: inter kavoj k dornoj k sarmentoj ni pas^as plu. Vd 
未	futur	pejvo	【Ｇ】未来（時制）,=os-tempo;《詩》=estonteco（未来）
眠	somnol	piv	【PIV】Stato transig^a inter dormo k maldormo.
冥	kontempl	pejvo	観想的な,瞑想にふける
猛	drast	pejvo	{Ｏ}【薬】薬効の激しい;《転》強烈な,激烈な,徹底的な,思い切った,厳しい
也	ankau^		(語釈なし)
野	sovag^		{Ｂ}野生の;未開の;野蛮な;《転》粗野な,粗暴な
佑	providenc	pejvo	摂理の,神意による
邑	municip	pejvo	自治体の,市町村の
雄	maskl	pejvo	《稀》=virseksa（雄の）
痢	disenteri	pejvo	{Ｏ}【病】赤痢
略	strategi	pejvo	戦略上の,戦略的な
累	akumul	pejvo	【統】累積度数分布
劣	ac^		粗悪な,つまらない,いやしい,下品な
漏	lik	pejvo	［自］（ビン・樽などが）漏る;【海】（船が）浸水する;【電】漏電する
腕	pojn	pejvo	【解】手首,=manradiko
于	pri	prep	それについて
从	de	prep	(語釈なし)
估	stim	piv	【PIV】Taksi per stokastika procedo; kalkuli stimon.
俯	pron	piv	【PIV】(tr (transitiva)) Turni la antau^brakon tiel, ke la polmo rigardas malsupren. Vd supini.
几	preskau^		ほとんどの,同然の;おおよその
匆	hast	pejvo	大急ぎの;拙速の
匕	ponard	pejvo	［他］短剣で刺す
吼	mug^		{Ｂ}［自］（牛が）鳴く,うなる,（ライオン・虎が）ほえる;《転》うなる,怒号する,とどろく
呻	g^em		{Ｂ}［自］うめく,うなる,嘆く
嚼	mac^		{Ｂ}［他］かみ砕く,かむ
坎	ves^t		{Ｂ}【服】ベスト,チョッキ
梦	song^		夢の,夢のような
姜	zingibr	pejvo	ショウガの;ショウガ入りの
孵	kov	pejvo	{Ｏ}［他］（鳥が卵を）抱いている;《転》（こどもを）大事に保護する;《転》（計画などを）ひそかにたくらむ
它	g^i		それの
尸	kadavr	pejvo	死斑（しはん）
屁	furz	pejvo	{Ｏ}［自］おならをする,屁（へ）をひる
已	jam	func	既存の
帷	drapir	pejvo	{Ｏ}［他］ひだのある布でおおう,垂れ幕で飾る;（衣服やカーテンに）ひだをつける
很	tre	func	【PIV】Ekstrema.
慷	prodig	pejvo	《稀》=malavara（気前のよい）
抒	lirik	pejvo	叙情詩の;叙情的な
抛	parabol	pejvo	【理】放物運動
拱	volb	pejvo	アーチ形天井の
捶	male	pejvo	［他］槌で打つ
旁	apud	prep	かたわらの
霸	hegemoni	pejvo	主導権を持った,支配的な
杠	vekt	pejvo	てんびん（天秤）
梭	naved	pejvo	【交】シャトルバス
棍	klab	pejvo	［他］こん棒で殴る
榕	fikus	piv	【植】【PIV】G. (Genro) (Ficus el morusacoj) de laktosukohavaj arboj k arbustoj, kelkaj grimpaj, rampaj au^ epifitaj, kies fl
橙	orang^		【料】オレンジマーマレード
歇	pau^z		［自］（一時的に）休止する,中休みする,>>ripozi,>>c^esi
毯	tapis^		［他］絨毯を敷く;タペストリーを掛ける
氛	etos	pejvo	ムード音楽
汞	hidrarg	pejvo	【気】水銀気圧計
沐	s^ampu		［他］（頭髪を）シャンプーで洗う
泄	ekskreci	pejvo	【生】排泄の
泛	kosmopolit	pejvo	コスモポリタン的な;【環】汎存種の,全世界に広く分布する
洒	asperg	pejvo	{Ｏ}［他］（植木などに）水をやる;【カ】聖水を振りかける
渊	abism	pejvo	深淵（しんえん）の,底知れないほど深い;【地理】深海の
溪	roj	piv	【地理】【PIV】Mallarg^a k malprofunda rivereto. Vd lirli.
灌	klister	pejvo	［他］【医】浣腸する
漱	gargar	pejvo	{Ｏ}［他］すすぐ,水洗いする;うがいをする
炬	torc^	pejvo	たいまつ行列
熏	bukan	piv	【PIV】Viando au^ fis^o fumsekigita.
猩	goril	pejvo	{Ｏ}【動】ゴリラ
畸	terat	pejvo	【医】【PIV】Grava fizika au^ fiziologia anomalio; monstraj^o.
疆	marki	piv	【史】【PIV】Regiono au^ provinco, kiu konsistigis limparton de imperio: la markio de Brandenburgio. -> markizo.
矮	nan	pejvo	小人（こびと）の;【生】矮性の
禀	temperament	pejvo	{Ｏ}気質,気性,性分;（古代西洋医学で）体質
簧	anc^	pejvo	{Ｏ}【楽】（管楽器の）リード,簧（した）
粮	proviant	pejvo	［他］（軍隊に）食糧を補給する,=provizumi
絮	flok	pejvo	一房の綿のような,小片状の
缸	urn	pejvo	{Ｏ}（古代の）つぼ（壺）,かめ（瓶）;骨つぼ;投票箱
羞	pudor	pejvo	恥じらいのある,慎み深い
翔	s^veb		{Ｏ}［自］（空中に）浮かぶ,ただよう,舞う,滑空する;すべるように動く;【理】（水中で）漂う,>>flosi,>>sinki;《転》（心などに）浮かぶ;《転》宙づりになっている
聘	engag^	pejvo	［他］（人を）雇う,（雇用）契約する;（人をある状態に）巻き込む,引き入れる
肛	anus	pejvo	肛門の
肚	trip	pejvo	{Ｏ}（動物の）はらわた,臓物;（反芻動物の）胃;【料】トライプ（牛の胃を刻んで煮込んだもの）
腋	aksel	pejvo	{Ｏ}【解】腋（わき）の下;【植】葉腋（ようえき）
脾	lien	pejvo	{Ｏ}【解】脾臓（ひぞう）
腮	mumps	pejvo	【病】流行性耳下腺炎,おたふく風邪
艾	moks	pejvo	【医】つぼ
苞	brakte	piv	【植】【PIV】Folio, aksele de kiu formig^as floro, infloresko au^ alia brakteo: skvameca, membraneca, verda, petaleca brakteo
蔗	sakar	pejvo	【植】【PIV】G. (Genro) (Saccharum el poacoj) de plurjaraj, altaj herboj kun maldensa, plumeca infloresko; 35−40 sp-oj (speci
藏	kas^		こっそり,秘密裡に
蟋	gril	pejvo	{Ｏ}【虫】コオロギ
蹲	kau^r		うずくまって,身を縮めて
鞋	s^u		{Ｂ}靴（片方）,短靴;《転》靴状のもの
菇	bolet	pejvo	【菌】イグチ（アミタケ科のキノコの総称）,=tubofungo
两	ambau^		(語釈なし)
为	por	prep	小孔のある;多孔質の
义	justic	pejvo	【法】司法,法務
乌	ebon	pejvo	黒たんの;漆黒の
乡	rur	pejvo	《詩》=kamparo（田園）
买	ac^et		{Ｂ}［他］買う,購入する;=subac^eti（買収する）
亚	hipo	pref	(語釈なし)
仅	nur	func	ただの,単なる
仪	rit	pejvo	（宗教的）儀式の,典礼の
你	vi	func	あなたの;あなたがたの
侦	skolt	pejvo	［自］ボーイスカウト活動をする;【軍】偵察する
冻	kongel	piv	【PIV】(tr (transitiva)) Fridigi produkton je temperaturo de minus 30°, por konservi g^in je −18 °C (celsia(j) grado(j)).
凤	feniks	pejvo	{Ｏ}不死鳥,フェニックス;鳳凰（ほうおう）;《転》第一人者
凯	triumf	pejvo	凱旋の;大勝利の,大成功の;勝ち誇った
凿	gug^	piv	【PIV】Konkavaklinga c^izilo, uzata en meblofarado k kirurgio; foldoc^izilo.
刁	c^ikan	pejvo	{Ｏ}［他］難癖をつける,口やかましく文句を言う;詭弁（きべん）を弄（ろう）する
刚	j^us		たった今の,直前の
刨	rabot	pejvo	{Ｏ}［他］かんなをかける,平らに削る
劲	verv	pejvo	熱のこもった,気合の入った,活気あふれた
势	potencial	pejvo	【電】電位の;【数】ポテンシャルの;【哲】潜在的な;《般》（実現）可能性のある
厕	klozet	piv	【PIV】Necesejo, ordinare kun pelvo k akvos^pruco. Vd latrino.
叹	suspir	pejvo	［自］嘆息する,=vespiri
吓	hu	pejvo	【PIV】(ntr (netransitiva)) Krii hu!: huas simioj.
吗	c^u		(語釈なし)
吱	knar	pejvo	{Ｏ}［自］きしる,キイと音を立てる
呕	nau^z		吐き気を催すような;ひどく不快な
咪	miau^		{Ｏ}［自］（猫が）ニャアと鳴く
啊	ha	pejvo	(語釈なし)
嘹	klarion	pejvo	（声・音などが）甲高く響きわたる
嘻	hihi	piv	【PIV】Eligi tian bruon.
嘿	nu	pejvo	(語釈なし)
坠	kras^	pejvo	［自］【空】墜落する;（自動車などが）激突する,>>frakasig^i
垒	rempar	pejvo	{Ｏ}【軍】城壁,塁壁;《転》防御物
墩	sokl	pejvo	{Ｏ}【建】（円柱・彫像などの）台座,台石（比較的平たい）,>>piedestalo;（持ち運べる）台,台座;【電】（電球の）口金;【地理】島棚
够	sufic^		{Ｂ}十分な,かなりの,相当な
奋	streb	pejvo	{Ｏ}［自］全力をつくす,懸命に努力する,奮闘する
她	s^i		彼女の
妒	j^aluz		{Ｂ}嫉妬深い,ねたんでいる;執着している,（失うまいと）用心している
娇	lind	piv	【PIV】Alloge plac^aspekta.
尔	ci	pejvo	おまえの
岁	ag^		年齢の;年をとった,>>maljuna
帅	s^ik	pejvo	シックな,いきな,しゃれた,趣味の良い,>>eleganta,>>bongusta
张	toni	piv	【生】【化】【PIV】1 Stato de malforta kontrahig^o de la muskoloj, ne estiganta movig^ojn: tonio estas necesa al la tenig^o de l
归	atribu	pejvo	{Ｏ}［他］割り当てる;（〜の）せいにする
彻	radikal	pejvo	{Ｏ}根本的な,徹底的な;【政】急進的な,急進派の,過激な
忧	angor	pejvo	苦悶の,不安にかられた
悬	suspensi	pejvo	【技】【PIV】1 Tuto de la arang^o, kiu ebligas al korpo, aparato, parto de mas^ino ks (kaj simile, kaj similaj) pendi de supr
懒	pigr	pejvo	《詩》=maldiligenta（怠惰な）
扩	amplif	pejvo	［他］【理】=amplifiki（増幅する）
扬	ekzalt	pejvo	心を高揚させる,熱狂させる
拥	svarm	pejvo	{Ｏ}［自］うようよしている,群がっている,ひしめき合う,雲集する
拦	dig	pejvo	［他］（堤防などで）せき止める
拨	plektr	pejvo	［自］【楽】（弦を）ばちでかき鳴らす,ピック演奏する,>>pinc^i
拴	rigl	pejvo	{Ｏ}［他］差し錠をかける,かんぬきをかける
捣	pist	pejvo	{Ｏ}［他］（細かく）つき砕く,粉にする,粉砕する,すりつぶす
掐	pinc^		{Ｂ}［他］（指などで）つまむ,はさむ,つねる;（動物が草を）はむ;（芽などを）摘む;【楽】（琴などを）つま弾く
摄	kamera	pejvo	【映】（動画撮影用）カメラ,>>fotilo
撑	steg	piv	【技】【PIV】Peco, kiu kunligas du flankojn de objekto, du metalajn platojn ks (kaj simile, kaj similaj), por plifortigi ilin
晓	au^ror		曙（あけぼの）,夜明け;曙光（しょこう）;【気】=polusa lumo（極光）
杀	murd	pejvo	{Ｏ}［他］殺害する,（故意に）殺す
枫	acer	pejvo	{Ｏ}【植】カエデ（楓）（属）
柜	s^rank		{Ｂ}戸棚,食器棚;洋服ダンス
棱	eg^	pejvo	【数】（立体の）辺,稜（りょう）;【機】刃,縁（ふち）,へり,端;【地理】稜線,尾根
歼	eksterm	pejvo	{Ｏ}［他］根絶する,皆殺しにする,絶滅させる,全滅させる,壊滅させる
每	po	prep	【地名】ポー川（イタリア）
氧	oksi	sci	【化】【PIV】Mll de oksigeno, uzata en kunmetaj^oj por montri la c^eeston de oksigeno (kompare kun la nomo de referenca subst
氨	amoniak	pejvo	{Ｏ}【化】アンモニア（気体）,アンモニア水
氯	klor	sci	{Ｏ}【化】塩素（原子番号17の非金属元素）
泻	laks	pejvo	［自］下痢する
泽	glace	pejvo	光沢のある,つや出しした,>>polurita
洁	c^ast	pejvo	{Ｏ}貞節な,純潔な;清純な
浇	vers^		{Ｂ}［他］（液体・光を）注ぐ;流す,こぼす
浊	turbid	piv	【地質】【PIV】Mara au^ laga detrito, suspensie transportata (-ita) de desupranta akvofluo.
涨	flus	pejvo	［自］（潮が）満ちる,差す
涩	adstring	pejvo	【医】収斂性の;=adstringagusta（渋い）
溅	plau^d	pejvo	{Ｏ}［自］バシャリと音を立てる,水音を立てる;パタパタと音を立てる
滥	eksces	pejvo	過度の,行過ぎた,並外れた,>>troa
滩	plag^	pejvo	（観光用の）浜辺,海水浴場,ビーチ;=strando（砂浜）
灿	splend	piv	【PIV】Pompe brila, bele k lukse impresanta.
烁	scintil	pejvo	【理】シンチレーション計数管
猬	erinac	pejvo	{Ｏ}【動】ハリネズミ
瓤	pulp	pejvo	果肉の,果肉状の;髄の,髄状の;パルプの,パルプ状の
疟	malari	pejvo	マラリア熱
癣	skabi	pejvo	{Ｏ}【病】かいせん（疥癬）,ひぜん（皮癬）
矫	ortopedi	pejvo	整形手術
砰	pum	pejvo	【動】ピューマ
砾	gruz	pejvo	［他］砂利を敷く
础	plint	pejvo	【建】（柱や彫刻台の下の四角い）柱礎,台座;【建】根石;【建】=plankoplinto（幅木）
硕	magistr	pejvo	修士論文
碘	jod	elem	【薬】ヨードチンキ
秃	kalv	pejvo	{Ｏ}（頭の）はげた;《転》草木の生えていない
笼	kag^		{Ｂ}鳥かご;おり
筛	kribr	pejvo	{Ｏ}［他］ふるいにかける
篡	uzurp	pejvo	{Ｏ}［他］（領地・権力・地位などを）不当に奪う,簒奪（さんだつ）する,横領する,（称号を）詐称する
篱	heg^		{Ｂ}【園】生け垣
紧	strec^		張りつめた,緊張した
纺	s^pin		{Ｂ}［他］紡ぐ;（クモ・カイコが糸を）吐く,（巣・繭を）つくる;《転》織りなす,作り上げる
绊	stumbl	pejvo	［自］つまずく,よろめく,=faleti;《転》とちる,言い間違える
绕	haspel	piv	【服】【PIV】1 Lata ligna au^ metala tamburo, kiu rotaciante surprenas fadenon, faras haspelaj^on k samtempe mezuras la faden
绣	brod	pejvo	{Ｏ}［他］刺繍（ししゅう）する
绳	s^nur		［他］（なわで）しばる,くくる
罗	groc	pejvo	【単】グロス（＝12ダース）
耍	j^ongl	pejvo	{Ｏ}［自］（物を空中に投げる）曲芸をする;手品をする;《転》巧みに扱う
肿	s^vel		{Ｂ}［自］ふくれる,ふくらむ,膨張する,はれる;（過度に）増大する,ふくれあがる,（川が）増水する
胰	pankreat	pejvo	{Ｏ}【解】すい臓
脏	viscer	pejvo	【解】内臓,=internaj^o
