# 優先順位(層順)包括監査 v3 台帳  CSV2890(t0)>PEJVO(t1)>PIV(t2) を独立ground-truthで検証
# tier: CSV2890=CSVを独立照合 / PEJVO・PIV=学術版原本の行位置+【PIV】タグ (band非依存)
# base=min band_rank は C=br*1000+P で構造保証。逆転はband誤ラベル/意図的override時のみ。
# CSV2890照合: rows=2890 matched=2799(96.9%) 語根=2695 未照合rows=91

## [A] 層順逆転(bare.tier より高優先=小tierのメンバーが非base) = 全38件
#   NEW=0(0が必須=未説明の違反) / base_override=19(意図) / ratified現状維持=19(既知20群)
groupkey	base	base_tier	高優先メンバー(逆転相手)	分類
傲	arog	1=PEJVO	arogant(t0=CSV2890)	base_override
千足	kilopod	2=PIV	skolopendr(t1=PEJVO)	base_override
厘	centi	1=PEJVO	centimetr(t0=CSV2890)	base_override
咏	c^ant	2=PIV	psalm(t1=PEJVO);kantik(t1=PEJVO)	ratified
哲	filozof	1=PEJVO	filozofi(t0=CSV2890)	base_override
喂	ho	1=PEJVO	he(t0=CSV2890)	base_override
拍型	fototip	2=PIV	fototipi(t1=PEJVO)	ratified
振具	vibrator	2=PIV	oscilator(t1=PEJVO)	ratified
旋	gir	2=PIV	pivot(t1=PEJVO);spiral(t1=PEJVO);rotaci(t1=PEJVO);turb(t1=PEJVO);giro(t1=PEJVO);ciklon(t1=PEJVO);piruet(t1=PEJVO)	ratified
架	rak	2=PIV	trus(t1=PEJVO);stabl(t1=PEJVO);c^arpent(t1=PEJVO);skafald(t1=PEJVO);c^asi(t1=PEJVO)	ratified
梗	infarkt	2=PIV	pedunkl(t1=PEJVO)	ratified
榕	fikus	2=PIV	sikomor(t1=PEJVO)	base_override
毫	mili	1=PEJVO	milimetr(t0=CSV2890)	base_override
气计	gasmetr	2=PIV	aerometr(t1=PEJVO);gasometr(t1=PEJVO)	ratified
水苏	staki	2=PIV	betonik(t1=PEJVO)	base_override
渗计	osmozmetr	2=PIV	osmozometr(t1=PEJVO)	ratified
爬虫	sau^r	2=PIV	reptili(t1=PEJVO)	base_override
猴	ceb	2=PIV	makak(t1=PEJVO);pavian(t1=PEJVO);orangutang(t1=PEJVO)	base_override
皮翅	dermapter	2=PIV	forfikul(t1=PEJVO)	base_override
相关	korelaci	2=PIV	korelativ(t1=PEJVO)	ratified
眼镜蛇	kobr	2=PIV	aspid(t1=PEJVO)	base_override
硫	sulf	2=PIV	sulfur(t1=PEJVO)	ratified
神经学	nervologi	2=PIV	neu^rologi(t1=PEJVO)	ratified
秧鸡	ral	2=PIV	fulik(t1=PEJVO);galinol(t1=PEJVO);galinul(t1=PEJVO)	base_override
胃炎	gastrit	2=PIV	stomakit(t1=PEJVO)	ratified
胖	obez	2=PIV	korpulent(t1=PEJVO)	ratified
胚源	embrigenez	2=PIV	embriogenez(t1=PEJVO)	ratified
脉炎	flebit	2=PIV	vejnit(t1=PEJVO)	ratified
色计	kolormetr	2=PIV	kolorometr(t1=PEJVO)	ratified
苔植	brifit	2=PIV	briofit(t1=PEJVO)	ratified
茅	espart	2=PIV	alf(t1=PEJVO)	base_override
菌学	mikologi	2=PIV	bakteriologi(t1=PEJVO)	ratified
蔓	sarment	2=PIV	lian(t1=PEJVO)	base_override
蛾	mote	2=PIV	hermini(t1=PEJVO);bombiks(t1=PEJVO)	base_override
蠕	helmint	2=PIV	trikin(t1=PEJVO)	base_override
金丝燕	salangan	2=PIV	apus(t1=PEJVO);cipsel(t1=PEJVO)	base_override
香脂	ladan	2=PIV	mirh(t1=PEJVO)	base_override
高测	altometri	2=PIV	hipsometri(t1=PEJVO)	ratified

## [B] CSV2890語根の band誤ラベル(br0でない=優先度喪失の温床) = 39件(うち非bare=20)
#   CSV2890は band∈basic/suf/pref/prep/correl/num/func(br0) が正。bare=True(単独/基本形)なら無害・
#   bare=False(非基本形)は同綴群で下位語にbaseを譲っている可能性。
#   ★点検済(3回): 2026-07-19 第21回④ / 2026-07-21 第26回③ / 2026-08-01 第28レンズ。
#     3回とも同一の分類に到達 = 無害bare19 / 中心義がbase側にある正常な従属9 /
#     七曜7(日月火水木金土は day/moon/fire/water/wood/gold/earth に譲るのが正) /
#     照合の誤マッチ3(kvi←kvin・tam←tamen・pseu^d←pseŭdo-) / 要検討1(ve=哀)。
#     『要点検』の再掘り起こしは不要。ve/哀 のみ §14.2.1 の裁定対象。
root	band	tier	bare?	groupkey	Unified_Level
cigar	pejvo	PEJVO	False	烟	9.0
citron	pejvo	PEJVO	False	果	7.9
dimanĉ	cal	PEJVO	False	日	3.77
gitar	pejvo	PEJVO	False	琴	8.79
ju	pejvo	PEJVO	False	越	6.83
kvi	piv	PIV	False	静	1.77
lund	cal	PEJVO	False	月	3.77
mard	cal	PEJVO	False	火	3.77
merkred	cal	PEJVO	False	水	3.77
nj	pejvo	PEJVO	False	女	7.33
plur	pejvo	PEJVO	False	多	5.83
pseu^d	pejvo	PEJVO	False	伪	8.79
sabat	cal	PEJVO	False	土	3.77
sekc	sci	PEJVO	False	切	9.0
taksi	pejvo	PEJVO	False	车	8.79
tam	piv	PIV	False	草	1.77
ve	pejvo	PEJVO	False	哀	8.79
vendred	cal	PEJVO	False	金	3.77
violon	pejvo	PEJVO	False	琴	8.9
ĵaŭd	cal	PEJVO	False	木	3.77
april	cal	PEJVO	True	四月	3.77
aŭgust	cal	PEJVO	True	八月	3.77
bronz	pejvo	PEJVO	True	青铜	8.9
decembr	cal	PEJVO	True	十二月	3.77
februar	cal	PEJVO	True	二月	3.77
ha	pejvo	PEJVO	True	啊	5.67
ho	pejvo	PEJVO	True	喂	5.67
januar	cal	PEJVO	True	一月	3.77
juli	cal	PEJVO	True	七月	3.77
juni	cal	PEJVO	True	六月	3.77
kilogram	piv	PEJVO	True	千克	6.0
maj	cal	PEJVO	True	五月	3.77
mart	cal	PEJVO	True	三月	3.77
mikrofon	piv	PEJVO	True	微声	8.79
novembr	cal	PEJVO	True	十一月	3.77
nu	pejvo	PEJVO	True	嘿	1.77
oktobr	cal	PEJVO	True	十月	3.77
septembr	cal	PEJVO	True	九月	3.77
telefon	piv	PEJVO	True	远声	5.83

## [C] band=piv だが真PEJVO(<=44440・PIVタグ無) = 824件 (★内訳: 隙間充填規約=P=5センチネル 818件 / 真の誤ラベル 6件)
#   ★大半は『誤ラベル』ではない。仕様書L28『隙間充填で後から追加する語根は出典がPEJVO領域でも
#     一律 band=piv』+ L29『P=5 を手動固定』という規約どおりの姿(2026-08-01 第28レンズで確定)。
#   真の誤ラベル(P≠5)のみ: bari, ele, nomenklatur, ro, sargas, transit
#   bare列=その語が漢字群のbare基本形か(Trueなら真PEJVO語が正しくbare保持=無害)
root	行	groupkey	bareか
fenikopter	10746	鸟	False
fenomenologi	10759	现学	True
fibrom	10911	纤瘤	True
fibroskop	10912	纤镜	True
filantropi	10994	博爱	True
filantrop	10995	博爱者	True
filologi	11041	爱学	True
filolog	11044	爱学家	True
fitogeografi	11189	植地志	True
fitoterapi	11190	植疗	True
fiziografi	11207	物理志	True
fiziologi	11208	生理学	True
fiziolog	11209	生理学家	True
fizioterapi	11213	物理疗	True
fluorid	11472	气化	True
fonetism	11572	音主义	True
fonogram	11577	声字	True
fonometr	11578	声计	False
fonon	11579	声子	True
fonoskop	11580	声镜	True
forsiti	11784	木	False
fosfat	11859	磷盐	True
fosfaturi	11860	磷盐尿	True
fosfit	11862	磷盐	False
fotoc^el	11892	光胞	True
fotogliptik	11894	拍玉雕	True
fotografi	11902	拍志	True
fotogravur	11905	拍刻	True
fotokemi	11909	光化学	True
fotokromi	11919	拍色	True
fotolitografi	11920	拍石志	True
fotometri	11921	光测	True
fotometr	11923	光计	True
foton	11925	光子	True
fotosfer	11927	光球	True
fotosintez	11928	光合	True
fotostat	11929	拍态	True
fototelegraf	11930	拍远记	True
fototipi	11931	拍型	False
frekvencometr	12057	频计	True
ftizologi	12249	结核学	True
ftizolog	12250	结核学家	True
galvanometr	12529	电计	False
galvanoplastik	12530	电塑	True
galvanoskop	12531	电镜	False
galvanoterapi	12532	电疗	False
ganglion	12551	节	False
gardeni	12589	木	False
gasometr	12651	气计	False
gastrokamer	12674	胃室	True
gastronom	12677	胃学	True
gastropod	12678	胃足	True
gastroskopi	12679	胃镜	False
gastroskop	12680	胃镜	True
gastrospasm	12681	胃抽筋	True
gastrostomi	12682	胃漏	True
gastrotomi	12683	胃切	True
genealogi	12764	系学	True
genealog	12767	系学家	True
geofizik	12815	地物理	True
geograf	12820	地记	True
geologi	12821	地学	True
geolog	12825	地学家	True
geometri	12827	地测	True
geometr	12835	地测	False
ginekologi	12919	女学	True
ginekolog	12920	女学家	True
gingivit	12923	牙肉炎	True
gink	12926	木	False
giroskop	12940	旋镜	True
grafism	13208	记主义	True
grafologi	13214	记学	True
grafolog	13215	记学家	True
grafospasm	13216	记抽筋	True
gramofon	13240	图声	True
guf	13530	鸟	False
halogenid	13848	卤化	False
haloo	13851	晕	False
heksaedr	14087	六面	True
heksametr	14088	六米	True
hektograf	14091	百记	True
hektogram	14093	百克	True
hektolitr	14094	百升	True
hektometr	14095	百米	True
heliostat	14138	日态	True
heliotrop	14140	日向	True
hemikrani	14175	半颅	True
hemipter	14177	半翅	True
hepatit	14202	肝炎	True
heterogen	14282	异生	True
hidroaeroplan	14316	水气划	True
hidrocefal	14317	水头	True
hidrodinamik	14320	水力	True
hidroelektr	14321	水电	True
hidrofobi	14323	水症	True
hidrogen	14328	水生	True
hidrokarbid	14331	水炭子	True
hidrokarbon	14332	水碳	True
hidroksid	14333	水氧化	True
hidrometri	14334	水测	True
hidrometr	14335	水计	True
hidroplan	14336	水划	True
hidrostatik	14339	水静	True
hidroterapi	14340	水疗	True
higrometr	14356	湿计	True
higroskop	14357	湿镜	True
himenopter	14370	膜翅	True
hiperemi	14397	超血	True
hiperonim	14401	超名	True
hipertensi	14403	超压	True
hipertrofi	14404	超养	True
hipodrom	14410	马道	True
hipokas^tan	14412	马栗	True
hiponim	14421	亚名	True
hipopotam	14422	马河	True
hipotensi	14429	亚压	True
hipotez	14431	亚题	True
hipsipet	14434	鸟	False
hipsometri	14435	高测	False
hipsometr	14436	高计	False
hiskiam	14448	茄	False
holografi	14517	全志	True
hologram	14518	全图	True
homogen	14569	同生	True
homonim	14578	同名	True
horoskop	14678	钟镜	True
ibis	14849	鸟	False
ideografi	14877	表意	True
ideogram	14880	意字	True
ideolog	14883	意学家	True
idiotism	14892	愚主义	True
impresionism	15102	印象主义	True
impresionist	15103	印象家	True
inciziv	15164	切ᴵ能ᴵ	True
individualism	15220	个主义	True
individualist	15221	个家	True
insekticid	15486	虫杀	True
interfac	15683	间面	True
interferometr	15692	涉计	True
interlingvistik	15742	间学	True
interlingvist	15743	间语家	True
izobar	16102	等压	True
izodinam	16104	等力	True
izokron	16105	等时	True
izomorf	16130	等形	True
izoterm	16131	等热	True
izotrop	16136	等向	True
jodid	16293	碘化	True
jodoform	16296	碘形	True
kanaliz	16923	渠化	True
kantarid	16999	虫	False
karas	17201	鲤	False
karbonat	17236	碳盐	True
karboni	17241	碳	False
kartografi	17402	卡志	True
kartograf	17403	卡记	True
kaset	17431	盒	False
kau^teriz	17607	灼化	True
kazuist	17674	疑难家	True
kilobajt	17808	千字节	True
kilobit	17809	千位	True
kilocikl	17810	千环	True
kilogram	17813	千克	True
kilolitr	17817	千升	True
kilovat	17821	千瓦	True
kinkon	17850	木	False
kinoskop	17854	映镜	True
klinometr	18070	斜计	True
klorid	18106	氯化	True
kojlit	18233	结肠炎	True
kokcinel	18256	虫	False
koksalgi	18288	股痛	True
kolokasi	18382	草	False
kolorometr	18443	色计	False
komandit	18475	令受	True
kompensator	18624	补具	True
komutator	18825	换具	True
kondensator	18896	凝具	True
kondor	18919	鸟	False
konjunktivit	19078	结膜炎	True
korbikul	19710	贝	False
kormoran	19787	鸟	False
kosmogoni	19896	宇源	True
kosmografi	19897	宇志	True
kosmograf	19898	宇记	True
kosmologi	19900	宇学	True
kosmolog	19901	宇学家	True
kosmonau^t	19902	宇航	True
kosmos	19911	菊	False
koturn	19964	鸟	False
kraniometri	20038	颅测	True
kriptomeri	20205	木	False
kristalografi	20225	晶志	True
kristalograf	20227	晶记	True
krokus	20290	花	False
kromofotografi	20317	色拍志	True
kromolitografi	20318	色石志	True
kronograf	20350	时记	True
kronologi	20352	时学	True
kronometr	20355	时计	True
kronometri	20356	时测	True
ksilofon	20456	木声	True
ksilograf	20457	木记	True
ksilografi	20458	木志	True
kurkum	20902	姜	False
labrak	21258	鱼	False
lagerstrom	21297	木	False
laktoz	21361	乳糖	True
laparotomi	21485	腹切	True
laringit	21516	喉炎	True
leksikologi	21813	词汇学	True
levkoj	21950	草	False
libel	21971	虫	False
limfatism	22209	淋主义	True
litografi	22373	石志	True
lokomobil	22493	处动	True
lumbalgi	22678	腰痛	True
macutak	22795	菌	False
magnetit	22871	磁铁矿	True
magnetometr	22880	磁计	True
magneton	22882	磁子	True
magnetostring	22883	磁勒	True
mahagon	22900	木	False
makrocefal	22983	宏头	True
makrokosm	22986	宏宇	True
makroskop	22990	宏镜	True
maltoz	24033	麦芽糖	True
mamografi	24143	乳志	True
manipulator	24261	操具	True
mant	24316	虫	False
medolit	24785	髓炎	False
megafon	24797	巨声	True
megalit	24799	巨石	True
megalomani	24802	巨狂	True
megavat	24808	百万瓦	True
melongen	24868	茄	False
meningit	25027	脑膜炎	True
metacentr	25147	超央	True
metafizik	25148	超物理	True
metamorf	25174	超形	True
metamorfoz	25178	超形症	True
metapsiki	25183	超心	True
metastabil	25184	超稳	True
metatars	25185	超足根	True
meteologi	25194	气学	True
meteolog	25195	气学家	True
meteorism	25197	陨主义	True
meteorologi	25201	气学	False
meteorolog	25202	气学家	False
metodologi	25226	方法学	True
metrologi	25238	米学	True
metronom	25239	计律	True
mezon	25285	中子	True
mikrobiologi	25383	微生学	True
mikrofilm	25386	微影	True
mikrofon	25388	微声	True
mikrokanel	25389	微槽	True
mikrokok	25393	微菌	True
mikrokosm	25394	微宇	True
mikrokredit	25395	微信受	True
mikrometr	25396	微米	True
mikroorganism	25402	微器主义	True
mikroskop	25404	微镜	True
mikrotom	25407	微切	True
miligram	25446	毫克	True
militarism	25464	军主义	True
militarist	25465	军家	True
milv	25512	鹰	False
mimeograf	25514	印记	True
mineralogi	25544	矿学	True
mineralog	25545	矿学家	True
miog	25630	姜	False
miriametr	25646	万米	True
miriapod	25647	万足	True
mitologi	25755	神话学	True
mitolog	25756	神话学家	True
