判定	見出し	ラテン維持分節	学習者版	学術版	学術版の当該字	語釈
受理済	gonadostimulino	in	gonad/o/stimul/in/o⟦性腺/o/激ˢ/in/o⟧	gonad/o/stimulin/o⟦性腺/o/激素ˢ/o⟧	激素ˢ	【生】【PIV】(kn (kolektiva nomo)) Hipofiza hormono, kiu stimulas la gonado
受理済	granulomozo	om	granul/om/oz/o⟦粒ᴳᴺ/om/症ᴼ/o⟧	granulom/oz/o⟦粒瘤/症ᴼ/o⟧	粒瘤	【PIV】Nomo de kelkaj malsanoj, karakterizataj de la c^eesto de granulom
受理済	hemolizino	in	hemo/liz/in/o⟦血ᴴ/解ᴸ/in/o⟧	hemo/lizin/o⟦血ᴴ/解/o⟧	解	【生】【医】【PIV】(kn (kolektiva nomo)) Substanco, estiganta hemo lizon: sera
受理済	heteroglobino	in	hetero/glob/in/o⟦异ᴴ/球ᴳ/in/o⟧	hetero/globin/o⟦异ᴴ/珠蛋白/o⟧	珠蛋白	【化】【生】【PIV】Heteroproteino, konsistanta el hemo k globino, kiu transpor
受理済	homeopatia	homeo	homeo/pati/a⟦homeo/病ᴾ/a⟧	homeopati/a⟦顺势/a⟧	顺势	同種療法の,ホメオパシーの;《転》極微量の##偽分解
受理済	homeopatio	homeo	homeo/pati/o⟦homeo/病ᴾ/o⟧	homeopati/o⟦顺势/o⟧	顺势	{Ｏ}【医】同種療法,ホメオパシー##偽分解
受理済	infrarug^a	infra	infra/rug^/a⟦infra/红/a⟧	infrarug^/a⟦红外/a⟧	红外	【理】赤外線の,=transrug^a##偽分解(PIV正式分解)
受理済	infrarug^ajradioj	infra	infra/rug^/aj/radi/oj⟦infra/红/aj/射ᴿ/oj⟧	infrarug^/aj/radi/oj⟦红外/aj/射ᴿ/oj⟧	红外	【理】赤外線##偽分解(PIV正式分解)
受理済	interezprocento	pro	interez/pro/cent/o⟦利ᴵ/pro/百/o⟧	interez/procent/o⟦利ᴵ/率/o⟧	率	利率,金利##偽分解
受理済	klementino	in	klement/in/o⟦klement/in/o⟧	klementin/o⟦木ᴷᴸᴱ/o⟧	木ᴷᴸᴱ	【植】【PIV】Frukto tre simila al mandarino, sed malfrue maturig^inta, kun 
受理済	klementino	klement	klement/in/o⟦klement/in/o⟧	klementin/o⟦木ᴷᴸᴱ/o⟧	木ᴷᴸᴱ	【植】【PIV】Frukto tre simila al mandarino, sed malfrue maturig^inta, kun 
受理済	kordakvarteto	tet	kord/a/kvar/tet/o⟦弦/a/四/tet/o⟧	kord/a/kvartet/o⟦弦/a/四重/o⟧	四重	【楽】弦楽四重奏##偽分解(PIV正式分解)##過細分解 kord/a kvar/t/e/t/o
受理済	kvarteto	tet	kvar/tet/o⟦四/tet/o⟧	kvartet/o⟦四重/o⟧	四重	【楽】カルテット（四重唱曲，四重奏曲）;【楽】カルテット（四重唱団，四重奏団）##偽分解(PIV正式分解)##過細分解 kvar/t/e/t
受理済	laktoflavino	in	lakt/o/flav/in/o⟦乳/o/黄/in/o⟧	lakt/o/flavin/o⟦乳/o/黄ᶠᴺ/o⟧	黄ᶠᴺ	【PIV】= ribo flavino.##偽分解(PIV正式分解)
受理済	limfangiomo	om	limf/angi/om/o⟦淋ᴸ/脉ᴬᴺ/om/o⟧	limf/angiom/o⟦淋ᴸ/血管瘤/o⟧	血管瘤	【PIV】Angiomo el limfaj angioj.##偽分解(PIV正式分解)##過細分解 limf/angi/o/m/o
受理済	maj^oratonalo	al	maj^or/a/ton/al/o⟦大ᴹᴶ̂/a/调/al/o⟧	maj^or/a/tonal/o⟦大ᴹᴶ̂/a/调ᵀᴸ/o⟧	调ᵀᴸ	【楽】長調##偽分解
受理済	metakarpeo	karpe	meta/karpe/o⟦超ᴹ/karpe/o⟧	metakarpe/o⟦掌骨ᴹᴱ/o⟧	掌骨ᴹᴱ	【解】=metakarpo（中手）##偽分解(PIV正式分解)
受理済	metilglikolo	ol	met/il/glik/ol/o⟦甲/基/糖ᴳᴵ/ol/o⟧	metil/glikol/o⟦甲ᴹ/醇ᴳ/o⟧	醇ᴳ	【PIV】1,2−propandiolo.##偽分解(PIV正式分解)##過細分解 m/e/t/il/glik/o/l/o
受理済	minoratonalo	al	minor/a/ton/al/o⟦小ᴹᴿ/a/调/al/o⟧	minor/a/tonal/o⟦小ᴹᴿ/a/调ᵀᴸ/o⟧	调ᵀᴸ	【楽】短調##偽分解
受理済	mioglobino	in	mi/o/glob/in/o⟦肌/o/球ᴳ/in/o⟧	mi/o/globin/o⟦肌/o/珠蛋白/o⟧	珠蛋白	【化】【生】【PIV】Muskol globino.##偽分解(PIV正式分解)
受理済	multtonaleco	al	mult/ton/al/ec/o⟦多/调/al/性/o⟧	mult/tonal/ec/o⟦多/调ᵀᴸ/性/o⟧	调ᵀᴸ	【PIV】Kunekzisto de diversaj tonaloj.##偽分解
受理済	muskolglobino	in	muskol/glob/in/o⟦筋/球ᴳ/in/o⟧	muskol/globin/o⟦筋/珠蛋白/o⟧	珠蛋白	【PIV】Hetero globino de la striitaj k kora muskoloj, kiu staplas oksige
受理済	netonala	al	ne/ton/al/a⟦不/调/al/a⟧	ne/tonal/a⟦不/调ᵀᴸ/a⟧	调ᵀᴸ	【楽】【PIV】Komponita lau^ sistemo, kiu ne obeas la tonalajn regulojn de l
受理済	okto	t	ok/t/o⟦八/t/o⟧	okt/o⟦八度ᴼᴷ/o⟧	八度ᴼᴷ	【楽】【PIV】Intervalo inter ok tonoj en diatona gamo (frekvencproporcio: 2
受理済	papilomo	papil	papil/om/o⟦papil/瘤/o⟧	papilom/o⟦乳头瘤/o⟧	乳头瘤	【医】乳頭腫（にゅうとうしゅ）##偽分解(PIV正式分解)##過細分解 papil/o/m/o
受理済	papilomozo	om	papil/om/oz/o⟦papil/om/症ᴼ/o⟧	papilom/oz/o⟦乳头瘤/症ᴼ/o⟧	乳头瘤	【医】【PIV】Kontag^a afekcio, karakterizata de papilomoj, ofta c^e la hund
受理済	papilomozo	papil	papil/om/oz/o⟦papil/om/症ᴼ/o⟧	papilom/oz/o⟦乳头瘤/症ᴼ/o⟧	乳头瘤	【医】【PIV】Kontag^a afekcio, karakterizata de papilomoj, ofta c^e la hund
受理済	paramagneta	para	para/magnet/a⟦para/磁/a⟧	paramagnet/a⟦顺磁/a⟧	顺磁	【理】常磁性の##偽分解(PIV正式分解)
受理済	paramagnetakorpo	para	para/magnet/a/korp/o⟦para/磁/a/体/o⟧	paramagnet/a/korp/o⟦顺磁/a/体/o⟧	顺磁	【理】常磁性体##偽分解(PIV正式分解)
受理済	paramagnetismo	para	para/magnet/ism/o⟦para/磁/主义/o⟧	paramagnet/ism/o⟦顺磁/主义/o⟧	顺磁	【理】常磁性##偽分解(PIV正式分解)
受理済	penicilino	in	penicil/in/o⟦菌ᴾᴺ/in/o⟧	penicilin/o⟦青霉素/o⟧	青霉素	{Ｏ}【薬】ペニシリン##偽分解(PIV正式分解)
受理済	penicilinoterapio	in	penicil/in/o/terapi/o⟦菌ᴾᴺ/in/o/疗/o⟧	penicilinoterapi/o⟦青霉素疗/o⟧	青霉素疗	【医】【PIV】Kuracado per penicilino.##偽分解(PIV正式分解)
受理済	pentametilenglikolo	ol	penta/metilen/glik/ol/o⟦五ᴾ/亚甲/糖ᴳᴵ/ol/o⟧	penta/metilen/glikol/o⟦五ᴾ/亚甲/醇ᴳ/o⟧	醇ᴳ	【化】【PIV】HO-(CH 2) 5-OH, viskeca, oleeca likvo uzata en bremsfluidoj, p
受理済	plenduto	t	plen/du/t/o⟦满/二/t/o⟧	plen/dut/o⟦满/二度/o⟧	二度	【PIV】Plej granda intervalo inter du sinsekvaj tonoj de diatona gamo.##
受理済	procentege	pro	pro/cent/eg/e⟦pro/百/巨/e⟧	procent/eg/e⟦率/巨/e⟧	率	高利で,>>uzure##偽分解
受理済	procentegisto	pro	pro/cent/eg/ist/o⟦pro/百/巨/家/o⟧	procent/eg/ist/o⟦率/巨/家/o⟧	率	高利貸,>>uzuristo##偽分解
受理済	procentego	pro	pro/cent/eg/o⟦pro/百/巨/o⟧	procent/eg/o⟦率/巨/o⟧	率	【商】高利,>>uzuro##偽分解
受理済	procento	pro	pro/cent/o⟦pro/百/o⟧	procent/o⟦率/o⟧	率	{Ｂ}パーセント,=elcento;利率,利回り;利息,利子,=interezo##偽分解
受理済	prognata	gnat	pro/gnat/a⟦前ᴾᴼ/gnat/a⟧	prognat/a⟦凸ᴾᴳ/a⟧	凸ᴾᴳ	【解】【PIV】Prezentanta antau^en-elstara(j)n makzelo(j)n. Vd protruda, ort
受理済	prognateco	gnat	pro/gnat/ec/o⟦前ᴾᴼ/gnat/性/o⟧	prognat/ec/o⟦凸ᴾᴳ/性/o⟧	凸ᴾᴳ	【PIV】Makzela protrudeco: prognateco de la maksiloj, de la mandiblo, de
受理済	pseu^doefedrino	in	pseu^do/efedr/in/o⟦伪ᴾ/木ᴱᶠ/in/o⟧	pseu^do/efedrin/o⟦伪ᴾ/麻黄碱/o⟧	麻黄碱	【化】【PIV】Natura optika izomero de efedrino, uzata por mildigi katarsimp
受理済	pteranodonto	odont	pter/an/odont/o⟦翅/无ᴬ/odont/o⟧	pteranodont/o⟦龙ᴾᵀ/o⟧	龙ᴾᵀ	【動】【PIV】G. (Genro) (Pteranodon) de grandaj flugsau^roj, kiuj vivis dum
受理済	riboflavino	in	rib/o/flav/in/o⟦核ᴿ/o/黄/in/o⟧	rib/o/flavin/o⟦核ᴿ/o/黄ᶠᴺ/o⟧	黄ᶠᴺ	【化】【PIV】Flava, akvosolvebla substanco C 17 H 20 O 6 N 4 (vitamino B2),
受理済	riparprocento	pro	ripar/pro/cent/o⟦修/pro/百/o⟧	ripar/procent/o⟦修/率/o⟧	率	【PIV】Procento de materialo provizore neuzebla pro difekto.##偽分解
受理済	sangoglobino	in	sang/o/glob/in/o⟦血/o/球ᴳ/in/o⟧	sang/o/globin/o⟦血/o/珠蛋白/o⟧	珠蛋白	【化】【生】【PIV】Hemo globino 1.##偽分解(PIV正式分解)
受理済	sentonala	al	sen/ton/al/a⟦无/调/al/a⟧	sen/tonal/a⟦无/调ᵀᴸ/a⟧	调ᵀᴸ	【楽】【PIV】Komponita lau^ sistemo, kiu ne obeas la tonalajn regulojn de l
受理済	sporotrikumo	um	spor/o/trik/um/o⟦胞子/o/毛ᵀ/um/o⟧	sporotrikum/o⟦菌ˢᴹ/o⟧	菌ˢᴹ	【植】【PIV】G. (Genro) (Sporotrichum) kosmopolita de c^. (c^irkau^) 40 sp-
受理済	stimulino	in	stimul/in/o⟦激ˢ/in/o⟧	stimulin/o⟦激素ˢ/o⟧	激素ˢ	【生】【化】【PIV】Organisma substanco (precipe pp (se paroli pri) hormono), k
受理済	taoismano	ta	ta/o/ism/an/o⟦ta/o/主义/员/o⟧	taoism/an/o⟦道主义/员/o⟧	道主义	【宗】道士##偽分解
受理済	taoismo	ta	ta/o/ism/o⟦ta/o/主义/o⟧	taoism/o⟦道主义/o⟧	道主义	【宗】道教##偽分解
受理済	terapeu^tika	terapeu^t	terapeu^t/ik/a⟦terapeu^t/学ᴵ/a⟧	terapeu^tik/a⟦疗ᵀᵁ̆/a⟧	疗ᵀᵁ̆	=terapia（治療に関する）##偽分解(PIV正式分解)
受理済	terapeu^tiko	terapeu^t	terapeu^t/ik/o⟦terapeu^t/学ᴵ/o⟧	terapeu^tik/o⟦疗ᵀᵁ̆/o⟧	疗ᵀᵁ̆	【医】治療学##偽分解(PIV正式分解)
受理済	tetrationato	tion	tetra/tion/at/o⟦四ᵀᴬ/tion/盐ᴬ/o⟧	tetrationat/o⟦四硫/o⟧	四硫	【化】【PIV】Salo de tetrationata acido, H 2 O 6 S 4.##偽分解(PIV正式分解)##過細分解 t
受理済	tiroidstimulino	in	tiroid/stimul/in/o⟦甲状/激ˢ/in/o⟧	tiroid/stimulin/o⟦甲状/激素ˢ/o⟧	激素ˢ	【生】【PIV】Tiroidostimula hormono.##偽分解(PIV正式分解)
受理済	tonala	al	ton/al/a⟦调/al/a⟧	tonal/a⟦调ᵀᴸ/a⟧	调ᵀᴸ	【PIV】Rilata al tonalo.##偽分解
受理済	tonaleco	al	ton/al/ec/o⟦调/al/性/o⟧	tonal/ec/o⟦调ᵀᴸ/性/o⟧	调ᵀᴸ	【PIV】La organizo de la tonoj k akordoj lau^ la tonalo(j) de komponaj^o
受理済	tonalo	al	ton/al/o⟦调/al/o⟧	tonal/o⟦调ᵀᴸ/o⟧	调ᵀᴸ	【楽】調（ちょう）,>>maj^ora,>>minora##偽分解
受理済	tuberkulinaekzameno	in	tuberkul/in/a/ekzamen/o⟦结ᵀ/in/a/检ᴱ/o⟧	tuberkulin/a/ekzamen/o⟦结核素/a/检ᴱ/o⟧	结核素	【医】ツベルクリン検査##偽分解(PIV正式分解)
受理済	tuberkulinareakcio	in	tuberkul/in/a/reakci/o⟦结ᵀ/in/a/反应/o⟧	tuberkulin/a/reakci/o⟦结核素/a/反应/o⟧	结核素	【医】ツベルクリン反応##偽分解(PIV正式分解)
受理済	tuberkulinizado	in	tuberkul/in/iz/ad/o⟦结ᵀ/in/化/行/o⟧	tuberkulin/iz/ad/o⟦结核素/化/行/o⟧	结核素	【PIV】1 (ark. (arkaismo, arkaisme)) Memtoksig^o per tuberkulino, produk
受理済	tuberkulino	in	tuberkul/in/o⟦结ᵀ/in/o⟧	tuberkulin/o⟦结核素/o⟧	结核素	【化】ツベルクリン##偽分解(PIV正式分解)
受理済	uratemio	ur	ur/at/emi/o⟦ur/盐ᴬ/血ᴱ/o⟧	uratemi/o⟦尿酸盐血/o⟧	尿酸盐血	【生】【医】【PIV】C^eesto au^ kvanto de urata acido en la sango: hiper uratem
受理済	urato	ur	ur/at/o⟦ur/盐ᴬ/o⟧	urat/o⟦尿酸盐/o⟧	尿酸盐	【PIV】Unu el la saloj de la urata acido, kiu povas precipitig^i en la o
受理済	vegetaj^afibrino	in	veget/aj^/a/fibr/in/o⟦茂/物/a/纤/in/o⟧	veget/aj^/a/fibrin/o⟦茂/物/a/纤蛋白/o⟧	纤蛋白	【植】麩素（ふそ）,=gluteno##偽分解(PIV正式分解)
受理済	vitrodentino	in	vitr/o/dent/in/o⟦玻/o/齿/in/o⟧	vitr/o/dentin/o⟦玻/o/齿质/o⟧	齿质	【動】【PIV】Vitrobrila, malmola substanco, kiu tegas la dentinon de la den
