kanji	root	gloss
虫	anobi	【虫】アノビウム（シバンムシ科の一属、幼虫が家具・建材の害虫）
虫	elater	【虫】コメツキムシ（科の総称）;【植】弾糸（胞子をはじき出す糸状器官
虫	afid	【虫】アブラムシ（油虫）,アリマキ（蟻巻）（科の総称）,=plant
虫	aleu^rod	【動】【PIV】G. (Genro) (Aleyrodes, sin
虫	krizomel	【動】【PIV】G. (Genro) (Chrysomela) de
虫	tortrik	【動】【PIV】Noktpapilio (unuspecia g. 
虫	drozofil	【動】【PIV】G. (Genro) (Drosophila) de
虫	taban	【虫】アブ（虻）（科の総称）
虫	tine	【虫】イガ（衣蛾）（幼虫が毛織物を食べる）
虫	ojstr	【虫】ヒツジバエ（羊蠅）（属）
虫	tipul	【虫】ガガンボ
虫	alveolin	【動】【PIV】G. (Genro) (Alveolina el a
虫	fuzulin	【動】【PIV】G. (Genro) (Fusulina el fu
蝶	papilion	【虫】アゲハチョウ（揚羽蝶）（属）
蝶	pierid	【動】【PIV】G. (Genro) (Pieris) de tag
蛛	terafoz	【動】【PIV】G. (Genro) (Theraphosa) de
蜂	cinip	【動】【PIV】G. (Genro) (Cynips) de him
蛙	hil	【動】アマガエル（雨蛙）（属）,=verda rano
蛙	salamandr	【動】サンショウウオ（山椒魚）の類;サラマンドラ（ヨーロッパイモリ）
龟	emid	【動】【PIV】Testudulo (Emys k parencaj
龟	keloni	【動】ウミガメ（科の総称）,=martestudo;アオウミガメ（属
鼠	didelf	【動】オポッサム（属）,フクロネズミ
鼠	sorik	【動】トガリネズミ
鼠	kavi	【動】【PIV】G. (Genro) (Cavia) de Amer
猴	ceb	【動】【PIV】G. (Genro) (Cebus) de simi
猴	hapal	【PIV】(ark. (arkaismo, arkaisme)) =
猴	kalitriks	【動】【PIV】G. (Genro) (Callithrix) de
猴	kolob	【動】【PIV】G. (Genro) (Colobus) de si
猴	cerkopitek	【動】【PIV】G. (Genro) (Cercopithecus)
猫	felis	【動】ネコ属（の動物）,>>kato
犬	kanis	【動】【PIV】G. (Genro) (Canis) de mamu
马	onagr	【動】【PIV】Sp. (Specio) de ekvo (Equu
猪	su	【動】【PIV】Apro.
鹿	tragol	【動】【PIV】G. (Genro) (Tragulus) de t
犀	rinocer	【動】サイ（犀）（属・科）
蝠	filostom	【動】【PIV】G. (Genro) (Phyllostomus) 
蝠	vespertilion	【動】【PIV】G. (Genro) (Vespertilio) d
兽	dazipod	【動】【PIV】G. (Genro) (Dasypus) de ma
兽	mirmekofag	【動】オオアリクイ（大蟻喰）,=formikurso
兽	falanger	【動】【PIV】G. (Genro) (Phalanger) de 
兽	lutr	【動】カワウソ（属）（川獺）
兽	viver	【動】【PIV】G. (Genro) (Viverra) de S-
兽	otari	【動】オタリア
蛇	kolubr	【動】コルブラ,ムチヘビ（ナミヘビ科の無毒ヘビの一群）
蛇	elap	【動】【PIV】G. (Genro) (Elaps) de kolo
蛇	viper	【動】=vipuro（マムシ）
蟹	pagur	【動】ヤドカリ（宿借）
蟹	limul	【動】カブトガニ
虾	salikok	【動】コエビ（類）;《般》エビ（海老，蝦）
虾	pandal	【動】【PIV】G. (Genro) (Pandalus) de m
虾	pene	【動】【PIV】G. (Genro) (Penaeus k pare
贝	folad	【貝】ニオガイ（属）
菌	botul	【生】【PIV】Sp. (Specio) de klostridio
菌	leptospir	【生】【PIV】G. (Genro) (Leptospira el 
肠	ile	【解】回腸,>>maldika intesto
燃	fuel	【技】【PIV】Solida, likva au^ gasa sub
秘	okult	神秘的な,超自然的な,魔術的な,オカルトの,>>mistera
辩	diskurs	［自］弁舌をふるう,演説をする
套	laz	［他］投げなわで捕らえる
钝	hebet	【医】【PIV】Trafita de hebeteco.
丹毒	erizipel	【病】丹毒（たんどく）
