root	proposal	tier	rationale	verdict	problem	fix
drakunkol	龙芋	3_compound	サトイモ科(芋)の竜名属Dracunculus	OK	自由。drak=龙、芋は amorfofal=魔芋 の構成字(芋単独は未使用)。サトイモ科の既定は草(arum/kolokazi/anturi=草)だが、龙芋の方が情報量が多く許容	
ebol	血毒	3_compound	出血熱を起こすウイルス。virus=毒	OK	【参考】virus=毒/sang=血で組成は正しいが、血毒は敗血・血液毒とも読める汎用性がある。出がパレット外で出血毒は不可のため代替なし。	
edelvejs	雪菊	3_compound	キク科ウスユキソウ、雪の花	OK	自由。neĝ=雪でキク科の菊も正しい。ただし中国語で 雪菊 は昆仑雪菊(Coreopsis, koreops=菊)を指す既存名で軽い衝突。エーデルワイスの中国語通用名 雪绒(花)も自由なので代案になる	雪绒(任意)
egopodi	岩芹	3_compound	セリ科イワミツバ＝岩＋芹	OK	自由。ただし岩は rok/petr に固定され、既に petroselin=岩伞(petr+selin)がある。岩芹は petro- 系合成と読み違えられ得る(和名イワミツバ由来としては妥当)	
eki	蓝花	3_compound	ムラサキ科、漢名蓝蓟の青い花	OK	自由。blu=蓝, flor=花で「青い花」という汎用語に近く、cejan=蓝菊 のような科情報が無いのが弱点。ただし既存 蓝菊 と同じ構成法で、実在名との衝突は無い	
ekinokl	粟	1_family	イネ科ヒエ属の雑穀、キビ属粟と同列	NG	粟(単字)は panic=キビ属 Panicum の専有字(palette でも 粟 は生物1=panicのみ)。Echinochloa はヒエ属で別属、完全同一表示になり属の区別が消える。粟はイネ科の科別字ではない(イネ科の既定は草、穀類は麦)	野粟(自由。野=palette収載、ヒエ＝雑穀/野生粟の意)
ekvil	鱼	2_superordinate	イカナゴ科に該当字なし。魚の上位字	OK		
eleagn	木	2_superordinate	グミ科の低木、科別字なく木本字	OK	同科(グミ科)の hipofe が既に 木。科別字は無く整合	
enad	鸽	1_family	ヒメモリバトはColumba属。kolombと同属	OK		
enant	水芹	3_compound	セリ科Oenanthe＝漢名水芹属	OK	自由で漢名 水芹属 と一致。cikut=毒芹 とも体系が揃う	
endokarp	内果皮	3_compound	果皮の内層、そのまま内果皮	OK	intern=内, frukt=果, 皮 の透明な鏡像で自由。3字だが術語として正確	
epigin		4_none	子房下位の意、下位を表す既使用字なく保留	OK	保留自体は妥当。ただし理由「下位を表す既使用字なく」は不正確で、下は sub=下 として実使用中(今回のpalette抜粋は上位400字のみで下が載っていないだけ)。全字表を見れば 下位/巢下 等の余地はある	
epikarp	外果皮	3_compound	果皮の外層、そのまま外果皮	OK	ekster=外 で endokarp と対になる。自由	
epilobi	红花	3_compound	アカバナ科アカバナ属＝赤花	NG	红花は中国語でベニバナ(Carthamus=kartam、本マップでは菊)を指す著名な生薬名で、アカバナ科 Epilobium とは別物。加えて ruĝ=红/flor=花 という完全透明な合成で識別子として弱い。和名アカバナの直訳に寄りすぎ	柳菜(自由。中国語正名 柳叶菜属 の短縮)
epizooti	兽病	3_compound	獣の流行病;兽+病(疫字はパレット外)	NG	『疫字はパレット外』が事実誤認。疫は使用中(epidemi=疫, pest=疫, vakcin=疫苗, epidemiologi=疫学)。epizootio=獣の流行病なので zo(兽)+epidemi(疫) の鏡像がそのまま成る。兽病では単なる『獣の病気』(morb=病)で流行性が落ちる。	兽疫
erantid	节分草	3_compound	キンポウゲ科、和名セツブンソウ＝節分草	NG	节分は日本固有の暦語で、中国語・韓国語版(index.zh/ko.html)の読者には全く通じない。かつ3字で冗長。同科の ranunkol/helebor/akonit は全て 草 で、3字を投じる根拠も弱い	冬草(自由。学名 hyemalis=冬 に対応)。難しければ科既定の 草
eringi	刺芹	3_compound	セリ科Eryngium＝漢名刺芹属	OK	自由で漢名 刺芹属 と一致。良い	
eriobotri	梨	1_family	バラ科ナシ亜科の常緑果樹ビワ、梨に最近縁	NG	梨(単字)は pir=Pyrus の専有字。ビワは Eriobotrya で別属、完全同一表示になり「ビワ＝ナシ」になってしまう。同亜科の mespil=果, cidoni=木瓜, malus/sorbus=木 のように別字が与えられている	毛果(自由。語釈自身が >>lanmespilo と示す通り lan=毛 + mespil=果 の鏡像)
eriofor	棉草	3_compound	カヤツリグサ科ワタスゲ＝綿毛の穂の草	OK	自由。棉は koton/vat の表示字なので、棉草＝kotonherbo の鏡像として機能する。同科の kareks/scirp/ciper=草 とも矛盾しない	
erizim	芥	1_family	アブラナ科エゾスズシロ属、漢名糖芥属	NG	芥(単字)は mustard と sinap(いずれもカラシ)に固定済み。Erysimum は別属で、アブラナ科の既定字は草/菜(kres/armoraci/tlasp=草, brasik=菜)。芥はカラシ限定字なので過大代用	糖芥(自由。中国語正名 糖芥属)
eruk	菜	1_family	アブラナ科の食用葉菜ルッコラ	OK	裸の菜は食用葉菜の上位字(legom/brasik/lap/artiŝok/amarant等8語根)。ルッコラは葉菜なので整合	
estragon	龙艾	3_compound	キク科ヨモギ属(艾)、漢名龙蒿	OK	自由。absint=苦艾(艾=Artemisia)と体系が揃い、漢名 龙蒿 とも対応。drakunkol=龙芋 との龙共有も一貫	
fakoc^er	瘤猪	3_compound	イノシシ科イボイノシシ;veruk瘤+猪	OK		
falar	茅	1_family	イネ科クサヨシ属の野草、茅字	NG	二重の不整合。(1)茅(単字)は espart=Stipa(エスパルト)の専有字で、Phalaris は別属→完全重複。(2)同属の異綴語根 falarid が既に 草 に割当済みで、falar だけ茅にすると同一属が二字に割れる(双子語根の不整合)	草(falarid と揃える)。茅を使うなら falarid も同時に改める必要がある
falarop	鸟	2_superordinate	ヒレアシシギ。同鳥の語根falaropodも鸟	OK		
fanerogam	花植	3_compound	花をつける植物＝顕花植物、裸子と対	OK	字選び自体は許容(自由)。ただし理由の「裸子と対」は誤り——対語は kriptogam(隠花植物)であって gimnosperm(=裸子)ではない。また flor=花/fit・plant=植 なので合成語 florplanto と同一表示になる潜在衝突がある	
farbit	旋	1_family	ヒルガオ科(旋花科)のアサガオ	NG	旋(単字)は spiral/rotaci/pivot/ciklon/gir/giro/turb/piruet の8語根＝機械・回転語に完全占有されている。植物に裸の旋を与えると「渦・回転」と読まれる分野越境の重複。ヒルガオ科の既存は kalistegi=旋花, ipome=草	旋草(自由)。ただし未割当の konvolvul(biolist 219行, 漢名 旋花属)用に旋藤/旋蔓を残すこと。保守案は 草(同属 ipome=草 と整合)
fasciol	肝吸虫	3_compound	扁形動物吸虫;肝蛭=肝+吸+虫	OK		
fatsi	掌木	3_compound	ウコギ科ヤツデ、掌状葉の常緑低木	OK	自由。掌は polm(手のひら)に固定されており「八つ手」の直訳として機能する。kakt=仙人掌 の掌と読み違える軽い危険はあるが、同科の arali=木 とも区別でき許容	
felandri	毒水芹	3_compound	有毒のセリ属(水芹)、cikut毒芹と別	OK	自由。cikut=毒芹, enant=水芹 と体系が揃う。3字だが有毒セリ属の識別として妥当	
feloid	猫	1_family	ネコ科(felisedoj)の総称;felis猫が科字	NG	猫は既に kat=猫 と felis=猫 の2語根が保持しており、3語根目の完全重複になる(homonym層の負荷増)。語釈は=felisedoj(ネコ科)で、接尾 ed/ac=科 が既に確定しているため科字で正確に区別できる。	猫科(felis猫+ed科の鏡像)
fenkol	香伞	3_compound	セリ科ウイキョウ＝茴香、香＋散形科	OK	自由。arom/spic=香、伞はセリ科科別字。茴がpalette外である以上、茴香の代替として妥当	
ferol	大伞	3_compound	セリ科オオウイキョウ属、大型の散形科	OK	自由。grand=大でやや汎用だが、近縁の ferolag=伞 と識別でき許容	
festuk	羊茅	3_compound	イネ科ウシノケグサ属＝漢名羊茅	OK	自由で漢名 羊茅属 と完全一致。良い(なお、これがあるので falar に裸の茅を与えるのは一層不可)	
filant	橘草	3_compound	コミカンソウ＝小蜜柑状の実をつける草	NG	(1)橘は mandarin=橘(ミカン)に固定された字で、Phyllanthus(コミカンソウ科)は無縁——科レベルの誤友。(2)橘草 は中国語で実在する別植物名(Cymbopogon goeringii)で、cimbopogon=草 と衝突する紛らわしさがある	叶花(自由。学名 Phyllanthus＝葉+花 の直訳で、foli=叶/flor=花 の既存字に一致)
filokser	葡虫	3_compound	ブドウネアブラムシ=vinlau^so。afid=虫	OK		
fimbril	边毛	3_compound	縁の房状突起＝縁(边)＋毛	OK	自由。rand=边, lan/har=毛 の鏡像。cili=纤毛 とも区別できる	
flakurti	果木	3_compound	ヤナギ科の熱帯果樹、果＋木	NG	「果樹」という一般名詞そのもので、属を特定する情報が皆無(過度な汎用化)。加えて frukt=果/lign=木 なので合成語 fruktligno と同一表示になる衝突リスクもある	刺木(自由。中国語正名 刺篱木属、pik/dorn=刺)
fles	比目鱼	1_family	ヌマガレイはカレイ科。pleu^ronekt=比目鱼と同科	OK		
foin	石鼠	3_compound	イタチ科テン(既定=鼠);中国名石貂	OK		
foliol	小叶	3_compound	小葉、foli=叶の縮小形	OK	自由。et=小, foli=叶 の鏡像。合成語 folieto は語根順で 叶小 になるため衝突しない	
forfikul	钳虫	3_compound	ハサミムシ目。腹端に鋏(钳)を持つ虫	OK		
fragmit	芦	1_family	イネ科ヨシ属＝芦(あし)	OK	自由。中国語 芦(苇)＝ヨシで正確。芦は kalabas=葫芦 の構成字だが単独使用は空いている	
fraksen	白蜡	3_compound	モクセイ科トネリコ属＝漢名白蜡树	OK	自由で中国語正名 白蜡树 の短縮。ligustr=女贞, siring=丁香, kaprifoli=忍冬 と同じ「中国語植物名をそのまま使う」既存方針に沿う	
frangol	木	2_superordinate	クロウメモドキ科の落葉低木、科別字なし	OK	同属の ramn(Rhamnus)が既に 木 なので科内整合はとれている。ただし ramn と完全同一表示になり区別は失われる(クロウメモドキ科に科別字は無いので代案なし)	
fraterkul	鸟	2_superordinate	ツノメドリはウミスズメ科。alka/pufinも鸟	OK		
fringel	黄雀	3_compound	マヒワはアトリ科。黄(黄羽)+雀	OK		
fuksi	铃花	3_compound	アカバナ科フクシア、垂れる鈴状の花	OK	自由。铃は konval=铃兰, soldanel=雪铃 の構成字で、sonorilo は接尾語合成のため 铃花 との衝突は起きない。ただし未割当の kampanul(biolist 201行, ホタルブクロ属＝sonorilfloro)が本来「鈴の花」の第一候補なので、kampanul には中国語正名の 风铃(草)を確保しておくこと	
fuligul	潜鸭	3_compound	キンクロハジロはAythya=潜水ガモ。潜+鸭	OK		
fulik	秧鸡	1_family	オオバンはクイナ科。ral=秧鸡と同科	OK		
fumari	草	2_superordinate	ケシ科カラクサケマン属の草本、科別字なし	OK	同科の koridal=草, papav/papaver=草 と整合。科別字は無い	
fur	雪鼠	3_compound	イタチ科ケナガイタチ変種;中国名雪貂	OK		
galeopitek	翼猴	3_compound	皮翼目ヒヨケザル;滑空の翼+猴	OK	参考: PIV層の kaguang(=ヒヨケザル同一動物)が兽。粒度差が残る点は承知の上で(翼猴の方が精密)。	
galinol	秧鸡	1_family	バンはクイナ科。ralと同科	OK		
galinul	秧鸡	1_family	galinoloと同一のバン。同表示	OK		
gastornit	巨鸟	3_compound	始新世の地上性巨鳥。巨+鸟(epiornit=隆鸟に倣う)	OK		
gek	壁虎	1_family	ヤモリ科=壁虎そのもの(lacert現行と重複注意)	NG	lacert=壁虎(content層・基本語根)と完全重複。提案理由も重複を自認している。壁虎は本来ヤモリの名なのでlacert側が過大だが、基本語根の変更はchurnになる。	壁虎科(語釈『ヤモリ(類)』に対応, ed/ac=科)。重複を許容して壁虎のまま出すなら要ユーザー裁定
genist	豆	1_family	マメ科ヒトツバエニシダ属	OK	citiz と同様。マメ科既定字で整合	
genot	斑狸	3_compound	ジャコウネコ科;中国名斑林狸=斑+狸	OK		
georgin	菊	1_family	キク科ダリア(=dalio)	OK	dali(=同一植物ダリア)が既に 菊 なので、同義語根が同一字になる既存慣行(taget/tag^et、papav/papaver、tragopog/tragopogon)どおり	
gerbil	野鼠	3_compound	ネズミ科アレチネズミ;沙字なく野+鼠	NG	『沙字なく』が事実誤認。沙は使用中(sabl=沙, dun=沙丘, raŭk=沙哑)。中国名そのものの沙鼠が作れるのに、野=sovaĝ の汎用語で『野生のネズミ』に薄めている(過大代用)。	沙鼠
geum	草	2_superordinate	バラ科の草本;potentil等同科草本も草	OK		
ginece	雌蕊	3_compound	雌ずい群;stamen=雄蕊と対の雌+蕊	OK		
ginostem	蕊柱	3_compound	ラン科の蕊柱;蕊が合着した柱	OK		
gipaet	须鹰	3_compound	ヒゲワシはタカ科。须(髭)+鹰(vultur=秃鹰型)	OK		
gladiol	花	1_family	アヤメ科;科根irid・krokusも花	OK		
glareol	鸟	2_superordinate	ツバメチドリ科。チドリ目に該当字なし	OK		
glau^ci	角草	3_compound	ケシ科(papav=草);角状の長い果実	OK		
glekom	草	2_superordinate	シソ科の草本;nepet・melisも草	OK		
gliceri	甜茅	3_compound	イネ科;中国名甜茅属(茅=espart)	OK		
