root	proposal	kind
fraksen	蜡	single
frangol	木	single
fraterkul	鸟	single
fringel	雀	single
fuksi	花	single
fuligul	鸭	single
fulik	鸡	single
fumari	草	single
fur	鼠	single
galeopitek	猴	single
galinol	鸡	single
galinul	鸡	single
gastornit	巨鸟	compound
gek	虎	single
genist	豆	single
genot	斑狸	compound
georgin	菊	single
gerbil	鼠	single
geum	草	single
ginece	雌蕊	compound
ginostem	柱	single
gipaet	鹰	single
gladiol	花	single
glareol	鸟	single
glau^ci	角草	compound
glekom	草	single
gliceri	茅	single
globulari	草	single
gnu	羚	single
gramine	麦	single
grifon	犬	single
gul	鼠	single
gurnard	鱼	single
gus^	壳	single
harpi	女	single
hedisar	豆	single
heliantem	草	single
helikriz	菊	single
helvel	龙菌	compound
hemerokal	花	single
hemerokalid	花	single
hemion	马	single
herakle	伞	single
herbari	集	single
hermini	蛾	single
hidrange	花	single
hien		none
hilum	脐	single
himeni	层	single
hiperik	草	single
hisop	香草	compound
histrik	鼠	single
hormin	草	single
hortensi	花	single
hortulan	雀	single
hotujni	臭草	compound
huz	鱼	single
ibeks	羊	single
ignam	薯	single
iksod	蛛	single
ilici	香木	compound
indigofer	豆	single
jasmen	花	single
jonkvil	黄水仙	compound
juka	兰	single
junk	草	single
kalandra	象	single
kalendul	菊	single
kalikl	杯	single
kalistef	菊	single
kampanul	铃草	compound
kampec^	血木	compound
kanaben	雀	single
kapibar	水豚	compound
kapitul	花	single
kapsel	草	single
kardamin	草	single
kardon	菊	single
karlin	菊	single
karpen	桦	single
karvi	伞	single
keirant	草	single
kelidoni	疮草	compound
kerkedul	鸭	single
kiker	豆	single
kinu	麦	single
kladoni	菌	single
klangul	鸭	single
klemat	草	single
klematid	草	single
koal	熊	single
kobaj	鼠	single
kojot	犬	single
kojp	鼠	single
koka	麻木	compound
koleopter	翅	single
komatul	齿	single
komisur	合	single
konferv	藻	single
konifer	树	single
konvolvul	旋草	compound
koregon	鱼	single
kramb	菜	single
kratag	果	single
krepid	菊	single
kriptogam	花	single
kriptoteni	芹	single
krizalid	偶	single
krotal	蛇	single
krucifer	菜	single
ksifi	矛鱼	compound
kumin	伞	single
kup	盘	single
kupul	壳斗	compound
kvino	麦	single
lagenari	瓜	single
lagri	甲	single
laminari	藻	single
langust	虾	single
laniari	犬	single
leguminoz	豆	single
lent	豆	single
leontod	菊	single
lepidopter	翅	single
lepism	衣鱼	compound
lian	蔓木	compound
liknid	石	single
likorid	红仙	compound
lima	蚌	single
limand	比目鱼	compound
litorin	螺	single
lobeli	莲	single
lodikl	片	single
lojt	鱼	single
loksi	雀	single
lolig	墨	single
lonicer	冬	single
luf	瓜	single
lumbrik	土虫	compound
lunari	菜	single
lupen	豆	single
luzern	豆	single
mahoni	竹	single
majoran	花薄荷	compound
makak	猴	single
manat	牛	single
mandibl		none
mandragor	茄	single
marabu	秃鸟	compound
marmot	鼠	single
marsupial	袋兽	compound
melampir	米草	compound
meli	木	single
melilot	豆	single
melolont	龟	single
menur	琴鸟	compound
merkurial	蓝	single
merlang	鱼	single
merop	虎	single
miogal	鼠	single
miozot	鼠耳草	compound
mirh	香	single
mirid	伞	single
mirmeleon	狮	single
miskant	芒草	compound
mops	犬	single
mul	马	single
mungot	蛇狸	compound
neri	桃	single
nervur	脉	single
nigel	黑种草	compound
nikotian	茄	single
niktereu^t	狸	single
noktu	鹰	single
nufar	骨	single
oksalid	醋浆草	compound
oksikok	桃	single
oleandr	桃	single
oleastr	枣	single
onisk	潮虫	compound
onobrik	豆	single
orangutang	猩	single
osmant	花	single
osmund	齿	single
otid	鸟	single
otus	鹰	single
pac^ul	香荷	compound
padus	樱	single
pakiderm	厚皮兽	compound
palinur	虾	single
palmiped	游鸟	compound
palumb	鸽	single
pandion	鹰	single
parenkim	质	single
pastinak	伞	single
patel		none
patrini	花	single
pavian	猴	single
pekari	猪	single
pelargoni	葵	single
pentatom	龟虫	compound
perikarp	皮	single
plates	比目鱼	compound
platikodon	铃草	compound
plot	鲤	single
poliandri	雄	single
poligini	雌	single
polp	贝	single
primol	樱草	compound
pteridi	齿	single
pudel	犬	single
regol	莺	single
reptili	爬虫	compound
rezed	桂草	compound
rododendr	鹃	single
rosmar	象	single
rotang	藤	single
rubekol	莺	single
s^enopraz	葱	single
saksifrag	石草	compound
salikari	柳草	compound
sandr	鱼	single
santolin	菊	single
semperviv	长生草	compound
seneci	菊	single
sepal	瓣	single
setari	粟	single
sevrug	鱼	single
sikomor	榕	single
silf	精	single
silikv	果	single
sirfed	蝇	single
sisirinki	草	single
skabioz	续草	compound
skarol	菜	single
skink	子	single
skolopendr	足	single
skorzoner	菊	single
solidag	菊	single
spavin	瘤	single
spirant		none
spirogir	藻	single
sprot	鱼	single
stau^d	多草	compound
sterled	鱼	single
stigm	头	single
stilus	柱	single
stirak	香木	compound
taksus	杉	single
tamarik	柳	single
tanacet	菊	single
tapir	猪	single
tarantul	蛛	single
tegument	皮	single
tink	鲤	single
tremol	山杨	compound
trikin	旋毛虫	compound
trikosant	瓜	single
tripanosom	锥虫	compound
tritur	蛙	single
tropeol	莲	single
tuberos	香	single
tusilag	菊	single
uleks	豆	single
urogal	鸡	single
vakcini	果	single
valerian	草	single
vanel	鸟	single
vertag	犬	single
vistari	藤	single
visteri	藤	single
vombat	熊	single
zantoksil	椒	single
zebu	牛	single
zini	菊	single
zizel	鼠	single
