root	proposal	how	note
genist	豆	single_asis	元から単字
genot	兽	fallback	斑狸→上位字兽
georgin	菊	single_asis	元から単字
gerbil	鼠	head_reduced	野鼠→主要素鼠
geum	草	single_asis	元から単字
ginece	草	fallback	雌蕊→上位字草
ginostem	柱	head_reduced	蕊柱→主要素柱
gipaet	鹰	head_reduced	须鹰→主要素鹰
gladiol	花	single_asis	元から単字
glareol	鸟	single_asis	元から単字
glau^ci	草	head_reduced	角草→主要素草
glekom	草	single_asis	元から単字
gliceri	茅	head_reduced	甜茅→主要素茅
globulari	草	single_asis	元から単字
gnu	羚	head_reduced	牛羚→主要素羚
gramine	麦	single_asis	元から単字
grifon	犬	head_reduced	硬毛犬→主要素犬
gul	鼠	head_reduced	熊鼠→主要素鼠
gurnard	鱼	single_asis	元から単字
gus^	壳	head_reduced	豆壳→主要素壳
harpi	女	head_reduced	鹰女→主要素女
hedisar	豆	single_asis	元から単字
heliantem	草	single_asis	元から単字
helikriz	菊	head_reduced	蜡菊→主要素菊
helvel	菌	head_reduced	龙菌→主要素菌
hemerokal	花	head_reduced	黄花→主要素花
hemerokalid	花	head_reduced	黄花→主要素花
hemion	马	head_reduced	野马→主要素马
herakle	伞	single_asis	元から単字
herbari	集	head_reduced	草集→主要素集
hermini	蛾	single_asis	元から単字
hidrange	花	head_reduced	球花→主要素花
hien		none	提案なし
hilum	脐	head_reduced	种脐→主要素脐
himeni	层	head_reduced	膜层→主要素层
hiperik	草	single_asis	元から単字
hisop	草	head_reduced	香草→主要素草
histrik	鼠	head_reduced	刺鼠→主要素鼠
hormin	草	single_asis	元から単字
hortensi	花	head_reduced	球花→主要素花
hortulan	雀	single_asis	元から単字
hotujni	草	head_reduced	臭草→主要素草
huz	鱼	single_asis	元から単字
ibeks	羊	head_reduced	山羊→主要素羊
ignam	薯	head_reduced	山薯→主要素薯
iksod	蛛	head_reduced	硬蛛→主要素蛛
ilici	木	head_reduced	香木→主要素木
indigofer	豆	head_reduced	蓝豆→主要素豆
jasmen	花	head_reduced	香花→主要素花
jonkvil	草	fallback	黄水仙→上位字草
juka	兰	head_reduced	丝兰→主要素兰
junk	草	single_asis	元から単字
kalandra	象	head_reduced	谷象→主要素象
kalendul	菊	head_reduced	金菊→主要素菊
kalikl	杯	head_reduced	小杯→主要素杯
kalistef	菊	single_asis	元から単字
kampanul	草	head_reduced	铃草→主要素草
kampec^	木	head_reduced	血木→主要素木
kanaben	雀	single_asis	元から単字
kapibar	兽	fallback	水豚→上位字兽
kapitul	花	head_reduced	头花→主要素花
kapsel	草	single_asis	元から単字
kardamin	草	single_asis	元から単字
kardon	菊	single_asis	元から単字
karlin	菊	single_asis	元から単字
karpen	桦	head_reduced	熊桦→主要素桦
karvi	伞	single_asis	元から単字
keirant	草	single_asis	元から単字
kelidoni	草	head_reduced	疮草→主要素草
kerkedul	鸭	single_asis	元から単字
kiker	豆	head_reduced	鸡豆→主要素豆
kinu	麦	single_asis	元から単字
kladoni	菌	single_asis	元から単字
klangul	鸭	single_asis	元から単字
klemat	草	single_asis	元から単字
klematid	草	single_asis	元から単字
koal	熊	head_reduced	树袋熊→主要素熊
kobaj	鼠	head_reduced	豚鼠→主要素鼠
kojot	犬	head_reduced	原犬→主要素犬
kojp	鼠	head_reduced	海狸鼠→主要素鼠
koka	木	head_reduced	麻木→主要素木
koleopter	翅	head_reduced	甲翅→主要素翅
komatul	齿	head_reduced	海羊齿→主要素齿
komisur	合	head_reduced	接合→主要素合
konferv	藻	head_reduced	丝藻→主要素藻
konifer	树	head_reduced	针树→主要素树
konvolvul	草	head_reduced	旋草→主要素草
koregon	鱼	single_asis	元から単字
kramb	菜	single_asis	元から単字
kratag	果	head_reduced	山果→主要素果
krepid	菊	single_asis	元から単字
kriptogam	花	head_reduced	秘花→主要素花
kriptoteni	芹	single_asis	元から単字
krizalid	偶	head_reduced	蝶偶→主要素偶
krotal	蛇	head_reduced	鸣尾蛇→主要素蛇
krucifer	菜	single_asis	元から単字
ksifi	鱼	head_reduced	矛鱼→主要素鱼
kumin	伞	single_asis	元から単字
kup	盘	head_reduced	吸盘→主要素盘
kupul	草	fallback	壳斗→上位字草
kvino	麦	head_reduced	菠麦→主要素麦
lagenari	瓜	single_asis	元から単字
lagri	甲	head_reduced	伪叶甲→主要素甲
laminari	藻	single_asis	元から単字
langust	虾	head_reduced	刺虾→主要素虾
laniari	犬	head_reduced	牧犬→主要素犬
leguminoz	豆	single_asis	元から単字
lent	豆	single_asis	元から単字
leontod	菊	single_asis	元から単字
lepidopter	翅	head_reduced	粉翅→主要素翅
lepism	鱼	head_reduced	衣鱼→主要素鱼
lian	木	head_reduced	蔓木→主要素木
liknid	石	single_asis	元から単字
likorid	草	fallback	红仙→上位字草
lima	蚌	single_asis	元から単字
limand	鱼	head_reduced	比目鱼→主要素鱼
litorin	螺	head_reduced	海螺→主要素螺
lobeli	莲	head_reduced	半边莲→主要素莲
lodikl	片	head_reduced	浆片→主要素片
lojt	鱼	single_asis	元から単字
loksi	雀	head_reduced	交嘴雀→主要素雀
lolig	墨	head_reduced	矛墨→主要素墨
lonicer	冬	head_reduced	忍冬→主要素冬
luf	瓜	head_reduced	丝瓜→主要素瓜
lumbrik	虫	head_reduced	土虫→主要素虫
lunari	菜	head_reduced	银菜→主要素菜
lupen	豆	single_asis	元から単字
luzern	豆	head_reduced	牧豆→主要素豆
mahoni	竹	head_reduced	刺天竹→主要素竹
majoran	草	fallback	花薄荷→上位字草
makak	猴	single_asis	元から単字
manat	牛	head_reduced	海牛→主要素牛
mandibl		none	提案なし
mandragor	茄	head_reduced	魔茄→主要素茄
marabu	鸟	head_reduced	秃鸟→主要素鸟
marmot	鼠	head_reduced	土鼠→主要素鼠
marsupial	兽	head_reduced	袋兽→主要素兽
melampir	草	head_reduced	米草→主要素草
meli	木	single_asis	元から単字
melilot	豆	head_reduced	香豆→主要素豆
melolont	龟	head_reduced	金龟→主要素龟
menur	鸟	head_reduced	琴鸟→主要素鸟
merkurial	蓝	head_reduced	山蓝→主要素蓝
merlang	鱼	single_asis	元から単字
merop	虎	head_reduced	蜂虎→主要素虎
miogal	鼠	head_reduced	水鼠→主要素鼠
miozot	草	head_reduced	鼠耳草→主要素草
mirh	香	head_reduced	药香→主要素香
mirid	伞	single_asis	元から単字
mirmeleon	狮	head_reduced	蚁狮→主要素狮
miskant	草	head_reduced	芒草→主要素草
mops	犬	head_reduced	扁鼻犬→主要素犬
mul	马	single_asis	元から単字
mungot	兽	fallback	蛇狸→上位字兽
neri	桃	head_reduced	竹桃→主要素桃
nervur	脉	single_asis	元から単字
nigel	草	head_reduced	黑种草→主要素草
nikotian	茄	head_reduced	烟茄→主要素茄
niktereu^t	狸	single_asis	元から単字
noktu	鹰	head_reduced	猫头鹰→主要素鹰
nufar	骨	head_reduced	河骨→主要素骨
oksalid	草	head_reduced	醋浆草→主要素草
oksikok	桃	head_reduced	蔓苔桃→主要素桃
oleandr	桃	head_reduced	西竹桃→主要素桃
oleastr	枣	head_reduced	银枣→主要素枣
onisk	虫	head_reduced	潮虫→主要素虫
onobrik	豆	head_reduced	刺豆→主要素豆
orangutang	猩	head_reduced	红猩→主要素猩
osmant	花	head_reduced	桂花→主要素花
osmund	齿	head_reduced	王齿→主要素齿
otid	鸟	single_asis	元から単字
otus	鹰	head_reduced	猫头鹰→主要素鹰
pac^ul	草	fallback	香荷→上位字草
padus	樱	head_reduced	串樱→主要素樱
pakiderm	兽	head_reduced	厚皮兽→主要素兽
palinur	虾	head_reduced	刺龙虾→主要素虾
palmiped	鸟	head_reduced	游鸟→主要素鸟
palumb	鸽	single_asis	元から単字
pandion	鹰	head_reduced	鱼鹰→主要素鹰
parenkim	质	head_reduced	软质→主要素质
pastinak	伞	single_asis	元から単字
patel		none	提案なし
patrini	花	head_reduced	女花→主要素花
pavian	猴	head_reduced	犬猴→主要素猴
pekari	猪	head_reduced	美洲猪→主要素猪
pelargoni	葵	head_reduced	天葵→主要素葵
pentatom	虫	head_reduced	龟虫→主要素虫
perikarp	皮	head_reduced	果皮→主要素皮
plates	鱼	head_reduced	比目鱼→主要素鱼
platikodon	草	head_reduced	铃草→主要素草
plot	鲤	single_asis	元から単字
poliandri	雄	head_reduced	多雄→主要素雄
poligini	雌	head_reduced	多雌→主要素雌
polp	贝	head_reduced	触贝→主要素贝
primol	草	head_reduced	樱草→主要素草
pteridi	齿	head_reduced	雕齿→主要素齿
pudel	犬	head_reduced	卷毛犬→主要素犬
regol	莺	head_reduced	冠莺→主要素莺
reptili	虫	head_reduced	爬虫→主要素虫
rezed	草	head_reduced	桂草→主要素草
rododendr	鹃	head_reduced	杜鹃→主要素鹃
rosmar	象	head_reduced	海象→主要素象
rotang	藤	head_reduced	棕藤→主要素藤
rubekol	莺	head_reduced	红莺→主要素莺
s^enopraz	葱	single_asis	元から単字
saksifrag	草	head_reduced	石草→主要素草
salikari	草	head_reduced	柳草→主要素草
sandr	鱼	single_asis	元から単字
santolin	菊	single_asis	元から単字
semperviv	草	head_reduced	长生草→主要素草
seneci	菊	single_asis	元から単字
sepal	瓣	head_reduced	杯瓣→主要素瓣
setari	粟	single_asis	元から単字
sevrug	鱼	single_asis	元から単字
sikomor	榕	head_reduced	桑榕→主要素榕
silf	精	head_reduced	气精→主要素精
silikv	果	head_reduced	角果→主要素果
sirfed	蝇	head_reduced	花蝇→主要素蝇
sisirinki	草	single_asis	元から単字
skabioz	草	head_reduced	续草→主要素草
skarol	菜	head_reduced	菊菜→主要素菜
skink	子	head_reduced	石龙子→主要素子
skolopendr	足	head_reduced	百足→主要素足
skorzoner	菊	single_asis	元から単字
solidag	菊	single_asis	元から単字
spavin	瘤	head_reduced	马瘤→主要素瘤
spirant		none	提案なし
spirogir	藻	single_asis	元から単字
sprot	鱼	single_asis	元から単字
stau^d	草	head_reduced	多草→主要素草
sterled	鱼	single_asis	元から単字
stigm	头	head_reduced	柱头→主要素头
stilus	柱	head_reduced	花柱→主要素柱
stirak	木	head_reduced	香木→主要素木
taksus	杉	head_reduced	红豆杉→主要素杉
tamarik	柳	head_reduced	河柳→主要素柳
tanacet	菊	single_asis	元から単字
tapir	猪	head_reduced	鼻猪→主要素猪
tarantul	蛛	head_reduced	毒蛛→主要素蛛
tegument	皮	head_reduced	被皮→主要素皮
tink	鲤	single_asis	元から単字
tremol	草	fallback	山杨→上位字草
trikin	虫	head_reduced	旋毛虫→主要素虫
trikosant	瓜	single_asis	元から単字
tripanosom	虫	head_reduced	锥虫→主要素虫
tritur	蛙	head_reduced	水蛙→主要素蛙
tropeol	莲	head_reduced	金莲→主要素莲
tuberos	香	head_reduced	月香→主要素香
tusilag	菊	single_asis	元から単字
uleks	豆	single_asis	元から単字
urogal	鸡	head_reduced	松鸡→主要素鸡
vakcini	果	head_reduced	石南果→主要素果
valerian	草	single_asis	元から単字
vanel	鸟	single_asis	元から単字
vertag	犬	head_reduced	鼠犬→主要素犬
vistari	藤	head_reduced	豆藤→主要素藤
visteri	藤	head_reduced	豆藤→主要素藤
vombat	熊	head_reduced	袋熊→主要素熊
zantoksil	椒	head_reduced	山椒→主要素椒
zebu	牛	head_reduced	瘤牛→主要素牛
zini	菊	single_asis	元から単字
zizel	鼠	head_reduced	黄鼠→主要素鼠
