"root"	"kanji"	"gloss"
"kimon"	"和服"	"【服】（日本の）着物,和服;キモノ（着物風の化粧着・部屋着） ／ 【日】浴衣（ゆかた） ／ 綿入れ（の着物）"
"ahims"	"不害"	"【PIV】Principo de multaj hindaj kultura ／ 【PIV】Konforma al ahimso: ahimsa lukto  ／ 【PIV】Adepto de ahimso: multaj ahimsano"
"gargar"	"漱"	"［他］すすぐ,水洗いする;うがいをする ／ すすぎ洗い;うがい"
"lofi"	"蛤蟆鱼"	"【動】【PIV】G. (Genro) (Lophius) de maraj "
"ferut"	"驮"	"【PIV】Transporti kamionojn au^ remorkoj ／ 【PIV】Kamion-sur-vagona."
"zigot"	"合子"	"【生】【PIV】La rezulto de la unuig^o inter"
"fibrin"	"纤蛋白"	"【化】フィブリン,繊維素 ／ 【植】麩素（ふそ）,=gluteno"
"kam"	"凸轮"	"【技】【PIV】Rotacianta disko, kun elstaraj"
"au^kci"	"拍卖"	"［他］競売にかける ／ 競売"
"bok"	"牡"	"反すう動物の雄（雄山羊、雄鹿など）"
"orgasm"	"高潮"	"【医】オーガズム,オルガスムス ／ 【PIV】Rilata al orgasmo: s^ia kri' orga ／ 【PIV】(ntr (netransitiva)) Sperti orgas"
"rastr"	"锄"	"【PIV】Fosilo kun triangula ferplato fik"
"falun"	"贝岩"	"【地質】【PIV】Detrita sedimenta petro malmu ／ 【PIV】(tr (transitiva)) Kovri (kampon) "
"psitak"	"鹦鹉"	"【動】【PIV】Papago (unuspecia g. (genro) P"
"polip"	"息肉"	"【動】ポリプ;【医】ポリープ,茸腫（じょうしゅ）"
"pund"	"镑"	"【貨】英ポンド ／ 【貨】ポンド（イギリス）,=100 pencoj;ポンド（エジプト・シリアな"
"peon"	"卒"	"【遊】（チェスの）ポーン,（将棋の）歩兵（歩）;（中南米の）農場労働者,ペオ ／ 【遊】（将棋の）と金"
"dezajn"	"设计"	"【技】【PIV】Formo k aspekto de artefarita  ／ 【PIV】(tr (transitiva)) Projekti la for"
"gazon"	"草坪"	"芝生（しばふ）,=razeno,=herbotapis^o"
"le"	"背风"	"【PIV】Tiu flanko de s^ipo, kiu estas s^ ／ 【PIV】= mallofe. Vd lofo. ／ 【PIV】Biblia k latina virina nomo."
"telfer"	"缆路"	"=kablovojo（ロープウエー） ／ 【PIV】Apartenanta al telfero. ／ 【PIV】(tr (transitiva)) Transporti per "
"ostag^"	"人质"	"［自］人質になっている ／ 人質,=garantiulo"
"aprior"	"先"	"【哲】先天的な,演繹（えんえき）的な,><aposteriora ／ 【語】先験語 ／ 【PIV】Antau^ c^ia sperto pri io: aprior"
"lavend"	"香草"	"【植】ラベンダー（属）"
"stim"	"估"	"【PIV】Taksi per stokastika procedo; kal ／ 【PIV】Valoro de stimanto."
"ambos"	"铁床"	"鉄床（かなとこ）;【解】きぬた骨"
"hura"	"万岁"	"［間］（歓呼・歓喜）万歳！,フラー！ ／ ［自］歓呼する,万歳を叫ぶ ／ 歓呼の声,万歳（の声）"
"bum"	"帆杆"	"【海】ブーム,帆げた"
"kras^"	"坠"	"［自］【空】墜落する;（自動車などが）激突する,>>frakasig^i ／ 【空】墜落;激突,衝突,破壊;【経】株の暴落"
"pistak"	"开心果"	"【果】ピスタチオ（果実・種子）"
"rikan"	"讥"	"［自］冷笑する,せせら笑う,にやにや笑う,>>mokridi,>>ridac ／ 冷笑,薄ら笑い,にやにや笑い"
"dun"	"沙丘"	"砂丘"
"demisi"	"辞"	"［自］（大臣・内閣などが）辞職する,>>abdiki ／ （大臣・内閣などの）辞職 ／ （内閣などの）総辞職"
"prot"	"质子"	"【理】陽子,>>atomo,>>elektrono,>>neu^trono ／ 【PIV】Laborestro en pasintecaj presejoj"
"bojkot"	"抵制"	"［他］ボイコットする ／ ボイコット"
"istm"	"峡"	"【地理】地峡;【解】峡部 ／ 【地理】パナマ地峡 ／ 【地理】スエズ地峡"
"ravin"	"峡"	"【地理】峡谷,渓谷"
"knid"	"刺胞"	"【動】【PIV】Speco de c^elo, trovig^anta c^ ／ 【史】【PIV】Urbo en Kario, kun templo de A"
"labil"	"易变"	"【理】不安定な,=nestabila ／ 【理】不安定なつり合い ／ 【PIV】Nestabila atmosfero kun gradiento"
"visk"	"寄"	"【植】ヤドリギ（宿木）（属）"
"laf"	"熔岩"	"【地質】溶岩"
"sfinks"	"狮面"	"スフィンクスの;《転》なぞの ／ 謎めいた微笑 ／ スフィンクス;《転》謎めいた人物"
"karj"	"山核桃"	"【植】【PIV】G. (Genro) (Carya el juglandac"
"pekan"	"山核桃"	"【植】【PIV】Speco de nukso, frukto de peka"
"retrat"	"取"	"［他］（預金を）引き出す,>>repreni ／ （預金の）引き出し"
"fasm"	"竹节虫"	"【動】【PIV】Vulgara nomo (Phasma) de fasmu"
"solfeg^"	"唱名"	"【楽】【PIV】Sistemo, kiu asocias c^iun ton ／ 【PIV】(tr (transitiva)) Kanti, citante "
"s^ibu"	"柿涩"	"【PIV】Bruna, taninoric^a, strange odora ／ 【PIV】S^miri per s^ibuo."
"au^reol"	"光环"	"【宗】後光;《転》栄光 ／ 【PIV】(tr (transitiva)) Meti au^reolon "
"polis"	"保单"	"【商】保険証券,保険証書;《転》保険契約"
"astat"	"无定"	"【理】無定位の,>>stata ／ 【化】【PIV】Radioaktiva elemento, At, atom"
"grak"	"啼"	"［自］（カラスなどが）カアカア鳴く,>>bleki;（痰を出そうとして）のど ／ 【史】【PIV】Du fratoj, tribunusoj, murdita"
"cimbal"	"铜盘"	"【楽】シンバル"
"groc"	"罗"	"【単】グロス（＝12ダース）"
"pojn"	"腕"	"【解】手首,=manradiko"
"lisp"	"咬舌"	"［他］舌もつれで発音する（s^をs、j^をz、sをthとするように） ／ 【情】リスプ,LISP（プログラミング言語）"
"en-"	"入"	"［接頭辞］（内部・内部への移動を示す）,>>enlanda,>>enflui ／ 国内外で"
"mikoz"	"菌症"	"【病】真菌症,糸状菌症（たむしなど）"
"grenat"	"石榴"	"【鉱】ざくろ石,ガーネット"
"epope"	"史诗"	"【文】（英雄を題材にした）叙事詩 ／ 【PIV】Rilata al epopeo: la epopea poezi"
"epik"	"史诗"	"【PIV】Poezio, kiu esprimas k revivigas  ／ 【PIV】Rilata al epiko: epika poemo."
"toast"	"烤包"	"【料】トーストパン,=rostpano"
"g^iraf"	"颈鹿"	"【動】キリン ／ 【天】きりん座"
"sfing"	"天蛾"	"【動】【PIV】1 G. (Genro) (Sphinx k parenca"
"dierez"	"分音"	"［他］二重母音を分けて発音する ／ 【Ｇ】分音（二重母音を分けて発音すること）;【Ｇ】=tremao"
"gri"	"碎粒"	"（麦・トウモロコシの）ひき割り"
"lime"	"青柠"	"【植】【PIV】1 Sp. (Specio) de citruso (Cit"
"laser"	"激光"	"【理】レーザー"
"rozari"	"念珠"	"【宗】ロザリオ,数珠（じゅず）;《転》数珠つなぎになったもの ／ 【地名】ロサリオ（アルゼンチン）"
"sumo"	"相扑"	"【運】相撲;>>lukto"
"makrop"	"袋鼠"	"【動】カンガルー（属）,>>kanguruo"
"podagr"	"痛风"	"【病】痛風"
"stau^l"	"失速"	"【空】失速角 ／ ［自］【空】失速する"
"repudi"	"休妻"	"［他］【法】（一方的に）離縁する,=eksedzigi,=eksedzini ／ 【法】（一方的な）離縁,=eksedzigo,=eksedzinigo"
"arc^"	"弓"	"【楽】（弦楽器の）弓"
"lol"	"毒麦"	"【植】ドクムギ（属）,ライグラス"
"ejgen"	"特征"	"【数】【PIV】(pp (se paroli pri) operatoro  ／ 【PIV】Rilata al ejgeno: ejgena spaco, v"
"grac"	"恩"	"（la 〜）神の恩寵（おんちょう） ／ 【宗】恩寵,神の恵み,=difavoro"
"dajmon"	"神灵"	"【PIV】Malsupera dio, g^enio, kiu bone a"
"koni"	"毒参"	"【植】ドクニンジン（属） ／ 【植】ドクニンジン（種）"
"statut"	"章程"	"会則の ／ 【法】会則,規約,定款"
"angin"	"咽炎"	"【病】アンギナ（口峡炎）"
"aprez"	"赏"	"［他］真価を認める,高く評価する,>>s^ati;鑑賞する,>>gustum ／ 評価;鑑賞"
"enurez"	"遗尿"	"【病】遺尿症"
"lakmus"	"石蕊"	"【化】リトマス"
"prajm"	"引爆"	"［他］雷管を装着する;《転》口火を切る ／ 【軍】雷管;信管"
"inkub"	"梦魔"	"夢魔,インクブス;悪夢"
"stumbl"	"绊"	"［自］つまずく,よろめく,=faleti;《転》とちる,言い間違える ／ つまずき,よろめき,>>mispas^o;とちり;【文】破調（の一種）,>>"
"resus"	"猴"	"【動】【PIV】Sp. (Specio) de makako (Macaca"
"barit"	"重晶石"	"【鉱】重晶石（硫酸バリウムから成る鉱物）"
"timian"	"百里香"	"【植】イブキジャコウソウ（伊吹麝香草）（種）,=serpilo ／ 【植】タチジャコウソウ（立麝香草）（属）,タイム"
"pletor"	"多血"	"【医】多血症の;《稀》=>troabunda（過剰な） ／ 【医】多血症;《稀》=>troabundo（過剰）"
"rota"	"皇院"	"【キ】【PIV】Eklezia tribunalo de la papo, "
"balg"	"风箱"	"【機】じゃばら（蛇腹）"
"eskar"	"焦疤"	"【医】【PIV】1 Mortig^inta parto de hau^to."
"ambigu"	"歧义"	"【PIV】Tia, ke g^ia signifo estas duba. "
"uncial"	"书体"	"【PIV】Speco de majuskla litero, uzata e ／ 【PIV】Skribita per uncialoj."
"mileni"	"千年"	"【PIV】1 Miljara dau^ro au^ datreveno. 2"
"agreg"	"聚"	"［他］=kunigi（集める）【私家版】"
"sofism"	"诡辩"	"詭弁の ／ 【史】思弁哲学;《転》詭弁,屁理屈"
"cug"	"铁杉"	"【植】【PIV】G. (Genro) (Tsuga el pinacoj) "
"epoksi"	"环氧"	"【化】【PIV】Triatoma ciklo, ege strec^a k "
"j^artel"	"吊袜"	"【服】（サスペンダー式の）靴下留め,ガーター,=s^trumpos^elko"
"junkr"	"地主"	"【史】ユンカー（プロイセンの地主貴族）"
"arier"	"后卫"	"【PIV】La malantau^a parto de armeo, tac"
"fikus"	"榕"	"【植】【PIV】G. (Genro) (Ficus el morusacoj"
"kolh^oz"	"农社"	"【史】コルホーズ（旧ソ連の集団農場） ／ 【PIV】Membro de kolh^ozo."
"kvorum"	"足数"	"【法】（会議の）定足数 ／ 定足数を満たしている"
"adiant"	"铁线草"	"【植】クジャクシダ（属）,アジアンタム,=harfiliko ／ 【植】ホウライシダ（蓬莱羊歯）（種）,=venushararo"
"mamon"	"财魔"	"【聖】マンモン（富の邪神）;（人の心を害する）富,金銭,財宝"
"j^akard"	"提花"	"【服】【PIV】Mekanismo ebliganta la plej ko ／ 【PIV】1 Estanta parto de j^akardo. 2 (p"
"benjet"	"炸糕"	"【PIV】Pastobulo, fritita k entenanta de"
"trogon"	"咬鹃"	"【動】【PIV】G. (Genro) (Trogon) de S-Ameri"
"propil"	"丙"	"【化】【PIV】La radiko CH 3-CH 2-CH 2 -."
"buf"	"蛤蟆"	"【動】ヒキガエル（蟇蛙）（属）,ガマ（蝦蟇）"
"korak"	"渡鸦"	"【鳥】ワタリガラス"
"duet"	"二重"	"【楽】デュエット,二重奏曲,二重唱曲"
"koopt"	"增补"	"【PIV】(tr (transitiva)) Aldoni kiel nov"
"dafn"	"瑞香"	"【植】ジンチョウゲ（属） ／ 【PIV】Nimfo, amata de Apolono, k alifor"
"hag^"	"朝拜"	"【イ】メッカ巡礼,ハッジ"
"bilg^"	"舱底"	"【海】ビルジキール,湾曲部竜骨 ／ 【海】ビルジ,船倉底"
"mejoz"	"减分"	"【生】【PIV】Tuto de la du sinsekvaj dividi ／ 【PIV】Rilata al mejozo: mejozaj sporoj "
"iskiat"	"坐神"	"【解】【PIV】Grava miksa nervo, sendanta mo"
"kornet"	"短号"	"【楽】コルネット"
"arpeg^"	"散音"	"［自］【楽】アルペジオで演奏する ／ 【楽】アルペジオ"
"feniks"	"凤"	"不死鳥,フェニックス;鳳凰（ほうおう）;《転》第一人者 ／ 【天】ほうおう（鳳凰）座"
"eu^trof"	"富养"	"【環】富栄養の"
"aleksi"	"失读"	"【医】【PIV】Organika perturbo de la kapabl ／ 【PIV】Vira nomo, i.a. (interalie, inter"
"aloj"	"合金"	"【化】合金"
"sonet"	"十四行诗"	"【文】ソネット,十四行詩"
"divorc"	"离婚"	"［自］離婚する,=eksgeedzig^i ／ 離婚,=eksgeedzig^o"
"seroz"	"浆膜"	"【解】【PIV】Membrano, konsistanta el du la"
"tamtam"	"锣"	"［自］タムタムを打ち鳴らす;《転》鳴り物入りで宣伝する ／ 【楽】タムタム（中国起源のどら）,=gongo;【楽】トムトム（胴長の太鼓）"
"gofr"	"压花"	"【技】【PIV】(tr (transitiva)) Enpremi per "
"s^raman"	"苦僧"	"【宗】【PIV】1 (ss (striktasence)) Hinda as"
"smut"	"黑穗病"	"【植】黒穂病"
"rang^"	"调车"	"【PIV】(tr (transitiva)) Apartigi k vici"
"dentin"	"齿质"	"【解】【PIV】(dentinum) Malmola substanco k"
"titr"	"滴定"	"［他］【化】滴定する ／ 【化】滴定量,滴定濃度;【化】（金・銀の）純分,含有量"
"zen"	"禅"	"【仏】禅（ぜん）"
"upas"	"毒木"	"【PIV】Tre forta vegetaj^a veneno, uzata"
"midz"	"舔吸"	"【PIV】(tr (transitiva)) Voluptocele lek"
"morfem"	"语素"	"【語】形態素"
"remont"	"补马"	"［他］（騎兵隊に）新馬を配備する ／ 【軍】軍馬の補充;（供給される）新馬,補充馬"
"docent"	"讲师"	"（大学の）講師"
"atas^e"	"随员"	"アタッシェ,大使館付の専門職員,>>ambasadano ／ （大使館付きの）報道担当官"
"sufle"	"蛋奶酥"	"【菓】スフレ"
"belon"	"针鱼"	"【動】【PIV】G. (Genro) (Belone) de belonof"
"cipre"	"宝贝"	"【動】【PIV】G. (Genro) (Cypraea) de gastro"
"miasm"	"毒气"	"毒気を発する ／ （沼などの発する）毒気,瘴気（しょうき）"
"alergi"	"过敏"	"【病】アレルギー ／ 【PIV】Rilata al alergio: individuo aler"
"psok"	"咬虫"	"【動】【PIV】G. (Genro) (Psocus) de malgran"
"korvet"	"护舰"	"【軍】コルベット（船）"
"fag^"	"食菌"	"【生】【PIV】Mll de bakteriofag^o."
"drapir"	"帷"	"［他］ひだのある布でおおう,垂れ幕で飾る;（衣服やカーテンに）ひだをつける"
"gajak"	"愈疮木"	"【植】=gvajako（ユソウボク）"
"gvajak"	"愈疮木"	"【植】ユソウボク（属）,グアヤク"
"c^ir"	"卷须"	"【植】【PIV】1 Maldika, volva organo de gri"
"anatem"	"咒"	"［他］【宗】（教会が公式に）のろう,破門する ／ 【宗】（教会による公式の）のろい,破門"
"envult"	"咒"	"［他］（相手をかたどった人形で）呪いをかける ／ （人形を使った）呪い"
"fen"	"焚风"	"【気】フェーン（山から吹きおろす暖かく乾燥した風）"
"mumi"	"干尸"	"ミイラ"
"lentan"	"五色梅"	"【植】【PIV】1 G. (Genro) (Lantana el verbe"
"amfor"	"罐"	"アンフォラ（つぼ） ／ 【天】みずがめ座"
"bokal"	"罐"	"（首の短い）広口びん,ジャー"
"lem"	"引理"	"【数】補助定理;【論】副命題"
"fau^l"	"违规"	"［自］【運】反則する ／ 【運】反則,ファウル"
"aksiom"	"公理"	"公理の,自明の ／ 【数】公理,>>postulato"
"fau^n"	"兽群"	"【動】動物相,ファウナ,=bestaro ／ 【神】ファウヌス（ローマ神話の牧神）;《転》好色漢"
"hormon"	"激素"	"【生】ホルモン"
"agoni"	"垂死"	"［自］断末魔の苦しみを味わう,死に苦悶する;《転》最後が迫る ／ 断末魔,苦悶;最期,終焉（しゅうえん）"
"alte"	"立葵"	"【植】タチアオイ（立葵）（属）"
"alce"	"立葵"	"【植】【PIV】G. (Genro) (Alcea el malvacoj) ／ 【PIV】= Alkajo."
"skrot"	"阴囊"	"【解】陰嚢（いんのう）,=testikujo"
"melas"	"糖蜜"	"糖蜜"
"file"	"里脊"	"【PIV】1 Karnoric^a peco de bovo, bovido"
"frog"	"辙叉"	"【PIV】Centra parto de trakforko au^ tra"
"fuort"	"堡"	"【軍】砦（とりで）,堡塁（ほうるい）,=fortikaj^eto"
"burg"	"堡"	"【史】【PIV】Mezepoka fortikigita kastelo."
"vikari"	"副祭"	"【カ】助任司祭"
"koron"	"日光环"	"【天】【PIV】La ekstera parto de la suna at"
"insinu"	"影射"	"【PIV】(tr (transitiva)) 1 Lerte sugesti ／ 【PIV】Ago, per kiu oni ion insinuas: la"
"alburn"	"白鱼"	"【魚】ブリーク（ヨーロッパ産のコイ科の淡水魚） ／ 【植】白太（しらた）,辺材"
"kastor"	"河狸"	"【動】ビーバー（属）;ビーバーの毛皮 ／ 【神】カストル（ゼウスの双子の息子のひとり）;【天】カストル（ふたご座アルフ"
"regent"	"摄政"	"【政】摂政"
"piton"	"巨蛇"	"【動】ニシキヘビ（錦蛇）（属） ／ 【PIV】Monstra serpento, mortigita de Ap"
"karis"	"假虎刺"	"【植】【PIV】G. (Genro) (Carissa el apocina ／ 【PIV】Helendevena nomo de la Gracioj."
"koklus^"	"百日咳"	"【病】百日咳（ぜき）"
"g^el"	"凝胶"	"【化】ゲル,>>koloido,>>solo"
"vipur"	"毒蛇"	"【動】クサリヘビ（鎖蛇）（属）;《般》マムシ（蝮）"
"puding"	"奶冻"	"【料】プディング,プリン"
"sena"	"决明"	"【植】【PIV】G. (Genro) (Senna el fabacoj),"
"ukij"	"浮世绘"	"【美】浮世絵"
"sizigi"	"大潮"	"【海】大潮（おおしお） ／ 【天】【植】【PIV】1 Konjunkcio au^ opozicio d"
"timid"	"怯"	"《詩》=sing^ena（内気な）"
"legac"	"遗赠"	"【法】遺贈,遺贈物 ／ 【PIV】(tr (transitiva)) Fari legacon pr"
"anduj"	"肚肠"	"【PIV】Porka tripkolbaso: fumaj^ita andu"
"adjekt"	"状"	"【Ｇ】状況副詞節 ／ 【Ｇ】状況補語,=cirkonstanca komplemento"
"pirit"	"黄铁矿"	"【鉱】黄鉄鉱"
"verben"	"鞭草"	"【植】クマツヅラ（熊葛）（属）;【園】バーベナ,ビジョザクラ（美女桜）"
"fet"	"胎"	"【動】胎児（妊娠３ヶ月以降）,>>embrio ／ 【PIV】Rilata al feto: la feta vivo."
"turban"	"头巾"	"【服】ターバン"
"c^i-jar"	"今年"	"今年の ／ 今年"
"skabi"	"癣"	"【病】かいせん（疥癬）,ひぜん（皮癬） ／ 【PIV】Rilata al skabio: (f (figurasence"
"limed"	"甜柠"	"【植】【PIV】1 Sp. (Specio) de citruso (Cit"
"mamut"	"巨象"	"マンモスの;巨大な ／ 【古生】マンモス"
"piment"	"多香果"	"［他］【料】オールスパイスを入れる ／ 【植】オールスパイス;【料】オールスパイス,ピメント"
"povr"	"贫"	"《詩》=kompatinda（哀れな）;=malric^a（貧しい）"
"spok"	"辐"	"【機】（車輪の）スポーク,=radradio,=dratradio"
"vitral"	"彩窗"	"ステンドグラス"
"tetr"	"琴鸡"	"【鳥】クロライチョウ（黒雷鳥）（種）"
"liken"	"地衣"	"【植】地衣;【病】苔蘚（たいせん） ／ 【植】地衣類"
"cis"	"此"	"《稀》［前］=maltrans（〜のこちらに）"
"c^i-tie"	"此"	"ここの,この土地の"
"gonad"	"性腺"	"【解】【PIV】Organo de plurc^eluloj (i.a. ("
"salam"	"腊肠"	"【料】サラミソーセージ,>>kolbaso"
"cili"	"纤毛"	"【動】繊毛;【植】細毛"
"kaos"	"混乱"	"混沌の;混沌とした,混乱した,無秩序の,=h^aosa ／ 混沌（こんとん）,カオス;大混乱,無秩序,=h^aoso"
"h^aos"	"混乱"	"=kaosa（混沌とした） ／ =kaoso（混沌）"
"korset"	"束腰"	"【服】コルセット"
"kori"	"绒膜"	"【解】【動】【PIV】1 Ekstera parto de la place"
"dekokt"	"煎"	"［他］（薬草などを）せんじる,煮出す;【化】煎出する"
"pum"	"砰"	"［擬］どすん,ばたん（物の倒れる音、落ちる音） ／ 【動】ピューマ"
"brig^"	"桥牌"	"［自］ブリッジをする ／ 【遊】（トランプの）ブリッジ"
"divan"	"长椅"	"ディバン（背・肘掛けのないソファー）,長椅子,>>kanapo;（トルコの） ／ 【史】【PIV】S^tata konsilantaro en la Otom"
"kanap"	"长椅"	"（数人がけの背もたれ付き）長椅子,ソファー;【料】カナッペ,=s^mirpa"
"kvik"	"麦草"	"【植】【PIV】1 (ss (striktasence)) Sp. (Spe ／ 【PIV】= kviviti."
"mag"	"巫"	"【史】マギ（古代ペルシャの祭司）;（古代の）占星術師 ／ （la 〜）【キ】東方の三博士"
"s^aman"	"巫"	"【宗】シャーマン"
"c^ement"	"牙骨质"	"【解】【PIV】1 Malmola substanco, formanta  ／ 【PIV】(tr (transitiva)) Varmigi metalan"
"oktant"	"八分"	"【数】八分円;【天】八分儀 ／ 【天】はちぶんぎ（八分儀）座"
"prim"	"质数"	"【数】素数;【カ】一時課（早朝の祈り） ／ 【数】【PIV】Rilata al primo: du entjeroj e"
"skalen"	"斜角"	"【解】【PIV】Nomo de pluraj oblikvaj muskol ／ 【PIV】1 Rilata al skaleno. 2 (pp (se pa"
"guas^"	"水粉"	"【美】グワッシュ（不透明な水彩絵具の一種）;グワッシュ画 ／ 【PIV】(tr (transitiva)) Pentri per guas"
"egret"	"冠羽"	"【鳥】冠羽（かんう）;【服】（帽子の）羽根飾り;【植】（タンポポの）冠毛;【"
"plektr"	"拨"	"［自］【楽】（弦を）ばちでかき鳴らす,ピック演奏する,>>pinc^i ／ 【楽】（弦を弾く）ばち,爪,ピック"
"afazi"	"失语"	"【病】失語症"
"bordun"	"低音"	"【楽】【PIV】Plej basa sonorilo, kordo au^  ／ 【PIV】(pp (se paroli pri) tono, kordo a"
"zenit"	"天顶"	"【天】天頂の ／ 【天】天頂,><nadiro;《転》頂点"
"silt"	"粉砂"	"【地質】【PIV】Detrita sedimento, el eroj (s"
"dau^b"	"桶板"	"【機】樽板,樽の側板"
"madz"	"钉头锤"	"【史】【PIV】1 Peza, metalkapa klabo, uzata"
"tard"	"迟"	"《詩》=malfrua（遅い）"
"asket"	"苦行"	"苦行者;禁欲主義者"
"secesi"	"脱"	"【法】【PIV】(pp (se paroli pri) grupo, soc ／ 【PIV】Plenumi secesion."
"kapus"	"航向"	"【PIV】Direkto de la akso de s^ipo, riga"
"portik"	"柱廊"	"【建】ポーチコ,柱廊式玄関 ／ 【哲】ストア学派,>>stoikismo"
"tof"	"凝灰"	"【鉱】石灰華（せっかいか） ／ 【地質】凝灰岩（ぎょうかいがん）;【医】痛風結節（つうふうけっせつ）"
"rea"	"美洲鸵"	"【動】【PIV】G. (Genro) (Rhea) de S-Amerika"
"ileks"	"冬青"	"【植】モチノキ（属）;セイヨウヒイラギ,=akvifolio"
"kladik"	"支学"	"【PIV】Metodo, kiu celas kiel eble plej "
"miom"	"肌瘤"	"【病】子宮筋腫 ／ 【医】【PIV】Muskola tumoro."
"paletr"	"调色板"	"【美】パレット;《転》（画家特有の）色調"
"esamen"	"蜂群"	"【PIV】Abelsvarmo. ／ 【PIV】(ntr (netransitiva)) Forlasi la a"
"mering"	"蛋白霜"	"［他］（菓子に）メレンゲをのせる ／ 【菓】メレンゲ,=s^au^mkuko"
"uv"	"葡萄"	"【PIV】Vinberoj: la rug^a, la blanka uvo"
"delic"	"珍"	"【PIV】Delikata g^uo (gastronomia, amora ／ 【PIV】Haviganta delicon."
"slum"	"贫窟"	"【PIV】Urbokvartalo kadukig^inta k ating"
"marki"	"疆"	"【史】【PIV】Regiono au^ provinco, kiu kons ／ 【地理】【PIV】Regiono de Italio, inter Apen"
"metazo"	"后生"	"【動】後生動物 ／ 【動】【PIV】Plurc^ela, hista animalo."
"gug^"	"凿"	"【PIV】Konkavaklinga c^izilo, uzata en m ／ 【PIV】(tr (transitiva)) Prilabori per g"
"gem"	"玉"	"宝石"
"jad"	"玉"	"【鉱】翡翠（ひすい）,玉（ぎょく）"
"sapot"	"人心果"	"【植】【PIV】1 Alia, nelegitima nomo (Sapot"
"sinkop"	"切分"	"【楽】シンコペーション;【医】=sveno（失神）;【語】語中音省略 ／ 【楽】【PIV】Entenanta sinkopojn: la j^azri"
"razi"	"袭"	"【史】【PIV】1 En arabaj landoj, ekspedicio ／ 【PIV】(tr (transitiva)) Prirabi per raz"
"alk"	"驼鹿"	"【動】オオシカ"
"tiktak"	"滴答"	"［自］（時計が）チクタク鳴る,カチカチ鳴る ／ （時計の）チクタク音,カチカチ音"
"afust"	"炮架"	"【軍】砲架,銃架"
"lampir"	"萤"	"【虫】ツチボタル（属）,>>lumvermo;（一般に）ホタル（蛍）,>>l"
"redund"	"冗"	"【PIV】Estanta pluroble au^ ripete, au^  ／ 【PIV】1 Tiu parto de gramatikaj formoj,"
"hirud"	"吸血虫"	"【動】ヒル"
"kep"	"军帽"	"【服】ケピ帽（フランスの軍帽）;（円筒形でひさしの付いた）学生帽,制帽 ／ 学生帽"
"tref"	"梅花"	"【遊】（トランプの）クラブ"
"poplit"	"膝窝"	"【解】膝窩（しっか）,ひかがみ ／ 【PIV】Rilata al la poplito: poplita kav"
"gimnot"	"电鱼"	"【動】ギムノートゥス（属）（デンキウナギ目の電気魚）"
"s^utr"	"百叶窗"	"【建】（窓の）シャッター,よろい戸,=fenestrokovrilo"
"mumps"	"腮"	"【病】流行性耳下腺炎,おたふく風邪 ／ 【PIV】Rilata al mumpso: mumpsa pankreat"
