root	final	kind	rationale
manat	兽	existing_single	海牛目。専用字なく兽(鲸は別目で不可)
mandragor	茄	existing_single	ナス科。solan=茄と同科
marabu	鸟	existing_single	ハゲコウはコウノトリ科。cikoni=鸟に合流
marmot	鼠	existing_single	齧歯目マーモット。mus/rat=鼠
marsupial	兽	existing_single	有袋類。上位teri(獣亜綱)=兽に合わせる
melampir	草	existing_single	ハマウツボ科の草本。科字なく草
meli	木	existing_single	センダン科の高木。cedrel=木と同科
melilot	豆	existing_single	マメ科。fab=豆と同科
melolont	甲	existing_single	コガネムシ科。同科 skarab=甲
menur	鸟	existing_single	コトドリ科。琴系熟語は不在、汎用鸟
merkurial	草	existing_single	トウダイグサ科草本。euforbi=草と同科
merlang	鱼	existing_single	タラ科。merluc^と同科で鱼
merop	鸟	existing_single	ハチクイ科。専用字なし汎用鸟
miozot	草	existing_single	ムラサキ科。borag/simfit=草と同科
mirid	伞	existing_single	セリ科。anet/karum=伞と同科
mirmeleon	虫	existing_single	ウスバカゲロウ。近縁字が無く虫
miskant	草	existing_single	イネ科ススキ属。andropogon/arund=草
mops	犬	existing_single	犬品種パグ。dog/ŝpic=犬
mul	马	existing_single	ウマ属の雑種。ĉeval/onagr=马
mungot	兽	existing_single	マングース科。同科herpest=兽
neri	木	existing_single	キョウチクトウ属。科字なく木本の木
nervur	脉	existing_single	翅脈・葉脈・肋材の総称。angi=脉の系
nigel	草	existing_single	キンポウゲ科。ranunkol/akonit=草
nikotian	烟	existing_single	タバコ属。tabak=烟と同属
niktereu^t	犬	existing_single	イヌ科タヌキ。kanis=犬(狸字は不在)
oksalid	草	existing_single	カタバミ科の草本。科字なく草
oksikok	果	existing_single	Vaccinium。mirtel=果と同属
oleandr	木	existing_single	neri(=木)と同物。木本の木
oleastr	木	existing_single	グミ属の高木。eleagn未割当ゆえ木
onisk	虾	existing_single	等脚目。同目armadilidi=虾
onobrik	豆	existing_single	マメ科イガマメ。fab=豆と同科
orangutang	猴	existing_single	同種orangutan=猴に合わせ二重描画を回避
osmant	木	existing_single	モクセイ科。科字なく木本の木
otid	鸟	existing_single	ノガン科に該当字なし。汎用鸟
padus	李	existing_single	Prunus padus。prunus/prun=李と同属
pakiderm	兽	existing_single	旧分類の厚皮動物。上位字の兽
palmiped	鸟	existing_single	游禽類は鳥の総称群。汎用鸟
palumb	鸽	existing_single	モリバトはColumba属。kolombと同属
pandion	鹰	existing_single	ミサゴはタカ目。akcipitrと同群で鹰
parenkim	软	existing_single	既存単字软(mol)。柔組織=軟らかい実質
pastinak	伞	existing_single	セリ科。dauk=伞と同科
patel	膝	existing_single	既存単字膝(genu)を共有。膝蓋骨は膝の骨
patrini	草	existing_single	オミナエシ科草本。valerian未割当
pavian	猴	existing_single	オナガザル科ヒヒ。cerkopitek=猴
pekari	猪	existing_single	イノシシ亜目。apr/su=猪
pelargoni	花	existing_single	フウロソウ科。gerani=花と同科
platikodon	草	existing_single	キキョウ科。lobeli同様に草
plot	鱼	existing_single	親rutel=鱼。階層逆転回避で鱼に合わせる
polp	贝	existing_single	タコ目。同じ頭足類eledon/arkiteŭt=贝(軟体門)へ
primol	花	existing_single	サクラソウ科。ciklamen=花と同科
pudel	犬	existing_single	イヌの品種。dog/kanis=犬へ
regol	莺	existing_single	キクイタダキ。silvi=莺の小鳴禽群
rezed	草	existing_single	モクセイソウ科草本。科字なく草
rotang	棕	existing_single	つる性ヤシ。palm/arek=棕と同科
rubekol	莺	existing_single	コマドリ。najtingal=夜莺と同群の莺
s^enopraz	葱	existing_single	ネギ属。cep/alium/pore と同じ葱
saksifrag	草	existing_single	ユキノシタ科の草本。科字が無く最近縁は草
salikari	草	existing_single	ミソハギ科の水辺の草本。柳は別目で不可
sandr	鱼	existing_single	ペルカ科。perk/labrakと同科で鱼
santolin	菊	existing_single	キク科ワタスギギク属。科の既定字は菊
seneci	菊	existing_single	キク科キオン属。科の既定字は菊
sepal	杯	existing_single	がく片。萼そのもののkalik=杯を共有
setari	粟	existing_single	イネ科アワ属。同族 panic=粟を共有
sevrug	鱼	existing_single	ホシチョウザメ。sturgと同科で鱼
sikomor	榕	existing_single	イチジク属の一種。同属 fikus=榕
silf	精	existing_single	空気の精霊。nimf=精と同類
silikv	果	existing_single	果実型(角果)。上位の果に合わせる
sirfed	蝇	existing_single	ハナアブ科=flormus^o。mus^=蝇
sisirinki	草	existing_single	アヤメ科の小草本。同科 iksi と同じ草
skink	龙	existing_single	綴り異体scink=龙と同一表示。トカゲ類の共通字
skorzoner	菊	existing_single	キク科フタナミソウ属。科の既定字は菊
solidag	菊	existing_single	キク科アキノキリンソウ属。科字は菊
spavin	瘤	existing_single	馬の飛節骨瘤。veruk=瘤へ
spirogir	藻	existing_single	緑藻アオミドロ。ulv/fuk 等と同じ藻
sprot	鱼	existing_single	ニシン科。klupe/sardinと同科で鱼
stau^d	草	existing_single	多年生の草本植物。herb=草に合わせる
sterled	鱼	existing_single	コチョウザメ。sturgと同科で鱼
stirak	木	existing_single	エゴノキ科の樹木。近縁の科字が無い
taksus	柏	existing_single	イチイ科。同目の cipres/侧柏=柏系
tamarik	木	existing_single	ギョリュウ科の樹。柳(salik)は別目で不可
tanacet	菊	existing_single	キク科ヨモギギク属。科の既定字は菊
tapir	犀	existing_single	バク。奇蹄目角形亜目でrinocer=犀と姉妹群
tarantul	蛛	existing_single	コモリグモ。arane=蛛(クモ類)へ
tegument	皮	existing_single	外被・外皮。kortik系の皮へ
tink	鱼	existing_single	鲤はkarp系限定運用。bram等と同じ鱼
tremol	柳	existing_single	ポプラ属の一種。同属 popl=柳
trikin	蠕	existing_single	旋毛虫。上位のhelmint=蠕(蠕虫)へ
trikosant	瓜	existing_single	ウリ科カラスウリ属。科の既定字は瓜
tritur	蛙	existing_single	イモリ。同科salamandr=蛙へ
tropeol	花	existing_single	園芸観賞の草花。balzamin 等と同じ花
tusilag	菊	existing_single	キク科フキタンポポ属。科の既定字は菊
uleks	豆	existing_single	マメ科ハリエニシダ属。科の既定字は豆
valerian	草	existing_single	オミナエシ科の草本。科字が無く草
vanel	鸟	existing_single	タゲリはチドリ科。karadri/pluviも鸟
vertag	犬	existing_single	ダックスフント。犬の品種、dog/kanis=犬へ
vistari	豆	existing_single	=visterio。マメ科フジ属で科字の豆
visteri	豆	existing_single	マメ科フジ属。藤は heder 占有で別目
vombat	袋	existing_single	有袋類。marsupi=袋へ。袋鼠は別科で不可
zantoksil	木	existing_single	ミカン科の樹。柑橘字・椒(コショウ属)は不可
zebu	牛	existing_single	コブウシ。bov=牛と同属
zini	菊	existing_single	キク科ヒャクニチソウ属。科の既定字は菊
apus	金丝燕	existing_multi	アマツバメ科。同科salangan=金丝燕を共有
arbed	灌木	existing_multi	低木。ほぼ同義のarbust=灌木を再利用
aspid	眼镜蛇	existing_multi	エジプトコブラ=Naja。同属kobr=眼镜蛇
betonik	水苏	existing_multi	Stachys同属。staki=水苏を再利用
cikori	苦菜	existing_multi	Cichorium同属のendivi=苦菜を再利用
cipsel	金丝燕	existing_multi	apusoと同一の鳥。apusと同表示
fles	比目鱼	existing_multi	カレイ科。pleu^ronekt=比目鱼と同科
forfikul	皮翅	existing_multi	ハサミムシ目 dermapter=皮翅を共有
fulik	秧鸡	existing_multi	オオバンはクイナ科。ral=秧鸡と同科
galinol	秧鸡	existing_multi	バンはクイナ科。ral=秧鸡と同科
galinul	秧鸡	existing_multi	galinoloと同一のバン。同表示
hisop	香草	existing_multi	シソ科の芳香ハーブ。lavend等=香草
jonkvil	水仙	existing_multi	スイセン属の一種。narcis=水仙
juka	龙舌兰	existing_multi	リュウゼツラン科。近縁agav=龙舌兰
kalandra	象甲	existing_multi	コクゾウ=ゾウムシ科。kurkuli=象甲を共有
konvolvul	旋花	existing_multi	ヒルガオ科。最近縁kalistegi=旋花
langust	龙虾	existing_multi	イセエビ=龙虾。omar(ロブスター)と同類
limand	比目鱼	existing_multi	マガレイはカレイ科。pleu^ronektと同科
lonicer	忍冬	existing_multi	スイカズラ属=忍冬。kaprifoli=忍冬
luzern	牧草	existing_multi	Medicago sativa。medikag=牧草と同属
mahoni	天竹	existing_multi	メギ科柊南天。nandin=天竹と同科
majoran	香草	existing_multi	Origanum majorana。origan=香草と同属
miogal	地鼠	existing_multi	モグラ科デスマン。同科talp=地鼠
mirh	香脂	existing_multi	芳香樹脂。ladan=香脂と同類
noktu	猫头鹰	existing_multi	フクロウ科。strig=猫头鹰と同科
nufar	睡莲	existing_multi	スイレン科。nimfe=睡莲と同科
osmund	羊齿	existing_multi	ゼンマイ。filik=羊齿の既定に合わせる
otus	猫头鹰	existing_multi	ミミズクはフクロウ科。strigと同科
pac^ul	香草	existing_multi	シソ科香料。lavend/origan=香草と同類
palinur	龙虾	existing_multi	langustと同一動物。omar=龙虾と同類
pentatom	臭虫	existing_multi	カメムシ科。cim=臭虫(カメムシ)を共有
plates	比目鱼	existing_multi	カレイ科の基準属。pleu^ronektと同科
pteridi	羊齿	existing_multi	ワラビ。filik=羊齿の既定に合わせる
reptili	爬虫	existing_multi	爬虫類。ほぼ同義のsaŭr=爬虫を再利用
rododendr	杜鹃	existing_multi	ツツジ属。azale=杜鹃と同物
rosmar	海豹	existing_multi	セイウチ。鰭脚類でfok=海豹が最近縁
semperviv	厚叶	existing_multi	ベンケイソウ科多肉。同科 krasul=厚叶を共有
skabioz	续断	existing_multi	マツムシソウ科。同科 dipsak=续断を共有
skarol	苦菜	existing_multi	endivi=苦菜の広葉変種。同種なので共有
skolopendr	千足	existing_multi	オオムカデ。上位のkilopod(ムカデ綱)=千足へ
stigm	柱头	existing_multi	柱頭。同一比喩の kapitel=柱头を再利用
tripanosom	原兽	existing_multi	寄生原虫。上位のprotozo=原兽へ
tuberos	龙舌兰	existing_multi	Agave amica。同属 agav=龙舌兰を共有
urogal	野鸡	existing_multi	オオライチョウ。tetra=野鸡と同科
vakcini	石南	existing_multi	ツツジ科。同科 erik=石南を共有
zizel	松鼠	existing_multi	ジリス。科のsciur(リス科)=松鼠へ
endokarp	内果皮	NEW_COMBO	内(en)果(frukt)皮の透明な鏡像。術語
epikarp	外果皮	NEW_COMBO	外(ekster)果皮の鏡像。endokarpと対
ginece	雌蕊	NEW_COMBO	既存熟語雄蕊(stamen)の対語。雌=femal既存
herbari	草集	NEW_COMBO	語釈=herbokolektoの鏡像。草+集(kolekt)
perikarp	果皮	NEW_COMBO	果+皮で果皮。既存熟語になく例外扱い
stilus	花柱	NEW_COMBO	花柱。花冠/花序系列で各字明快(例外)
arist		none	芒の字が非在。穗/针/颖は別義で不適、未割当
diklin		none	単性花。性=ecで単性が成立せず未割当
epigin		none	子房下位。適合する既存表示なし
fanerogam		none	顕花植物。花植は合成語と衝突し未割当
ginostem		none	ラン科の蕊柱。適合する既存単字・熟語なし
mandibl		none	顎の字が全マスターに不在。牙/齿は別義
poliandri		none	一雌多雄の抽象概念。適合する既存表示なし
poligini		none	一雄多雌の抽象概念。適合する既存表示なし
spirant		none	spir=息+antで描画。植物義はspirantes=兰が担当
