ecidi	菌
efedr	木
egilop	草
eglanteri	草
ejs^horni	草
ekbali	草
ekidn	兽
ekinokok	虫
ekinops	草
ekv	兽
ekzocet	鱼
elafr	虫
elani	鸟
elatin	草
ele	木
eledon	贝
eleokarit	草
eletari	草
elitrigi	草
elode	草
empetr	木
entel	猴
entolom	菌
epakrid	木
eperlan	鱼
epidendr	草
epipaktid	草
ereti	木
erigeron	草
eritren	木
eritroksil	木
erizif	菌
erodi	草
erofil	草
eskul	木
es^olzi	草
etlinger	草
etuz	草
eu^frazi	草
eu^geni	木
eu^patori	草
eu^ripterigi	龙
falangi	蛛
falarid	草
falen	虫
falenops	草
fazeolus	草
fenikur	鸟
fenugrek	草
ferolag	草
fikari	草
filipendul	草
filodendr	草
fistulin	菌
fiteu^m	草
fitis	鸟
fitoftor	菌
fitolak	草
fizalid	草
fle	草
flebotom	虫
flog	木
floks	草
focen	兽
foksen	鱼
foliot	菌
foradendr	木
formi	草
fortunel	木
fragari	草
fraksinel	草
frezi	草
ftir	虫
fulmar	鸟
gage	草
galang	草
galeops	草
galg	草
galinag	鸟
gamar	虾
garcini	木
gari	木
gau^lteri	木
gau^r	兽
geastr	菌
geris	虫
gesneri	草
gibon	猴
ginseng	草
gip	鸟
giromitr	菌
gledic^i	木
glorioz	草
glosin	虫
glosopterid	草
gnafali	草
gnidi	草
gomb	草
gonidi	藻
gosipi	草
gratiol	草
grindeli	草
grumis^am	木
gujdak	贝
guta	木
gvanak	兽
gvaran	木
gvemul	兽
haliaet	鸟
haliker	兽
halofit	草
hamamelid	木
harpagofit	草
hedizar	草
helikoni	草
hemant	草
hematoksil	木
hematop	鸟
herniari	草
herpest	兽
hesperid	草
heve	木
hidn	菌
hidrastid	草
hidrokarit	草
hidroker	鼠
hidrokotil	草
hieraci	草
hifolom	菌
higrocib	菌
higrofor	菌
hikori	木
himantop	鸟
himene	木
hin	兽
hiosciam	草
hipeastr	草
hipn	苔
hipofe	木
hipola	鸟
hipoman	木
hipurid	草
holk	草
holost	草
hordelim	草
hulman	猴
humul	草
hur	木
iberis	草
idus	鱼
ikneu^mon	虫
iksi	草
iksor	木
imortel	草
impatient	草
indri	猴
inocib	菌
inul	草
ip	虫
ipome	草
izatid	草
izatis	兽
izolepid	草
jabiru	鸟
jaborand	木
jakarand	木
jambos	木
jazion	草
jing	鸟
johimb	木
kacur	木
kad	木
kaguang	兽
kairin	鸟
kajeput	木
kala	草
kaladi	草
kalamagrostid	草
kalamint	草
kalate	草
kalceolari	草
kaliceb	猴
kalidr	鸟
kalitrik	草
kalitris	木
kalosom	虫
kalt	草
kalun	木
kameciparis	木
kamemel	草
kamemor	草
kamerops	木
kanang	木
kantalup	草
kara	藻
karagan	木
karcin	虾
kardamom	草
kardu	草
karduel	鸟
karet	龟
karibu	兽
karite	木
kartam	草
karum	草
kaskaril	木
kastane	木
katalp	木
katarant	草
katari	草
katlej	草
katokal	虫
kau^kalid	草
kau^lerp	藻
kau^ri	木
kava	木
kazuaren	木
kebrac^	木
keir	草
kenomel	木
kiang	兽
kironekt	兽
kiti	鸟
klatr	菌
klavari	菌
klematit	草
kleom	草
klerodendr	木
klitocib	菌
klitori	草
klorel	藻
knau^ti	草
koendu	兽
kofe	木
kokl	木
kokolob	木
kokotrau^st	鸟
kolibi	菌
kolokazi	草
kolute	木
kombret	木
kombu	藻
komelin	草
komifor	木
kondrostom	鱼
kongr	鱼
koniz	草
konsolid	草
kopaifer	木
kopren	菌
kopris	虫
koralin	藻
koraloriz	草
koreops	草
koridal	草
koriks	虫
korkor	草
koronel	蛇
koronil	草
korsak	兽
kortici	菌
kortinari	菌
krajt	蛇
krangon	虾
kraterel	菌
krek	鸟
kreks	鸟
krescenti	木
kril	虾
krinum	草
kriptogram	草
kritm	草
krizop	虫
krotalari	草
kroton	草
krozofor	草
ksantosom	草
ksestobi	虫
ksiloste	木
kubeb	木
kukumis	草
kumar	木
kuruk	鸟
kus	木
kuskut	草
kvasi	木
kvecal	鸟
labrusk	草
laburn	木
lagop	鸟
lagostom	鼠
lagotrik	猴
lakari	菌
laktari	菌
lamn	鱼
lampetr	鱼
lani	鸟
lapsan	草
larici	木
latimeri	鱼
latre	草
lavandul	草
lavsoni	木
lecide	菌
lecitid	木
leguzi	草
lekanor	菌
lemn	草
lentisk	木
leontodon	草
lepad	虾
lepidi	草
lepiot	菌
lepist	菌
lept	虫
leptinotars	虫
leptocefal	鱼
leu^cisk	鱼
leu^kant	草
leu^koj	草
levistik	草
licen	虫
lige	草
lig^e	虫
likoperd	菌
likopersik	草
likvidambar	木
limne	贝
limoni	草
limoz	鸟
linari	草
liriodendr	木
litops	草
litorn	鸟
litosperm	草
litrum	草
ljam	兽
lobari	菌
logani	草
lokustel	鸟
loli	草
longan	木
lorant	木
lori	鸟
loris	猴
lutreol	兽
luzul	草
madi	草
maduk	木
magot	猴
makaon	虫
makeri	木
malus	木
mandril	猴
mangifer	木
mangostan	木
mangrov	木
manihot	草
manilkar	木
marant	草
marasmi	菌
marmoz	兽
martagon	草
martes	兽
marubi	草
matiol	草
matrikari	草
mazam	兽
megateri	兽
melaleu^k	木
melo	虫
melopsitak	鸟
meniant	草
menisperm	草
merg^	鸟
merluc^	鱼
meruli	菌
metroksil	木
mezembriant	草
mezere	木
miceli	菌
migal	蛛
mikoriz	菌
mikrot	鼠
mimul	草
miokastor	鼠
mirabil	草
mirik	木
miristik	木
miroksil	木
mish^ant	草
moldavik	草
moli	木
molini	草
molok	龙
molv	鱼
momordik	草
monard	草
monili	菌
monodelf	兽
monodor	木
monster	草
mozasau^r	龙
mug	木
mukor	菌
mureks	贝
musend	木
muskarden	鼠
naj	蛇
nandu	鸟
napel	草
nardostaki	草
nasturti	草
natrik	蛇
nau^krat	鱼
nau^l	木
nau^pli	虾
nazu	兽
nefrolepid	草
negund	木
nekrofor	虫
nelumb	草
nemakejl	鱼
neofron	鸟
nepa	虫
nepent	草
nepet	草
nereid	虫
nikte	鸟
nitel	藻
nopal	草
notonekt	虫
nucifrag	鸟
numeni	鸟
ocelot	兽
ocim	草
ofri	草
ojdi	菌
okapi	兽
okrom	木
oncidi	草
ondatr	鼠
ononid	草
onopord	草
opul	木
opunti	草
orangutan	猴
orcin	兽
orikterop	兽
oriz	草
orn	木
ornitogal	草
orobank	草
oronti	草
osmer	鱼
pagel	鱼
pajen	木
paksil	菌
palakvi	木
panak	草
pandan	木
pankrati	草
panope	贝
papau^	木
papaver	草
parantrop	猴
parietari	草
parmeli	菌
paroniki	草
parteni	草
partenocis	草
pasiflor	草
pau^lini	木
pau^lovni	木
pecaj	草
pedali	草
pedikular	草
pejotl	草
penicil	菌
pense	草
pepon	草
perilj	草
perisore	鸟
peronospor	菌
persikari	草
petrel	鸟
petuni	草
peziz	菌
pilokarp	木
pilozel	草
pimpinel	草
pina	贝
pinastr	木
pingvikul	草
pinikol	鸟
pinktad	贝
pipi	鸟
pipistrel	兽
pirakant	木
piral	虫
piranj	鱼
piretr	草
pirokorak	鸟
pirul	鸟
pirus	木
pistaci	木
pitang	木
piteci	猴
plasmopar	菌
platale	鸟
platiceri	草
plektrant	草
pleu^rot	菌
pleziosau^r	龙
plumbag	草
plute	菌
podokarp	木
pogostemon	草
polemoni	草
poliant	草
poligal	草
poligonat	草
poliplektr	鸟
polipor	菌
polistik	草
pontederi	草
porfiri	鸟
porfur	藻
portulak	草
potentil	草
potiron	草
pozidoni	草
prenantes	草
presbit	猴
prist	鱼
pronel	鸟
psidi	木
ptarmik	草
pteranodont	龙
pterodaktil	龙
pterokarp	木
pterokl	鸟
pterop	兽
pudu	兽
pufin	鸟
pukcini	菌
pulmonari	草
pulsatil	草
pumili	木
rafanistr	草
rafi	木
raflezi	草
rambutan	木
ramforink	龙
rami	草
ramn	木
ramonc^	木
rapunkol	草
rau^volfi	草
ravenal	木
read	草
remor	鱼
reum	草
rinant	草
rizokarp	菌
ro	木
robini	木
robur	木
rokcel	菌
rubetr	鸟
rubi	草
rudbeki	草
rumeks	草
rusk	木
rusul	菌
rutel	鱼
sajmiri	猴
saksikol	鸟
salikorni	草
salsol	草
salvelen	鱼
samol	草
sangvisorb	草
sanikl	草
sanpau^li	草
sansevier	草
sapind	木
saponari	草
saraceni	草
sarak	木
sarkopt	虫
sasafras	木
sature	草
saturni	虫
scirp	草
sebast	鱼
seki	草
sekvojadendr	木
selaginel	草
selin	草
semekarp	木
sensitiv	草
serasalm	鱼
seratul	草
serin	鸟
serpentari	鸟
serpul	菌
serval	兽
sesleri	草
sezel	草
sfagn	苔
sfeg	虫
sfenodont	龙
sigilari	草
silib	草
simfalang	猴
simfit	草
simuli	虫
sirapt	鸟
sit	鸟
sium	草
sizar	草
sizimbri	草
skandik	草
skin	木
sklare	草
sklerant	草
skolim	草
skolopendri	草
skorpiur	草
skrofulari	草
skutelari	草
skvaten	鱼
smilak	草
smilodont	兽
sofor	木
somateri	鸟
sonk	草
sorbus	木
spargani	草
sparti	木
spatang	虫
spergul	草
spergulari	草
spirantes	草
spire	木
sporotrikum	菌
stapeli	草
stegosau^r	龙
stelari	草
stelion	龙
sterkorari	鸟
sterkuli	木
stramoni	草
stratiot	草
strelici	草
streptopeli	鸟
strikn	木
strob	木
strofant	木
strofari	菌
sul	鸟
sumak	木
surmulet	鱼
sviteni	木
s^tern	鸟
tadorn	鸟
tag^et	草
taksodi	木
taliktr	草
tam	草
tamandu	兽
tangar	鸟
taps	草
tapsi	草
taraksak	草
tarsi	猴
tazet	草
tegenari	蛛
telope	木
tenebri	虫
teobrom	木
tered	贝
terminali	木
testacel	贝
tetragoni	草
tetraklin	木
teu^kri	草
tibus^en	木
tife	草
tilandsi	草
timal	鱼
timele	草
tinunkol	鸟
tipuan	木
titi	猴
tlasp	草
tonk	木
topinambur	草
tormentil	草
tradeskanti	草
tragelaf	兽
tragopog	草
tragopogon	草
trakeli	草
trakin	鱼
tremel	菌
triceratop	龙
tridakn	贝
trigonel	草
trikolom	菌
trili	草
tring	鸟
trips	虫
trogi	虫
troli	草
tujops	木
tuku	鼠
turbot	鱼
ulmari	草
umbilikari	菌
umbr	鱼
unau^	兽
unci	兽
undari	藻
uri	鸟
usne	菌
ustilag	菌
utrikulari	草
vakame	藻
vakari	草
valabi	兽
valerianel	草
vanda	草
vanes	虫
venad	兽
verbask	草
verbezen	草
verticili	菌
vign	草
vikstremi	木
vincetoksik	草
voandze	草
volvariel	菌
vukeri	虫
ze	草
zelkov	木
zibet	兽
zigen	虫
zigofil	草
zoarc	鱼
falaropod	鸟
himantopod	鸟
lagopod	鸟
orikteropod	兽
afrodit	虫
andre	苔
andromed	木
as^ok	木
bas^o	草
eritre	草
goliat	虫
gordi	虫
klementin	木
kobe	木
korifen	鱼
Leandr	虾
micen	菌
paris	草
perse	木
sagitari	草
trap	草
veronik	草
