"root"	"kanji"	"id"	"id_super"	"disp"	"band"	"F"	"groupkey"
"tio"	"那o"	""	""	"那o"	"correl"	"19"	"那o"
"tiu"	"那u"	""	""	"那u"	"correl"	"14"	"那u"
"tia"	"那a"	""	""	"那a"	"correl"	"6"	"那a"
"tie"	"那e"	""	""	"那e"	"correl"	"11"	"那e"
"tiam"	"那时"	""	""	"那时"	"correl"	"4"	"那时"
"tiom"	"那量"	""	""	"那量"	"correl"	"5"	"那量"
"ties"	"那之"	""	""	"那之"	"correl"	"2"	"那之"
"tial"	"那因"	""	""	"那因"	"correl"	"5"	"那因"
"tiel"	"那样"	""	""	"那样"	"correl"	"6"	"那样"
"pri"	"于"	""	""	"于"	"prep"	"160"	"于"
"el"	"出"	""	""	"出"	"prep"	"449"	"出"
"eksport"	"出"	"ek"	"ᴱᴷ"	"出ᴱᴷ"	"basic"	"7"	"出"
"emerg^"	"出"	"em"	"ᴱᴹ"	"出ᴱᴹ"	"pejvo"	"5"	"出"
"po"	"每"	""	""	"每"	"prep"	"25"	"每"
"inter"	"间"	""	""	"间"	"prep"	"235"	"间"
"tra"	"穿"	""	""	"穿"	"prep"	"139"	"穿"
"penetr"	"穿"	"p"	"ᴾ"	"穿ᴾ"	"basic"	"20"	"穿"
"tred"	"穿"	"td"	"ᵀᴰ"	"穿ᵀᴰ"	"pejvo"	"2"	"穿"
"permeabl"	"穿"	"pr"	"ᴾᴿ"	"穿ᴾᴿ"	"pejvo"	"6"	"穿"
"perfor"	"穿"	"pf"	"ᴾᶠ"	"穿ᴾᶠ"	"piv"	"2"	"穿"
"per"	"以"	""	""	"以"	"prep"	"55"	"以"
"kontraŭ"	"对"	""	""	"对"	"prep"	"163"	"对"
"jes"	"对"	"j"	"ᴶ"	"对ᴶ"	"func"	"7"	"对"
"opozici"	"对"	"o"	"ᴼ"	"对ᴼ"	"basic"	"8"	"对"
"kontrast"	"对"	"ks"	"ᴷˢ"	"对ᴷˢ"	"basic"	"8"	"对"
"al"	"向"	""	""	"向"	"prep"	"269"	"向"
"por"	"为"	""	""	"为"	"prep"	"32"	"为"
"ĝis"	"至"	""	""	"至"	"prep"	"30"	"至"
"almenaŭ"	"至"	"a"	"ᴬ"	"至ᴬ"	"func"	"1"	"至"
"solstic"	"至"	"s"	"ˢ"	"至ˢ"	"pejvo"	"7"	"至"
"post"	"后"	""	""	"后"	"prep"	"106"	"后"
"aposterior"	"后"	"a"	"ᴬ"	"后ᴬ"	"pejvo"	"2"	"后"
"ĉar"	"因"	""	""	"因"	"func"	"35"	"因"
"pro"	"因"	"p"	"ᴾ"	"因ᴾ"	"prep"	"17"	"因"
"kaŭz"	"因"	"k"	"ᴷ"	"因ᴷ"	"basic"	"18"	"因"
"faktor"	"因"	"f"	"ᶠ"	"因ᶠ"	"basic"	"8"	"因"
"eti"	"因"	"e"	"ᴱ"	"因ᴱ"	"pejvo"	"3"	"因"
"laŭ"	"按"	""	""	"按"	"prep"	"88"	"按"
"sen"	"无"	""	""	"无"	"prep"	"689"	"无"
"neni"	"无"	"n"	"ᴺ"	"无ᴺ"	"basic"	"10"	"无"
"nihil"	"无"	"nh"	"ᴺᴴ"	"无ᴺᴴ"	"pejvo"	"2"	"无"
"infinit"	"无"	"i"	"ᴵ"	"无ᴵ"	"pejvo"	"4"	"无"
"sub"	"下"	""	""	"下"	"prep"	"230"	"下"
"subaltern"	"下"	"sl"	"ˢᴸ"	"下ˢᴸ"	"pejvo"	"2"	"下"
"sob"	"下"	"so"	"ˢᴼ"	"下ˢᴼ"	"piv"	"2"	"下"
"ĉirkaŭ"	"围"	""	""	"围"	"prep"	"71"	"围"
"peri"	"围"	"p"	"ᴾ"	"围ᴾ"	"pejvo"	"13"	"围"
"sieg^"	"围"	"s"	"ˢ"	"围ˢ"	"pejvo"	"9"	"围"
"krom"	"外"	""	""	"外"	"prep"	"41"	"外"
"ekster"	"外"	"e"	"ᴱ"	"外ᴱ"	"prep"	"78"	"外"
"ekzo"	"外"	"ez"	"ᴱᶻ"	"外ᴱᶻ"	"pejvo"	"8"	"外"
"ekt"	"外"	"et"	"ᴱᵀ"	"外ᴱᵀ"	"piv"	"2"	"外"
"ekto"	"外"	"ek"	"ᴱᴷ"	"外ᴱᴷ"	"piv"	"2"	"外"
"ksen"	"外"	"ks"	"ᴷˢ"	"外ᴷˢ"	"piv"	"2"	"外"
"sur"	"上"	""	""	"上"	"prep"	"129"	"上"
"super"	"上"	"sp"	"ˢᴾ"	"上ˢᴾ"	"prep"	"160"	"上"
"trans"	"越"	""	""	"越"	"prep"	"153"	"越"
"ju"	"越"	"j"	"ᴶ"	"越ᴶ"	"pejvo"	"3"	"越"
"ant"	"在"	""	""	"在"	"suf"	"664"	"在"
"ĉe"	"在"	"ĉ"	"ᶜ̂"	"在ᶜ̂"	"prep"	"22"	"在"
"apud"	"旁"	""	""	"旁"	"prep"	"13"	"旁"
"kun"	"共"	""	""	"共"	"prep"	"249"	"共"
"komun"	"共"	"km"	"ᴷᴹ"	"共ᴷᴹ"	"basic"	"53"	"共"
"malgraŭ"	"不顾"	""	""	"不顾"	"prep"	"6"	"不顾"
"de"	"从"	""	""	"从"	"prep"	"417"	"从"
"anstataŭ"	"代"	""	""	"代"	"prep"	"12"	"代"
"agent"	"代"	"ag"	"ᴬᴳ"	"代ᴬᴳ"	"basic"	"15"	"代"
"pronom"	"代"	"p"	"ᴾ"	"代ᴾ"	"basic"	"6"	"代"
"generaci"	"代"	"g"	"ᴳ"	"代ᴳ"	"basic"	"7"	"代"
"era"	"代"	"e"	"ᴱ"	"代ᴱ"	"pejvo"	"2"	"代"
"prokur"	"代"	"pk"	"ᴾᴷ"	"代ᴾᴷ"	"pejvo"	"3"	"代"
"surogat"	"代"	"s"	"ˢ"	"代ˢ"	"pejvo"	"4"	"代"
"en"	"内"	""	""	"内"	"prep"	"0"	"内"
"endo"	"内"	"ed"	"ᴱᴰ"	"内ᴱᴰ"	"pref"	"20"	"内"
"intern"	"内"	"i"	"ᴵ"	"内ᴵ"	"basic"	"32"	"内"
"imanent"	"内"	"im"	"ᴵᴹ"	"内ᴵᴹ"	"pejvo"	"2"	"内"
"intra"	"内"	"ir"	"ᴵᴿ"	"内ᴵᴿ"	"piv"	"3"	"内"
"da"	"份"	""	""	"份"	"prep"	"15"	"份"
"porci"	"份"	"p"	"ᴾ"	"份ᴾ"	"basic"	"7"	"份"
"antaŭ"	"前"	""	""	"前"	"prep"	"174"	"前"
"front"	"前"	"f"	"ᶠ"	"前ᶠ"	"basic"	"27"	"前"
"avan"	"前"	"av"	"ᴬⱽ"	"前ᴬⱽ"	"pejvo"	"3"	"前"
"pre"	"前"	"p"	"ᴾ"	"前ᴾ"	"piv"	"2"	"前"
"dat"	"期"	""	""	"期"	"basic"	"49"	"期"
"dum"	"期"	"dm"	"ᴰᴹ"	"期ᴰᴹ"	"prep"	"13"	"期"
"period"	"期"	"p"	"ᴾ"	"期ᴾ"	"basic"	"27"	"期"
"semestr"	"期"	"s"	"ˢ"	"期ˢ"	"pejvo"	"4"	"期"
"int"	"过"	""	""	"过"	"suf"	"126"	"过"
"pas"	"过"	"p"	"ᴾ"	"过ᴾ"	"basic"	"54"	"过"
"preter"	"过"	"pr"	"ᴾᴿ"	"过ᴾᴿ"	"prep"	"38"	"过"
"transit"	"过"	"t"	"ᵀ"	"过ᵀ"	"piv"	"3"	"过"
"naŭ"	"九"	""	""	"九"	"num"	"11"	"九"
"kvar"	"四"	""	""	"四"	"num"	"75"	"四"
"kvaternar"	"四"	"kt"	"ᴷᵀ"	"四ᴷᵀ"	"pejvo"	"2"	"四"
"mil"	"千"	""	""	"千"	"num"	"32"	"千"
"kilometr"	"千"	"k"	"ᴷ"	"千ᴷ"	"basic"	"0"	"千"
"kilo"	"千"	"ki"	"ᴷᴵ"	"千ᴷᴵ"	"pejvo"	"9"	"千"
"cent"	"百"	""	""	"百"	"num"	"45"	"百"
"hekto"	"百"	"h"	"ᴴ"	"百ᴴ"	"pejvo"	"6"	"百"
"centezimal"	"百"	"cz"	"ᶜᶻ"	"百ᶜᶻ"	"pejvo"	"2"	"百"
"tri"	"三"	""	""	"三"	"num"	"128"	"三"
"terciar"	"三"	"tc"	"ᵀᶜ"	"三ᵀᶜ"	"pejvo"	"3"	"三"
"ses"	"六"	""	""	"六"	"num"	"35"	"六"
"heks"	"六"	"h"	"ᴴ"	"六ᴴ"	"pejvo"	"3"	"六"
"heksa"	"六"	"ha"	"ᴴᴬ"	"六ᴴᴬ"	"pejvo"	"2"	"六"
"ok"	"八"	""	""	"八"	"num"	"24"	"八"
"okta"	"八"	"ot"	"ᴼᵀ"	"八ᴼᵀ"	"piv"	"2"	"八"
"du"	"二"	""	""	"二"	"num"	"319"	"二"
"unu"	"一"	""	""	"一"	"num"	"174"	"一"
"dek"	"十"	""	""	"十"	"num"	"65"	"十"
"deka"	"十"	"da"	"ᴰᴬ"	"十ᴰᴬ"	"pejvo"	"5"	"十"
"decimal"	"十"	"dc"	"ᴰᶜ"	"十ᴰᶜ"	"pejvo"	"6"	"十"
"kvin"	"五"	""	""	"五"	"num"	"31"	"五"
"penta"	"五"	"p"	"ᴾ"	"五ᴾ"	"pejvo"	"3"	"五"
"sep"	"七"	""	""	"七"	"num"	"22"	"七"
"aĉ"	"劣"	""	""	"劣"	"suf"	"59"	"劣"
"membr"	"员"	""	""	"员"	"basic"	"19"	"员"
"an"	"员"	"a"	"ᴬ"	"员ᴬ"	"suf"	"0"	"员"
"komiz"	"员"	"k"	"ᴷ"	"员ᴷ"	"pejvo"	"5"	"员"
"eg"	"巨"	""	""	"巨"	"suf"	"269"	"巨"
"gigant"	"巨"	"g"	"ᴳ"	"巨ᴳ"	"basic"	"4"	"巨"
"kolos"	"巨"	"k"	"ᴷ"	"巨ᴷ"	"pejvo"	"5"	"巨"
"titan"	"巨"	"t"	"ᵀ"	"巨ᵀ"	"pejvo"	"4"	"巨"
"megalo"	"巨"	"m"	"ᴹ"	"巨ᴹ"	"pejvo"	"3"	"巨"
"ciklop"	"巨"	"c"	"ᶜ"	"巨ᶜ"	"pejvo"	"2"	"巨"
"ig"	"使"	""	""	"使"	"suf"	"2032"	"使"
"ambasad"	"使"	"a"	"ᴬ"	"使ᴬ"	"basic"	"3"	"使"
"apostol"	"使"	"ap"	"ᴬᴾ"	"使ᴬᴾ"	"basic"	"2"	"使"
"ambasador"	"使"	"ar"	"ᴬᴿ"	"使ᴬᴿ"	"basic"	"5"	"使"
"misi"	"使"	"m"	"ᴹ"	"使ᴹ"	"pejvo"	"5"	"使"
"nunci"	"使"	"n"	"ᴺ"	"使ᴺ"	"pejvo"	"2"	"使"
"ad"	"行"	""	""	"行"	"suf"	"1555"	"行"
"andant"	"行"	"an"	"ᴬᴺ"	"行ᴬᴺ"	"pejvo"	"2"	"行"
"ul"	"者"	""	""	"者"	"suf"	"926"	"者"
"ebl"	"可"	""	""	"可"	"suf"	"432"	"可"
"obl"	"倍"	""	""	"倍"	"suf"	"56"	"倍"
"ploid"	"倍"	"p"	"ᴾ"	"倍ᴾ"	"piv"	"9"	"倍"
"log"	"学家"	""	""	"学家"	"suf"	"144"	"学家"
"et"	"小"	""	""	"小"	"suf"	"655"	"小"
"minuskl"	"小"	"m"	"ᴹ"	"小ᴹ"	"basic"	"2"	"小"
"minor"	"小"	"mr"	"ᴹᴿ"	"小ᴹᴿ"	"pejvo"	"9"	"小"
"em"	"倾"	""	""	"倾"	"suf"	"436"	"倾"
"inklin"	"倾"	"i"	"ᴵ"	"倾ᴵ"	"basic"	"8"	"倾"
"tendenc"	"倾"	"t"	"ᵀ"	"倾ᵀ"	"basic"	"3"	"倾"
"tak"	"倾"	"tk"	"ᵀᴷ"	"倾ᵀᴷ"	"piv"	"2"	"倾"
"il"	"具"	""	""	"具"	"suf"	"1276"	"具"
"mebl"	"具"	"m"	"ᴹ"	"具ᴹ"	"basic"	"16"	"具"
"konkret"	"具"	"k"	"ᴷ"	"具ᴷ"	"basic"	"6"	"具"
"end"	"须"	""	""	"须"	"suf"	"14"	"须"
"iĝ"	"成"	""	""	"成"	"suf"	"1513"	"成"
"sukces"	"成"	"s"	"ˢ"	"成ˢ"	"basic"	"19"	"成"
"konsist"	"成"	"k"	"ᴷ"	"成ᴷ"	"basic"	"7"	"成"
"igx"	"成"	"ig"	"ᴵᴳ"	"成ᴵᴳ"	"pejvo"	"2"	"成"
"adolt"	"成"	"a"	"ᴬ"	"成ᴬ"	"pejvo"	"2"	"成"
"id"	"子"	""	""	"子"	"suf"	"108"	"子"
"atom"	"子"	"a"	"ᴬ"	"子ᴬ"	"basic"	"32"	"子"
"on"	"分"	""	""	"分"	"suf"	"0"	"分"
"divid"	"分"	"d"	"ᴰ"	"分ᴰ"	"basic"	"28"	"分"
"minut"	"分"	"m"	"ᴹ"	"分ᴹ"	"basic"	"7"	"分"
"frakci"	"分"	"f"	"ᶠ"	"分ᶠ"	"basic"	"8"	"分"
"molekul"	"分"	"ml"	"ᴹᴸ"	"分ᴹᴸ"	"basic"	"12"	"分"
"gros^"	"分"	"g"	"ᴳ"	"分ᴳ"	"pejvo"	"6"	"分"
"ekvinoks"	"分"	"e"	"ᴱ"	"分ᴱ"	"pejvo"	"8"	"分"
"deci"	"分"	"dc"	"ᴰᶜ"	"分ᴰᶜ"	"pejvo"	"3"	"分"
"er"	"粒"	""	""	"粒"	"suf"	"87"	"粒"
"grajn"	"粒"	"g"	"ᴳ"	"粒ᴳ"	"basic"	"26"	"粒"
"granul"	"粒"	"gn"	"ᴳᴺ"	"粒ᴳᴺ"	"pejvo"	"8"	"粒"
"partikl"	"粒"	"p"	"ᴾ"	"粒ᴾ"	"pejvo"	"6"	"粒"
"korpuskl"	"粒"	"k"	"ᴷ"	"粒ᴷ"	"pejvo"	"4"	"粒"
"ej"	"所"	""	""	"所"	"suf"	"743"	"所"
"kontor"	"所"	"k"	"ᴷ"	"所ᴷ"	"pejvo"	"4"	"所"
"uj"	"器"	""	""	"器"	"suf"	"414"	"器"
"organ"	"器"	"o"	"ᴼ"	"器ᴼ"	"basic"	"59"	"器"
"vaz"	"器"	"v"	"ⱽ"	"器ⱽ"	"basic"	"17"	"器"
"aparat"	"器"	"a"	"ᴬ"	"器ᴬ"	"basic"	"28"	"器"
"instrument"	"器"	"i"	"ᴵ"	"器ᴵ"	"basic"	"17"	"器"
"ar"	"群"	""	""	"群"	"suf"	"501"	"群"
"greg"	"群"	"g"	"ᴳ"	"群ᴳ"	"basic"	"5"	"群"
"ec"	"性"	""	""	"性"	"suf"	"1190"	"性"
"seks"	"性"	"s"	"ˢ"	"性ˢ"	"basic"	"62"	"性"
"amor"	"性"	"a"	"ᴬ"	"性ᴬ"	"basic"	"14"	"性"
"ind"	"值"	""	""	"值"	"suf"	"116"	"值"
"valor"	"值"	"v"	"ⱽ"	"值ⱽ"	"basic"	"58"	"值"
"merit"	"值"	"m"	"ᴹ"	"值ᴹ"	"basic"	"15"	"值"
"vac^"	"值"	"vĉ"	"ⱽᶜ̂"	"值ⱽᶜ̂"	"pejvo"	"2"	"值"
"ing"	"座"	""	""	"座"	"suf"	"63"	"座"
"tron"	"座"	"t"	"ᵀ"	"座ᵀ"	"pejvo"	"11"	"座"
"katedr"	"座"	"k"	"ᴷ"	"座ᴷ"	"pejvo"	"3"	"座"
"long"	"长"	""	""	"长"	"basic"	"82"	"长"
"estr"	"长"	"e"	"ᴱ"	"长ᴱ"	"suf"	"90"	"长"
"kapitan"	"长"	"k"	"ᴷ"	"长ᴷ"	"pejvo"	"5"	"长"
"in"	"女"	""	""	"女"	"suf"	"359"	"女"
"feminism"	"女"	"f"	"ᶠ"	"女ᶠ"	"basic"	"0"	"女"
"nj"	"女"	"n"	"ᴺ"	"女ᴺ"	"pejvo"	"2"	"女"
"femin"	"女"	"fe"	"ᶠᴱ"	"女ᶠᴱ"	"pejvo"	"4"	"女"
"ginek"	"女"	"g"	"ᴳ"	"女ᴳ"	"pejvo"	"2"	"女"
"aĵ"	"物"	""	""	"物"	"suf"	"1546"	"物"
"objekt"	"物"	"o"	"ᴼ"	"物ᴼ"	"basic"	"30"	"物"
"ist"	"家"	""	""	"家"	"suf"	"1291"	"家"
"hejm"	"家"	"h"	"ᴴ"	"家ᴴ"	"basic"	"42"	"家"
"famili"	"家"	"f"	"ᶠ"	"家ᶠ"	"basic"	"24"	"家"
"ism"	"主义"	""	""	"主义"	"suf"	"683"	"主义"
"op"	"组"	""	""	"组"	"suf"	"37"	"组"
"kompon"	"组"	"k"	"ᴷ"	"组ᴷ"	"basic"	"18"	"组"
"organiz"	"组"	"or"	"ᴼᴿ"	"组ᴼᴿ"	"basic"	"0"	"组"
"fi"	"卑"	""	""	"卑"	"pref"	"12"	"卑"
"trivial"	"卑"	"t"	"ᵀ"	"卑ᵀ"	"pejvo"	"6"	"卑"
"ĉef"	"首"	""	""	"首"	"pref"	"93"	"首"
"arki"	"首"	"a"	"ᴬ"	"首ᴬ"	"piv"	"3"	"首"
"dis"	"散"	""	""	"散"	"pref"	"205"	"散"
"distr"	"散"	"dt"	"ᴰᵀ"	"散ᴰᵀ"	"basic"	"12"	"散"
"eman"	"散"	"e"	"ᴱ"	"散ᴱ"	"pejvo"	"6"	"散"
"difuz"	"散"	"df"	"ᴰᶠ"	"散ᴰᶠ"	"pejvo"	"6"	"散"
"diverg^"	"散"	"dv"	"ᴰⱽ"	"散ᴰⱽ"	"pejvo"	"10"	"散"
"dispers"	"散"	"dp"	"ᴰᴾ"	"散ᴰᴾ"	"pejvo"	"8"	"散"
"loz"	"散"	"l"	"ᴸ"	"散ᴸ"	"pejvo"	"2"	"散"
"sporad"	"散"	"s"	"ˢ"	"散ˢ"	"pejvo"	"2"	"散"
"pra"	"原"	""	""	"原"	"pref"	"66"	"原"
"original"	"原"	"o"	"ᴼ"	"原ᴼ"	"basic"	"9"	"原"
"primitiv"	"原"	"pm"	"ᴾᴹ"	"原ᴾᴹ"	"basic"	"3"	"原"
"proto"	"原"	"pt"	"ᴾᵀ"	"原ᴾᵀ"	"pejvo"	"6"	"原"
"primar"	"原"	"pr"	"ᴾᴿ"	"原ᴾᴿ"	"pejvo"	"3"	"原"
"pamp"	"原"	"pp"	"ᴾᴾ"	"原ᴾᴾ"	"piv"	"2"	"原"
"mis"	"误"	""	""	"误"	"pref"	"79"	"误"
"bo"	"姻"	""	""	"姻"	"pref"	"20"	"姻"
"re"	"再"	""	""	"再"	"pref"	"367"	"再"
"bis"	"再"	"b"	"ᴮ"	"再ᴮ"	"func"	"4"	"再"
"mal"	"反"	""	""	"反"	"pref"	"1357"	"反"
"opon"	"反"	"o"	"ᴼ"	"反ᴼ"	"basic"	"6"	"反"
"ironi"	"反"	"i"	"ᴵ"	"反ᴵ"	"basic"	"7"	"反"
"kontra"	"反"	"k"	"ᴷ"	"反ᴷ"	"piv"	"2"	"反"
"ek"	"始"	""	""	"始"	"pref"	"147"	"始"
"komenc"	"始"	"k"	"ᴷ"	"始ᴷ"	"basic"	"24"	"始"
"ge"	"双"	""	""	"双"	"pref"	"52"	"双"
"dual"	"双"	"d"	"ᴰ"	"双ᴰ"	"pejvo"	"6"	"双"
"g^emin"	"双"	"ĝ"	"ᴳ̂"	"双ᴳ̂"	"piv"	"4"	"双"
"eks"	"旧"	""	""	"旧"	"pref"	"44"	"旧"
"april"	"四月"	""	""	"四月"	"cal"	"3"	"四月"
"aŭgust"	"八月"	""	""	"八月"	"cal"	"2"	"八月"
"oktobr"	"十月"	""	""	"十月"	"cal"	"1"	"十月"
"or"	"金"	""	""	"金"	"basic"	"61"	"金"
"metal"	"金"	"m"	"ᴹ"	"金ᴹ"	"basic"	"33"	"金"
"blond"	"金"	"b"	"ᴮ"	"金ᴮ"	"basic"	"3"	"金"
"berili"	"金"	"br"	"ᴮᴿ"	"金ᴮᴿ"	"pejvo"	"1"	"金"
"bismut"	"金"	"bs"	"ᴮˢ"	"金ᴮˢ"	"pejvo"	"1"	"金"
"vendred"	"金"	"v"	"ⱽ"	"金ⱽ"	"cal"	"4"	"金"
"ceri"	"金"	"c"	"ᶜ"	"金ᶜ"	"pejvo"	"1"	"金"
"cezi"	"金"	"cz"	"ᶜᶻ"	"金ᶜᶻ"	"pejvo"	"1"	"金"
"erbi"	"金"	"e"	"ᴱ"	"金ᴱ"	"pejvo"	"1"	"金"
"gali"	"金"	"g"	"ᴳ"	"金ᴳ"	"pejvo"	"1"	"金"
"indi"	"金"	"i"	"ᴵ"	"金ᴵ"	"pejvo"	"1"	"金"
"itri"	"金"	"it"	"ᴵᵀ"	"金ᴵᵀ"	"pejvo"	"1"	"金"
"liti"	"金"	"l"	"ᴸ"	"金ᴸ"	"pejvo"	"1"	"金"
"osmi"	"金"	"os"	"ᴼˢ"	"金ᴼˢ"	"pejvo"	"1"	"金"
"tori"	"金"	"t"	"ᵀ"	"金ᵀ"	"pejvo"	"1"	"金"
"iridi"	"金"	"ir"	"ᴵᴿ"	"金ᴵᴿ"	"pejvo"	"1"	"金"
"kadmi"	"金"	"k"	"ᴷ"	"金ᴷ"	"pejvo"	"1"	"金"
"kromi"	"金"	"kr"	"ᴷᴿ"	"金ᴷᴿ"	"pejvo"	"1"	"金"
"nikel"	"金"	"n"	"ᴺ"	"金ᴺ"	"pejvo"	"1"	"金"
"urani"	"金"	"u"	"ᵁ"	"金ᵁ"	"pejvo"	"1"	"金"
"vanad"	"金"	"va"	"ⱽᴬ"	"金ⱽᴬ"	"pejvo"	"1"	"金"
"eu^ropi"	"金"	"eŭ"	"ᴱᵁ̆"	"金ᴱᵁ̆"	"pejvo"	"1"	"金"
"iterbi"	"金"	"ib"	"ᴵᴮ"	"金ᴵᴮ"	"pejvo"	"1"	"金"
"kobalt"	"金"	"kb"	"ᴷᴮ"	"金ᴷᴮ"	"pejvo"	"1"	"金"
"lantan"	"金"	"ln"	"ᴸᴺ"	"金ᴸᴺ"	"pejvo"	"1"	"金"
"luteci"	"金"	"lc"	"ᴸᶜ"	"金ᴸᶜ"	"pejvo"	"1"	"金"
"poloni"	"金"	"p"	"ᴾ"	"金ᴾ"	"pejvo"	"1"	"金"
"radium"	"金"	"r"	"ᴿ"	"金ᴿ"	"pejvo"	"1"	"金"
"skandi"	"金"	"s"	"ˢ"	"金ˢ"	"pejvo"	"1"	"金"
"tantal"	"金"	"tn"	"ᵀᴺ"	"金ᵀᴺ"	"pejvo"	"1"	"金"
"magnezi"	"金"	"mg"	"ᴹᴳ"	"金ᴹᴳ"	"pejvo"	"1"	"金"
"plutoni"	"金"	"pt"	"ᴾᵀ"	"金ᴾᵀ"	"pejvo"	"1"	"金"
"stronci"	"金"	"st"	"ˢᵀ"	"金ˢᵀ"	"pejvo"	"1"	"金"
"volfram"	"金"	"vl"	"ⱽᴸ"	"金ⱽᴸ"	"pejvo"	"1"	"金"
"zirkoni"	"金"	"z"	"ᶻ"	"金ᶻ"	"pejvo"	"1"	"金"
"gadolini"	"金"	"gd"	"ᴳᴰ"	"金ᴳᴰ"	"pejvo"	"1"	"金"
"molibden"	"金"	"ml"	"ᴹᴸ"	"金ᴹᴸ"	"pejvo"	"1"	"金"
"germanium"	"金"	"gr"	"ᴳᴿ"	"金ᴳᴿ"	"pejvo"	"1"	"金"
"kaliforni"	"金"	"kl"	"ᴷᴸ"	"金ᴷᴸ"	"pejvo"	"1"	"金"
"bari"	"金"	"ba"	"ᴮᴬ"	"金ᴮᴬ"	"piv"	"3"	"金"
"niob"	"金"	"nb"	"ᴺᴮ"	"金ᴺᴮ"	"piv"	"2"	"金"
"reni"	"金"	"rn"	"ᴿᴺ"	"金ᴿᴺ"	"piv"	"2"	"金"
"rodi"	"金"	"ro"	"ᴿᴼ"	"金ᴿᴼ"	"piv"	"1"	"金"
"tuli"	"金"	"tl"	"ᵀᴸ"	"金ᵀᴸ"	"piv"	"1"	"金"
"fermi"	"金"	"f"	"ᶠ"	"金ᶠ"	"piv"	"1"	"金"
"hafni"	"金"	"h"	"ᴴ"	"金ᴴ"	"piv"	"1"	"金"
"holmi"	"金"	"hl"	"ᴴᴸ"	"金ᴴᴸ"	"piv"	"1"	"金"
"terbi"	"金"	"tb"	"ᵀᴮ"	"金ᵀᴮ"	"piv"	"1"	"金"
"nobeli"	"金"	"no"	"ᴺᴼ"	"金ᴺᴼ"	"piv"	"1"	"金"
"neodim"	"金"	"nd"	"ᴺᴰ"	"金ᴺᴰ"	"piv"	"1"	"金"
"rubidi"	"金"	"rb"	"ᴿᴮ"	"金ᴿᴮ"	"piv"	"1"	"金"
"americi"	"金"	"a"	"ᴬ"	"金ᴬ"	"piv"	"1"	"金"
"berkeli"	"金"	"bk"	"ᴮᴷ"	"金ᴮᴷ"	"piv"	"1"	"金"
"neptuni"	"金"	"np"	"ᴺᴾ"	"金ᴺᴾ"	"piv"	"1"	"金"
"tekneci"	"金"	"tk"	"ᵀᴷ"	"金ᵀᴷ"	"piv"	"1"	"金"
"prometi"	"金"	"pr"	"ᴾᴿ"	"金ᴾᴿ"	"piv"	"1"	"金"
"lau^renci"	"金"	"lŭ"	"ᴸᵁ̆"	"金ᴸᵁ̆"	"piv"	"1"	"金"
"disprozi"	"金"	"d"	"ᴰ"	"金ᴰ"	"piv"	"1"	"金"
