"root","k","id","P","band","F","gsize"
"emerg^","出","em","-1.592","pejvo","5","3"
"el","出","","-5.729","prep","449","3"
"po","每","","-2.644","prep","25","1"
"inter","间","","-4.978","prep","235","1"
"penetr","穿","p","-2.345","basic","20","5"
"tra","穿","","-4.142","prep","139","5"
"perfor","穿","pf","-0.399","piv","2","5"
"tred","穿","td","-0.332","pejvo","2","5"
"permeabl","穿","pm","-1.313","pejvo","6","5"
"per","以","","-3.85","prep","55","1"
"opozici","对","o","-2.117","basic","8","4"
"kontrast","对","ks","-2.177","basic","8","4"
"kontraŭ","对","","-5.02","prep","163","4"
"jes","对","j","-1.759","func","7","4"
"al","向","","-5.098","prep","269","1"
"por","为","","-3.322","prep","32","1"
"solstic","至","s","-1.83","pejvo","7","3"
"ĝis","至","","-2.984","prep","30","3"
"almenaŭ","至","a","-0.443","func","1","3"
"post","后","","-4.273","prep","106","2"
"aposterior","后","a","-0.999","pejvo","2","2"
"tial,","因","t","-0.749","pejvo","2","6"
"faktor","因","f","-1.897","basic","8","6"
"pro","因","p","-2.44","prep","17","6"
"ĉar","因","","-3.134","func","35","6"
"eti","因","e","-0.936","pejvo","3","6"
"kaŭz","因","k","-2.545","basic","18","6"
"laŭ","按","","-3.689","prep","88","1"
"sen","无","","-6.362","prep","689","4"
"infinit","无","i","-1.734","pejvo","4","4"
"neni","无","n","-2.298","basic","10","4"
"nihil","无","nh","-1.074","pejvo","2","4"
"sob","下","sb","-1.099","piv","2","3"
"sub","下","","-5.442","prep","230","3"
"subaltern","下","sl","-1.699","pejvo","2","3"
"peri","围","p","-2.11","pejvo","13","3"
"sieg^","围","s","-1.774","pejvo","9","3"
"ĉirkaŭ","围","","-3.834","prep","71","3"
"ksen","外","ks","-0.839","piv","2","6"
"ekster","外","e","-4.229","prep","78","6"
"krom","外","","-3.478","prep","41","6"
"ekzo","外","ez","-1.937","pejvo","8","6"
"ekt","外","ek","-0.779","piv","2","6"
"ekto","外","et","-0.839","piv","2","6"
"sur","上","","-4.868","prep","129","2"
"super","上","sp","-5.282","prep","160","2"
"ju","越","j","-0.236","pejvo","3","2"
"trans","越","","-3.962","prep","153","2"
"ĉe","在","ĉ","-2.635","prep","22","2"
"ant","在","","-6.05","suf","664","2"
"apud","旁","","-1.759","prep","13","1"
"komun","共","km","-3.639","basic","53","2"
"kun","共","","-5.071","prep","249","2"
"malgraŭ","不顾","","-0.696","prep","6","1"
"de","从","","-5.785","prep","417","1"
"generaci","代","g","-2.059","basic","7","7"
"agent","代","","-2.573","basic","15","7"
"surogat","代","s","-1.529","pejvo","4","7"
"prokur","代","pk","-1.246","pejvo","3","7"
"anstataŭ","代","as","-2.545","prep","12","7"
"era","代","e","-0.779","pejvo","2","7"
"pronom","代","p","-1.806","basic","6","7"
"endo","内","","-2.945","pref","20","5"
"imanent","内","im","-1.224","pejvo","2","5"
"en","内","en","0.25","prep","0","5"
"intern","内","i","-3.547","basic","32","5"
"intra","内","in","-1.361","piv","3","5"
"da","份","","-2.272","prep","15","2"
"porci","份","p","-1.729","basic","7","2"
"antaŭ","前","","-4.432","prep","174","4"
"pre","前","p","-0.299","piv","2","4"
"front","前","f","-2.599","basic","27","4"
"avan","前","av","-0.619","pejvo","3","4"
"dat","期","","-2.787","basic","49","4"
"dum","期","dm","-1.514","prep","13","4"
"period","期","p","-2.282","basic","27","4"
"semestr","期","s","-0.584","pejvo","4","4"
"pas","过","p","-3.557","basic","54","4"
"preter","过","pr","-3.364","prep","38","4"
"int","过","","-4.394","suf","126","4"
"transit","过","t","-1.136","piv","3","4"
"naŭ","九","","-2.735","num","11","1"
"kvar","四","","-4.071","num","75","2"
"kvaternar","四","kt","-1.139","pejvo","2","2"
"mil","千","","-3.497","num","32","3"
"kilo","千","kl","-2.402","pejvo","9","3"
"kilometr","千","k","-0.5","basic","0","3"
"centezimal","百","cz","-0.999","pejvo","2","3"
"hekto","百","h","-1.596","pejvo","6","3"
"cent","百","","-3.429","num","45","3"
"tri","三","","-4.860","num","128","2"
"terciar","三","tc","-1.786","pejvo","3","2"
"heksa","六","hk","-1.074","pejvo","2","3"
"ses","六","","-3.409","num","35","3"
"heks","六","h","-1.286","pejvo","3","3"
"ok","八","","-3.319","num","24","2"
"okta","八","ot","-1.499","piv","2","2"
"du","二","","-5.868","num","319","1"
"unu","一","","-5.965","num","174","1"
"decimal","十","dc","-2.796","pejvo","6","3"
"dek","十","","-4.44","num","65","3"
"deka","十","dk","-2.192","pejvo","5","3"
"penta","五","p","-1.361","pejvo","3","2"
"kvin","五","","-3.366","num","31","2"
"sep","七","","-3.385","num","22","1"
"aĉ","劣","","-3.594","suf","59","1"
"an","员","a","0.614","suf","0","3"
"komiz","员","k","-1.306","pejvo","5","3"
"membr","员","","-2.51","basic","19","3"
"kolos","巨","k","-1.767","pejvo","5","6"
"gigant","巨","g","-1.659","basic","4","6"
"eg","巨","","-5.348","suf","269","6"
"titan","巨","t","-1.584","pejvo","4","6"
"ciklop","巨","c","-1.149","pejvo","2","6"
"megalo","巨","m","-1.436","pejvo","3","6"
"misi","使","m","-1.142","pejvo","5","6"
"nunci","使","n","-0.486","pejvo","2","6"
"apostol","使","ap","-0.561","basic","2","6"
"ig","使","","-6.892","suf","2032","6"
"ambasador","使","a","-1.329","basic","5","6"
"ambasad","使","am","-0.849","basic","3","6"
"ad","行","","-6.85","suf","1555","2"
"andant","行","an","-0.799","pejvo","2","2"
"ul","者","","-6.107","suf","926","1"
"ebl","可","","-5.751","suf","432","1"
"obl","倍","","-3.133","suf","56","2"
"ploid","倍","p","-1.453","piv","9","2"
"log","学家","","-3.227","suf","144","1"
"minor","小","mr","-2.503","pejvo","9","3"
"et","小","","-6.386","suf","655","3"
"minuskl","小","m","-1.499","basic","2","3"
"inklin","倾","i","-1.377","basic","8","3"
"tak","倾","t","-0.189","piv","2","3"
"em","倾","","-5.14","suf","436","3"
"il","具","","-6.427","suf","1276","3"
"mebl","具","m","-2.183","basic","16","3"
"konkret","具","k","-1.408","basic","6","3"
"end","须","","-1.908","suf","14","1"
"iĝ","成","","-6.822","suf","1513","5"
"adolt","成","a","-0.749","pejvo","2","5"
"konsist","成","k","-1.83","basic","7","5"
"igx","成","ig","-0.649","pejvo","2","5"
"sukces","成","s","-2.696","basic","19","5"
"id","子","","-4.591","suf","108","2"
"atom","子","a","-3.596","basic","32","2"
"on","分","o","0.25","suf","0","8"
"gros^","分","g","-1.846","pejvo","6","8"
"molekul","分","m","-2.69","basic","12","8"
"minut","分","mn","-2.054","basic","7","8"
"frakci","分","f","-2.247","basic","8","8"
"divid","分","","-3.342","basic","28","8"
"ekvinoks","分","e","-2.397","pejvo","8","8"
"deci","分","dc","-1.286","pejvo","3","8"
"korpuskl","粒","k","-0.728","pejvo","4","5"
"er","粒","","-3.432","suf","87","5"
"partikl","粒","p","-1.037","pejvo","6","5"
"granul","粒","gl","-1.261","pejvo","8","5"
"grajn","粒","g","-2.332","basic","26","5"
"kontor","所","k","-1.034","pejvo","4","2"
"ej","所","","-5.887","suf","743","2"
"instrument","器","i","-1.478","basic","17","5"
"organ","器","o","-2.588","basic","59","5"
"vaz","器","v","-1.347","basic","17","5"
"aparat","器","a","-1.88","basic","28","5"
"uj","器","","-4.466","suf","414","5"
"ar","群","","-4.965","suf","501","2"
"greg","群","g","-0.584","basic","5","2"
"amor","性","a","-2.058","basic","14","3"
"seks","性","s","-3.493","basic","62","3"
"ec","性","","-6.358","suf","1190","3"
"valor","值","v","-3.228","basic","58","4"
"merit","值","m","-1.923","basic","15","4"
"ind","值","","-3.852","suf","116","4"
"vac^","值","vc^","-0.189","pejvo","2","4"
"katedr","座","k","-0.566","pejvo","3","3"
"tron","座","t","-1.605","pejvo","11","3"
"ing","座","","-3.249","suf","63","3"
"kapitan","长","k","-1.917","pejvo","5","3"
"estr","长","","-4.411","suf","90","3"
"long","长","l","-4.319","basic","82","3"
"nj","女","n","-0.999","pejvo","2","5"
"in","女","","-5.786","suf","359","5"
"femin","女","fm","-1.81","pejvo","4","5"
"feminism","女","f","-0.5","basic","0","5"
"ginek","女","g","-1.299","pejvo","2","5"
"objekt","物","o","-2.859","basic","30","2"
"aĵ","物","","-6.619","suf","1546","2"
"famili","家","f","-2.399","basic","24","3"
"ist","家","","-6.254","suf","1291","3"
"hejm","家","h","-2.881","basic","42","3"
"ism","主义","","-5.84","suf","683","1"
"organiz","组","or","0.538","basic","0","3"
"kompon","组","k","-2.369","basic","18","3"
"op","组","","-2.913","suf","37","3"
"fi","卑","","-1.84","pref","12","2"
"trivial","卑","t","-1.408","pejvo","6","2"
"ĉef","首","","-3.743","pref","93","2"
"arki","首","a","-0.619","piv","3","2"
"eman","散","e","-0.846","pejvo","6","8"
"difuz","散","df","-0.871","pejvo","6","8"
"dis","散","","-4.203","pref","205","8"
"dispers","散","dp","-1.172","pejvo","8","8"
"distr","散","dt","-1.49","basic","12","8"
"sporad","散","s","-0.049","pejvo","2","8"
"diverg^","散","dv","-1.348","pejvo","10","8"
"loz","散","l","0.026","pejvo","2","8"
"primar","原","pi","-0.566","pejvo","3","6"
"pra","原","","-3.295","pref","66","6"
"pamp","原","pp","-0.219","piv","2","6"
"original","原","o","-1.543","basic","9","6"
"primitiv","原","pm","-0.626","basic","3","6"
"proto","原","pr","-1.096","pejvo","6","6"
"mis","误","","-3.582","pref","79","1"
"bo","姻","","-2.211","pref","20","1"
"re","再","","-5.408","pref","367","2"
"bis","再","b","-1.159","func","4","2"
"mal","反","","-7.039","pref","1357","4"
"kontra","反","k","-1.149","piv","2","4"
"ironi","反","i","-2.054","basic","7","4"
"opon","反","o","-1.846","basic","6","4"
"ek","始","","-4.272","pref","147","2"
"komenc","始","k","-2.644","basic","24","2"
"dual","双","d","-1.846","pejvo","6","3"
"ge","双","","-3.72","pref","52","3"
"g^emin","双","g^","-1.584","piv","4","3"
"eks","旧","","-3.487","pref","44","1"
"april","四月","","-0.653","cal","3","1"
"aŭgust","八月","","-0.799","cal","2","1"
"oktobr","十月","","-0.393","cal","1","1"
"blond","金","b","-0.774","basic","3","4"
"metal","金","m","-2.914","basic","33","4"
"vendred","金","v","-1.072","cal","4","4"
"or","金","","-3.402","basic","61","4"
"januar","一月","","-0.553","cal","1","1"
"mard","火","m","-1.509","cal","4","2"
"fajr","火","","-4.027","basic","61","2"
"diurn","日","dr","-1.074","pejvo","2","4"
"tag","日","","-4.219","basic","80","4"
"helio","日","h","-2.373","pejvo","10","4"
"dimanĉ","日","d","-1.842","cal","5","4"
"novembr","十一月","","-0.293","cal","1","1"
"decembr","十二月","","-0.561","cal","2","1"
"tili","木","t","-0.999","pejvo","2","8"
"ĵaŭd","木","ĵ","-1.286","cal","3","8"
"lign","木","","-3.851","basic","51","8"
"sorp","木","s","-0.999","pejvo","2","8"
"muskat","木","m","-1.996","pejvo","6","8"
"kornus","木","kr","-1.149","pejvo","2","8"
"ksil","木","k","-1.846","pejvo","6","8"
"koril","木","kl","-1.074","piv","2","8"
"mart","三月","","-0.858","cal","3","1"
"sabat","土","s","-1.992","cal","5","3"
"saturn","土","sr","-1.686","pejvo","3","3"
"grund","土","","-3.378","basic","23","3"
"septembr","九月","","-0.899","cal","2","1"
"akv","水","","-5.133","basic","201","3"
"hidr","水","h","-4.059","pref","63","3"
"merkred","水","m","-1.734","cal","4","3"
"maj","五月","","-1.51","cal","8","1"
"juli","七月","","-1.21","cal","4","1"
"februar","二月","","-0.443","cal","1","1"
"juni","六月","","-0.736","cal","3","1"
"lun","月","","-3.409","basic","35","3"
"lund","月","ld","-1.286","cal","3","3"
"monat","月","m","-3.271","basic","26","3"
"la","该","","-2.939","func","38","1"
"kapric","任","","-1.309","basic","4","3"
"ajn","任","a","0.45","func","0","3"
"investitur","任","i","-0.999","pejvo","2","3"
"ambaŭ","两","","-2.153","func","13","1"
"ankaŭ","也","","-0.893","func","1","1"
"ankoraŭ","还","a","-1.209","func","4","2"
"plu","还","","-2.52","func","21","2"
"apenaŭ","才","a","-1.686","func","3","3"
"geni","才","","-1.709","basic","4","3"
"talent","才","t","-2.092","basic","5","3"
"aŭ","或","","-0.884","func","4","1"
"baldaŭ","将","b","-0.91","func","4","3"
"ont","将","","-2.419","suf","24","3"
"general","将","g","-1.125","basic","5","3"
"ĉu","吗","","-0.886","func","3","1"
"do","故","","-0.265","func","2","1"
"kupl","连","kp","-2.179","pejvo","14","4"
"konekt","连","k","-2.602","sci","20","4"
"eĉ","连","","-0.484","func","2","4"
"koneks","连","ks","-0.943","pejvo","3","4"
"for","离","","-4.393","func","200","1"
"ĝi","它","","-1.229","func","4","1"
"hieraŭ","昨","","-1.246","func","6","1"
"hodiaŭ","今","","-1.842","func","5","1"
"ili","他们","","-0.699","func","4","1"
"konfirm","确","k","-0.921","basic","6","5"
"cert","确","","-1.844","basic","18","5"
"konstat","确","ks","-0.361","basic","3","5"
"ja","确","j","0.457","func","1","5"
"definitiv","确","d","-1.222","pejvo","8","5"
"jam","已","","-1.792","func","5","1"
"jen","这","","-1.038","func","4","1"
"ĵus","刚","","-0.649","func","2","1"
"pac","和","","-3.184","basic","47","4"
"pacif","和","pf","-0.486","pejvo","2","4"
"kaj","和","k","-3.05","func","41","4"
"akord","和","a","-1.952","basic","12","4"
"fakt","事","f","-0.959","basic","4","4"
"ke","事","","-1.578","func","9","4"
"afer","事","a","-2.569","basic","24","4"
"event","事","e","-0.774","basic","3","4"
"kvankam","虽","","-0.027","func","1","1"
"kvazaŭ","如","","-2.835","func","22","1"
"altru","他","a","-1.186","pejvo","3","2"
"li","他","","-1.699","func","7","2"
"mem","自","","-4.204","func","104","1"
"mi","我","","-2.43","func","20","2"
"atm","我","a","-0.527","piv","2","2"
"eksplicit","明","e","-0.636","pejvo","2","2"
"morgaŭ","明","","-1.371","func","6","2"
"ne","不","","-5.963","func","498","1"
"nek","也不","","-0.122","func","1","1"
"ni","我们","","-1.153","func","9","1"
"fenomen","现","f","-2.598","basic","22","6"
"aktual","现","ak","-1.823","basic","10","6"
"modern","现","m","-1.823","basic","10","6"
"kontant","现","k","-1.66","basic","8","6"
"aper","现","a","-2.346","basic","19","6"
"nun","现","","-2.021","func","14","6"
"nur","仅","","-1.434","func","4","1"
"ol","比","","-3.046","func","26","2"
"proporci","比","p","-2.908","basic","14","2"
"antrop","人","a","-3.533","pejvo","16","4"
"person","人","p","-4.134","basic","30","4"
"oni","人","o","-2.447","func","8","4"
"hom","人","","-4.761","basic","90","4"
"plej","最","","-2.455","func","34","1"
"pli","更","","-3.917","func","88","1"
"preskaŭ","几","","-2.236","func","3","1"
"se","若","","-1.067","func","5","1"
"sed","但","","-0.815","func","3","1"
"propriet","己","pt","-2.697","pejvo","8","4"
"propr","己","p","-3.697","basic","32","4"
"si","己","","-4.464","func","95","4"
"egoist","己","e","-0.3","basic","0","4"
"ŝi","她","","-1.292","func","5","1"
"tamen","却","","-0.613","func","2","1"
"tre","很","","-0.809","func","4","1"
"tro","太","","-3.885","func","57","1"
"ekstemporal","即","e","-0.87","pejvo","2","2"
"tuj","即","","-2.201","func","15","2"
"vi","你","","-2.025","func","13","1"
"adiaŭ","再见","","-0.942","func","5","1"
"hoj","喂","hj","0.026","pejvo","2","3"
"ho","喂","ho","-0.46","pejvo","4","3"
"he","喂","","0.051","func","2","3"
"minus","减","","-0.828","func","5","5"
"diskont","减","d","-1.037","pejvo","6","5"
"subtrah","减","s","-0.477","basic","3","5"
"redukt","减","r","-1.772","basic","14","5"
"dekrement","减","dr","-0.244","pejvo","2","5"
"adici","加","a","-1.409","basic","4","2"
"plus","加","","-1.937","func","8","2"
"ceter","余","c","-1.124","basic","4","3"
"rest","余","","-2.729","basic","25","3"
"sald","余","s","-1.263","pejvo","5","3"
"ali","别","","-3.572","basic","62","1"
"alt","高","","-3.644","basic","94","3"
"altitud","高","ad","-0.596","pejvo","3","3"
"hips","高","h","-0.506","pejvo","3","3"
"am","爱","","-3.467","basic","81","1"
"amik","友","","-3.614","basic","40","1"
"bel","美","","-3.327","basic","61","1"
"eu^","良","e","-1.178","piv","5","4"
"benign","良","bg","-0.656","pejvo","2","4"
"bon","良","","-4.459","basic","152","4"
"konscienc","良","k","-1.765","basic","7","4"
"ĉambr","室","","-3.501","basic","68","4"
"kamer","室","k","-1.832","pejvo","12","4"
"lokal","室","l","-0.653","piv","3","4"
"studi","室","s","-0.365","pejvo","2","4"
"salut","问","","-2.422","basic","15","2"
"demand","问","d","-2.996","basic","26","2"
"dev","应","","-3.118","basic","39","1"
"dezir","欲","","-1.87","basic","16","2"
"apetit","欲","a","-1.548","basic","11","2"
"dir","说","","-3.007","basic","44","1"
"don","给","","-3.927","basic","112","1"
"est","是","","-3.151","basic","51","1"
"facil","易","","-2.943","basic","34","1"
"far","做","","-3.636","basic","104","1"
"feliĉ","幸","","-2.432","basic","20","1"
"fin","终","","-3.244","basic","50","3"
"finis^","终","fs^","-0.486","piv","2","3"
"final","终","fl","-1.179","pejvo","5","3"
"flank","侧","","-3.818","basic","83","1"
"sekundar","次","s","-0.899","pejvo","2","2"
"foj","次","","-3.239","basic","39","2"
"adjektiv","形","a","-0.742","basic","2","6"
"morfi","形","mr","-2.153","piv","13","6"
"figur","形","fg","-2.881","basic","28","6"
"formal","形","fl","-2.122","basic","12","6"
"form","形","","-4.878","basic","222","6"
"morf","形","m","-3.383","sci","49","6"
"trud","强","t","-2.455","basic","34","3"
"emfaz","强","e","-0.311","basic","3","3"
"fort","强","","-3.704","basic","121","3"
"ĝoj","喜","","-2.133","basic","25","2"
"ŝat","喜","ŝ","-1.648","basic","15","2"
"majuskl","大","m","-2.346","basic","6","3"
"maj^or","大","mj^","-2.397","pejvo","8","3"
"grand","大","","-4.864","basic","105","3"
"pez","重","","-3.132","basic","50","3"
"akcent","重","a","-1.497","basic","8","3"
"grav","重","g","-2.229","basic","19","3"
"posed","有","p","-2.422","basic","15","2"
"hav","有","","-3.919","basic","78","2"
"help","助","","-3.46","basic","53","2"
"adjunkt","助","a","-0.986","pejvo","3","2"
"pedo","童","p","-0.286","pejvo","3","3"
"infan","童","","-3.019","basic","59","3"
"fabel","童","f","-1.323","basic","10","3"
"ir","往","","-4.224","basic","140","2"
"o-re","往","o","-0.449","pejvo","2","2"
"jar","年","","-4.321","basic","117","1"
"neoten","幼","n","-0.959","piv","2","2"
"jun","幼","","-3.418","basic","41","2"
"hub","田","h","-0.779","pejvo","2","2"
"kamp","田","","-3.945","basic","66","2"
"pru","头","p","-0.779","pejvo","2","3"
"kap","头","","-4.315","basic","102","3"
"cefal","头","c","-2.633","pejvo","16","3"
"kelk","些","","-2.485","basic","22","1"
"likvid","清","l","-1.628","pejvo","12","3"
"net","清","","-1.978","basic","19","3"
"klar","清","k","-2.901","basic","48","3"
"disoci","解","d","-0.63","pejvo","5","4"
"solv","解","s","-2.258","basic","31","4"
"liz","解","","-1.765","suf","19","4"
"kompren","解","k","-2.445","basic","35","4"
"konfes","认","kf","-2.615","basic","12","3"
"agnosk","认","a","-1.436","pejvo","3","3"
"kon","认","","-3.632","basic","44","3"
"kardi","心","kd","-2.919","sci","18","5"
"psikologi","心","p","-0.275","basic","0","5"
"mens","心","m","-2.733","basic","16","5"
"kor","心","","-3.968","basic","62","5"
"psik","心","ps","-3.538","sci","37","5"
"mesaĝ","信","m","-1.346","basic","7","6"
"fid","信","","-2.196","basic","19","6"
"kred","信","k","-3.145","basic","49","6"
"konfid","信","kn","-1.785","basic","11","6"
"epistol","信","e","-0.432","pejvo","2","6"
"leter","信","l","-3.095","basic","45","6"
"labor","劳","","-4.685","basic","175","1"
"regn","国","r","-2.485","basic","22","3"
"ŝtat","国","ŝ","-3.444","basic","59","3"
"land","国","","-4.095","basic","114","3"
"last","末","","-2.998","basic","25","1"
"leg","读","","-2.94","basic","46","1"
"lingvistik","学","lv","-1.772","basic","8","7"
"universitat","学","u","-1.915","basic","9","7"
"lern","学","lr","-3.719","basic","78","7"
"logi","学","","-4.805","suf","233","7"
"nomi","学","n","-2.346","suf","19","7"
"ik","学","i","-1.84","pejvo","12","7"
"student","学","s","-2.235","basic","15","7"
"kondut","举","k","-1.603","basic","9","2"
"lev","举","","-3.007","basic","44","2"
"liber","自由","","-3.58","basic","93","1"
"loĝ","住","","-3.19","basic","42","1"
"dispozici","处","dz","-1.426","pejvo","3","3"
"dispon","处","d","-1.806","basic","6","3"
"lok","处","","-4.037","basic","77","3"
"man","手","","-4.244","basic","82","2"
"kiral","手","k","-1.074","piv","2","2"
"met","置","","-3.1","basic","75","1"
"polem","战","p","-0.365","piv","2","3"
"milit","战","","-3.799","basic","92","3"
"batal","战","b","-3.095","basic","45","3"
"horizont","界","h","-0.976","basic","4","3"
"lim","界","","-3.434","basic","68","3"
"mond","界","m","-3.392","basic","63","3"
"manifestaci","示","mf","-1.546","basic","3","3"
"montr","示","","-3.411","basic","36","3"
"sugest","示","s","-1.246","basic","3","3"
"mort","死","","-4.215","basic","100","2"
"nekr","死","n","-1.392","pejvo","5","2"
"verb","动","v","-2.085","basic","11","6"
"kinez","动","kz","-1.729","piv","7","6"
"kinet","动","k","-1.259","pejvo","4","6"
"aŭtomat","动","a","-2.695","basic","18","6"
"motor","动","mt","-3.233","basic","35","6"
"mov","动","","-4.165","basic","100","6"
"plur","多","pr","-3.661","pejvo","57","3"
"mult","多","","-4.133","basic","92","3"
"poli","多","p","-3.384","pref","43","3"
"gent","族","g","-1.782","basic","15","4"
"etn","族","e","-1.754","basic","15","4"
"naci","族","","-3.563","basic","94","4"
"trib","族","t","-0.955","pejvo","6","4"
"onim","名","o","-2.165","pejvo","12","5"
"nom","名","","-3.944","basic","80","5"
"substantiv","名","s","-1.692","basic","5","5"
"nominal","名","nl","-1.542","pejvo","5","5"
"fam","名","f","-2.641","basic","21","5"
"neologism","新","nl","1.092","basic","0","3"
"neo","新","ne","-0.849","pejvo","7","3"
"nov","新","","-3.423","basic","104","3"
"biologi","生","b","0.08","basic","0","8"
"okaz","生","o","-3.107","basic","28","8"
"gen","生","g","-3.87","sci","65","8"
"bio","生","bo","-3.487","sci","44","8"
"plazi","生","p","-1.592","piv","5","8"
"bi","生","bi","-2.665","pejvo","20","8"
"gener","生","gr","-2.744","pejvo","18","8"
"nask","生","","-3.974","basic","68","8"
"parol","话","","-3.692","basic","73","2"
"dialog","话","d","0.575","basic","0","2"
"patr","父","","-4.027","basic","61","1"
"postul","求","ps","-2.39","basic","16","3"
"pet","求","","-3.118","basic","39","3"
"petici","求","pc","-0.656","pejvo","2","3"
"kontent","满","k","-1.806","basic","18","2"
"plen","满","","-3.816","basic","151","2"
"fortun","运","f","-1.167","basic","4","2"
"port","运","","-3.734","basic","70","2"
"kapabl","能","k","-2.581","basic","29","5"
"energi","能","e","-3.205","basic","55","5"
"pov","能","p","-3.168","basic","58","5"
"iv","能","","-3.904","suf","126","5"
"kompetent","能","km","-1.467","basic","8","5"
"pren","拿","","-3.18","basic","57","1"
"proksim","近","","-2.967","basic","28","2"
"miop","近","m","-1.081","basic","4","2"
"ekspres","速","e","-1.695","basic","11","3"
"taki","速","t","-0.506","piv","3","3"
"rapid","速","","-3.481","basic","75","3"
"respond","答","","-2.342","basic","28","1"
"riĉ","富","r","-3.123","basic","69","2"
"oz","富","","-3.785","suf","138","2"
"adopt","收","a","-2.483","basic","16","3"
"ricev","收","","-2.828","basic","23","3"
"ferl","收","f","-1.21","pejvo","4","3"
"rid","笑","","-2.556","basic","31","2"
"komik","笑","k","-1.229","basic","7","2"
"skarlat","红","s","-0.849","pejvo","2","2"
"ruĝ","红","","-3.784","basic","68","2"
"ŝajn","像","","-2.348","basic","34","2"
"statu","像","s","-0.607","basic","5","2"
"homo","同","h","-2.858","pref","25","5"
"ident","同","i","-2.048","basic","10","5"
"sam","同","","-4.016","basic","86","5"
"asimil","同","a","-1.646","basic","6","5"
"unison","同","u","-0.799","pejvo","2","5"
"gnostik","知","g","-1.072","piv","4","2"
"sci","知","","-3.163","basic","46","2"
"sekv","随","","-2.565","basic","34","1"
"send","送","","-2.971","basic","41","2"
"eksped","送","e","-1.246","basic","6","2"
"sid","坐","","-3.399","basic","52","1"
"sinjor","君","","-2.39","basic","16","1"
"libr","书","","-4.443","basic","93","2"
"skrib","书","s","-4.629","basic","104","2"
"star","立","","-3.71","basic","52","1"
"temp","时","","-4.207","basic","113","1"
"ten","持","","-3.732","basic","92","1"
"ter","地","","-4.513","basic","142","5"
"geo","地","g","-3.462","pref","49","5"
"topo","地","tp","-1.797","pejvo","8","5"
"teren","地","tn","-2.358","basic","14","5"
"geografi","地","gr","0.2","basic","0","5"
"entjer","整","e","0.101","pejvo","3","7"
"apretur","整","ar","0.37","pejvo","2","7"
"rektifik","整","rk","0.064","pejvo","3","7"
"apret","整","ap","-0.103","pejvo","4","7"
"tut","整","","-2.094","basic","37","7"
"aranĝ","整","a","-1.928","basic","30","7"
"rektif","整","r","0.101","pejvo","3","7"
"ven","来","","-3.811","basic","79","1"
"multiplik","乘","m","-1.467","basic","8","2"
"vetur","乘","","-3.44","basic","72","2"
"vid","见","","-4.279","basic","85","1"
"vir","男","","-3.588","basic","63","1"
"aktiv","活","a","-2.98","basic","40","3"
"vigl","活","vg","-2.178","basic","18","3"
"viv","活","","-4.197","basic","147","3"
"ŝose","路","ŝ","-0.738","basic","6","3"
"voj","路","","-3.66","basic","132","3"
"cirkvit","路","c","-1.695","basic","16","3"
"volont","愿","vn","-1.127","basic","10","3"
"bonvol","愿","b","1.271","basic","0","3"
"vol","愿","","-2.556","basic","48","3"
"termin","词","t","-1.637","basic","7","2"
"vort","词","","-3.949","basic","87","2"
"kontinu","续","k","-2.269","sci","23","2"
"daŭr","续","","-2.723","basic","40","2"
