"root","k","id","band","F"
"mal","反","","pref","1357"
"opon","反","o","basic","6"
"ironi","反","i","basic","7"
"kontra","反","k","piv","2"
"ek","始","","pref","147"
"komenc","始","k","basic","24"
"ge","双","","pref","52"
"dual","双","d","pejvo","6"
"g^emin","双","ĝ","piv","4"
"eks","旧","","pref","44"
"april","四月","","cal","3"
"aŭgust","八月","","cal","2"
"oktobr","十月","","cal","1"
"or","金","","basic","61"
"metal","金","m","basic","33"
"blond","金","b","basic","3"
"berili","金","br","pejvo","1"
"bismut","金","bs","pejvo","1"
"vendred","金","v","cal","4"
"ceri","金","c","pejvo","1"
"cezi","金","cz","pejvo","1"
"erbi","金","e","pejvo","1"
"gali","金","g","pejvo","1"
"indi","金","i","pejvo","1"
"itri","金","it","pejvo","1"
"liti","金","l","pejvo","1"
"osmi","金","os","pejvo","1"
"tori","金","t","pejvo","1"
"iridi","金","ir","pejvo","1"
"kadmi","金","k","pejvo","1"
"kromi","金","kr","pejvo","1"
"nikel","金","n","pejvo","1"
"urani","金","u","pejvo","1"
"vanad","金","va","pejvo","1"
"eu^ropi","金","eŭ","pejvo","1"
"iterbi","金","ib","pejvo","1"
"kobalt","金","kb","pejvo","1"
"lantan","金","ln","pejvo","1"
"luteci","金","lc","pejvo","1"
"poloni","金","p","pejvo","1"
"radium","金","r","pejvo","1"
"skandi","金","s","pejvo","1"
"tantal","金","tn","pejvo","1"
"magnezi","金","mg","pejvo","1"
"plutoni","金","pt","pejvo","1"
"stronci","金","st","pejvo","1"
"volfram","金","vl","pejvo","1"
"zirkoni","金","z","pejvo","1"
"gadolini","金","gd","pejvo","1"
"molibden","金","ml","pejvo","1"
"germanium","金","gr","pejvo","1"
"kaliforni","金","kl","pejvo","1"
"bari","金","ba","piv","3"
"niob","金","nb","piv","2"
"reni","金","rn","piv","2"
"rodi","金","ro","piv","1"
"tuli","金","tl","piv","1"
"fermi","金","f","piv","1"
"hafni","金","h","piv","1"
"holmi","金","hl","piv","1"
"terbi","金","tb","piv","1"
"nobeli","金","no","piv","1"
"neodim","金","nd","piv","1"
"rubidi","金","rb","piv","1"
"americi","金","a","piv","1"
"berkeli","金","bk","piv","1"
"neptuni","金","np","piv","1"
"tekneci","金","tk","piv","1"
"prometi","金","pr","piv","1"
"lau^renci","金","lŭ","piv","1"
"disprozi","金","d","piv","1"
"ejns^tejni","金","ej","piv","1"
"mendelevi","金","mn","piv","1"
"prazeodim","金","pz","piv","1"
"protaktini","金","pk","piv","1"
"januar","一月","","cal","1"
"fajr","火","","basic","61"
"mard","火","m","cal","4"
"tag","日","","basic","80"
"helio","日","h","pejvo","10"
"diurn","日","d","pejvo","2"
"dimanĉ","日","dm","cal","5"
"novembr","十一月","","cal","1"
"decembr","十二月","","cal","2"
"lign","木","","basic","51"
"ksil","木","k","pejvo","6"
"ĵaŭd","木","ĵ","cal","3"
"sorp","木","s","pejvo","2"
"tili","木","t","pejvo","2"
"muskat","木","m","pejvo","6"
"kola","木","kl","pejvo","1"
"gnet","木","g","pejvo","1"
"kornus","木","kr","pejvo","2"
"viburn","木","v","pejvo","1"
"evonim","木","e","pejvo","1"
"magnoli","木","mg","pejvo","1"
"terebint","木","tr","pejvo","1"
"berberis","木","b","pejvo","1"
"ro","木","r","piv","2"
"c^at","木","ĉ","piv","1"
"der","木","d","piv","1"
"ele","木","el","piv","1"
"anon","木","a","piv","1"
"biks","木","bk","piv","1"
"bold","木","bl","piv","1"
"ceib","木","c","piv","1"
"duri","木","du","piv","1"
"flog","木","f","piv","1"
"gari","木","gr","piv","1"
"guta","木","gt","piv","1"
"heve","木","h","piv","1"
"koril","木","ki","piv","2"
"fenik","木","fn","piv","1"
"kluzi","木","kz","piv","1"
"akebi","木","ak","piv","1"
"arali","木","ar","piv","1"
"au^kub","木","aŭ","piv","1"
"avero","木","av","piv","1"
"balat","木","bt","piv","1"
"budle","木","bd","piv","1"
"cestr","木","cs","piv","1"
"cikas","木","ck","piv","1"
"damar","木","dm","piv","1"
"efedr","木","ef","piv","1"
"ereti","木","er","piv","1"
"eskul","木","es","piv","1"
"kopaiv","木","kp","piv","1"
"kupres","木","ks","piv","1"
"burser","木","bu","piv","1"
"agatid","木","ag","piv","1"
"albizi","木","al","piv","1"
"amirid","木","am","piv","1"
"anagir","木","an","piv","1"
"antiar","木","at","piv","1"
"argani","木","aa","piv","1"
"au^kume","木","au","piv","1"
"azarol","木","az","piv","1"
"azimen","木","ai","piv","1"
"banjan","木","bn","piv","1"
"cedrel","木","cd","piv","1"
"celtid","木","cl","piv","1"
"cercid","木","cr","piv","1"
"deodar","木","dd","piv","1"
"dileni","木","dl","piv","1"
"drimis","木","dr","piv","1"
"empetr","木","em","piv","1"
"eu^geni","木","eŭ","piv","1"
"gvaran","木","gv","piv","1"
"hikori","木","hk","piv","1"
"himene","木","hm","piv","1"
"hipofe","木","hp","piv","1"
"simarub","木","sm","piv","1"
"alatern","木","ae","piv","1"
"aleu^rit","木","ale","piv","1"
"amelanc^","木","aĉ","piv","1"
"anamirt","木","ana","piv","1"
"aviceni","木","ac","piv","1"
"bau^hini","木","bŭ","piv","1"
"bignoni","木","bg","piv","1"
"bosveli","木","bs","piv","1"
"celastr","木","ct","piv","1"
"cinamom","木","cn","piv","1"
"delonik","木","dk","piv","1"
"epakrid","木","ep","piv","1"
"eritren","木","en","piv","1"
"garcini","木","gc","piv","1"
"gledic^i","木","gl","piv","1"
"hipoman","木","hn","piv","1"
"grumis^am","木","gm","piv","3"
"hur","木","hr","piv","1"
"kad","木","kd","piv","1"
"kus","木","ku","piv","1"
"mug","木","mu","piv","1"
"orn","木","o","piv","1"
"as^ok","木","aŝ","piv","2"
"kobe","木","kb","piv","2"
"kava","木","kv","piv","1"
"kofe","木","kf","piv","1"
"kokl","木","kk","piv","1"
"moli","木","ml","piv","1"
"nau^l","木","n","piv","1"
"opul","木","op","piv","1"
"rafi","木","rf","piv","1"
"ramn","木","rm","piv","1"
"rusk","木","rs","piv","1"
"skin","木","sk","piv","1"
"tonk","木","tn","piv","1"
"perse","木","p","piv","2"
"iksor","木","i","piv","1"
"kacur","木","kc","piv","1"
"kalun","木","kn","piv","1"
"kau^ri","木","kŭ","piv","1"
"kubeb","木","ke","piv","1"
"kumar","木","km","piv","1"
"kvasi","木","ka","piv","1"
"maduk","木","md","piv","1"
"malus","木","ms","piv","1"
"mirik","木","mr","piv","1"
"okrom","木","ok","piv","1"
"pajen","木","pj","piv","1"
"papau^","木","pp","piv","1"
"pirus","木","pi","piv","1"
"psidi","木","ps","piv","1"
"robur","木","rb","piv","1"
"sarak","木","sr","piv","1"
"sofor","木","sf","piv","1"
"spire","木","sp","piv","1"
"strob","木","st","piv","1"
"sumak","木","su","piv","1"
"jambos","木","j","piv","1"
"johimb","木","jh","piv","1"
"kanang","木","kg","piv","1"
"karite","木","kt","piv","1"
"katalp","木","kat","piv","1"
"kebrac^","木","kĉ","piv","1"
"kolute","木","ko","piv","1"
"laburn","木","lb","piv","1"
"larici","木","lr","piv","1"
"longan","木","ln","piv","1"
"lorant","木","lt","piv","1"
"makeri","木","mk","piv","1"
"mezere","木","mz","piv","1"
"musend","木","mn","piv","1"
"negund","木","ng","piv","1"
"pandan","木","pn","piv","1"
"pitang","木","pt","piv","1"
"pumili","木","pm","piv","1"
"ramonc^","木","rĉ","piv","1"
"robini","木","ri","piv","1"
"sapind","木","sd","piv","1"
"sorbus","木","sb","piv","1"
"sparti","木","sa","piv","1"
"strikn","木","sn","piv","1"
"telope","木","tp","piv","1"
"tipuan","木","ti","piv","1"
"tujops","木","tj","piv","1"
"zelkov","木","z","piv","1"
"kajeput","木","kj","piv","1"
"karagan","木","kar","piv","1"
"kastane","木","kas","piv","1"
"kenomel","木","ken","piv","1"
"kokolob","木","kok","piv","1"
"kombret","木","kom","piv","1"
"komifor","木","komi","piv","1"
"lavsoni","木","lv","piv","1"
"lecitid","木","lc","piv","1"
"lentisk","木","ls","piv","1"
"mangrov","木","mv","piv","1"
"monodor","木","mo","piv","1"
"palakvi","木","pl","piv","1"
"pau^lini","木","pŭ","piv","1"
"pinastr","木","pr","piv","1"
"pistaci","木","pc","piv","1"
"ravenal","木","rv","piv","1"
"sviteni","木","sv","piv","1"
"taksodi","木","tk","piv","1"
"teobrom","木","tb","piv","1"
"tibus^en","木","tŝ","piv","1"
"andromed","木","ad","piv","3"
"angostur","木","as","piv","2"
"akvifoli","木","af","piv","1"
"anakardi","木","anak","piv","1"
"artokarp","木","ap","piv","1"
"bugenvil","木","bv","piv","1"
"ceratoni","木","ce","piv","1"
"dalbergi","木","db","piv","1"
"dipterik","木","dp","piv","1"
"fortunel","木","fr","piv","1"
"gau^lteri","木","gŭ","piv","1"
"jaborand","木","jb","piv","1"
"jakarand","木","jk","piv","1"
"kalitris","木","kal","piv","1"
"kamerops","木","kam","piv","1"
"kaskaril","木","kask","piv","1"
"kazuaren","木","kaz","piv","1"
"kopaifer","木","kop","piv","1"
"ksiloste","木","ksi","piv","1"
"mangifer","木","mf","piv","1"
"manilkar","木","ma","piv","1"
"melaleu^k","木","mŭ","piv","1"
"miristik","木","mi","piv","1"
"miroksil","木","mir","piv","1"
"pau^lovni","木","pv","piv","1"
"pilokarp","木","pk","piv","1"
"pirakant","木","pa","piv","1"
"podokarp","木","pd","piv","1"
"rambutan","木","rt","piv","1"
"sasafras","木","ss","piv","1"
"semekarp","木","se","piv","1"
"sterkuli","木","sl","piv","1"
"strofant","木","so","piv","1"
"klementin","木","kle","piv","4"
"kalam","木","kala","piv","1"
"grosulari","木","gs","piv","1"
"astrakant","木","ast","piv","1"
"bertoleti","木","br","piv","1"
"brunfelsi","木","bf","piv","1"
"brusoneti","木","bo","piv","1"
"cezalpini","木","cz","piv","1"
"foradendr","木","fd","piv","1"
"hamamelid","木","hl","piv","1"
"krescenti","木","kre","piv","1"
"mangostan","木","mt","piv","1"
"metroksil","木","me","piv","1"
"pterokarp","木","pe","piv","1"
"terminali","木","tm","piv","1"
"tetraklin","木","tt","piv","1"
"vikstremi","木","vk","piv","1"
"hipokastan","木","hs","piv","1"
"cercidifil","木","cf","piv","1"
"eritroksil","木","ek","piv","1"
"hematoksil","木","ht","piv","1"
"klerodendr","木","kler","piv","1"
"liriodendr","木","ld","piv","1"
"dipterokarp","木","dt","piv","1"
"arktostafil","木","ao","piv","1"
"kameciparis","木","kame","piv","1"
"likvidambar","木","lk","piv","1"
"sekvojadendr","木","sj","piv","1"
"mart","三月","","cal","3"
"grund","土","","basic","23"
"sabat","土","s","cal","5"
"saturn","土","st","pejvo","3"
"septembr","九月","","cal","2"
"akv","水","","basic","201"
"hidr","水","h","pref","63"
"merkred","水","m","cal","4"
"maj","五月","","cal","8"
"juli","七月","","cal","4"
"februar","二月","","cal","1"
"juni","六月","","cal","3"
"lun","月","","basic","35"
"monat","月","m","basic","26"
"lund","月","ld","cal","3"
"kapric","任","","basic","4"
"ajn","任","a","func","0"
"investitur","任","i","pejvo","2"
"ambaŭ","两","","func","13"
"ankaŭ","也","","func","1"
"plu","还","","func","21"
"ankoraŭ","还","a","func","4"
"geni","才","","basic","4"
"talent","才","t","basic","5"
"apenaŭ","才","a","func","3"
"aŭ","或","","func","4"
"ont","将","","suf","24"
"baldaŭ","将","b","func","4"
"general","将","g","basic","5"
"ĉu","吗","","func","3"
"do","故","","func","2"
"eĉ","连","","func","2"
"kupl","连","k","pejvo","14"
"konekt","连","kn","sci","20"
"koneks","连","ks","pejvo","3"
"for","离","","func","200"
"ĝi","它","","func","4"
"hieraŭ","昨","","func","6"
"hodiaŭ","今","","func","5"
"ili","他们","","func","4"
"cert","确","","basic","18"
"konfirm","确","k","basic","6"
"ja","确","j","func","1"
"konstat","确","ks","basic","3"
"definitiv","确","d","pejvo","8"
"jam","已","","func","5"
"jen","这","","func","4"
"ĵus","刚","","func","2"
"pac","和","","basic","47"
"kaj","和","k","func","41"
"akord","和","a","basic","12"
"pacif","和","pf","pejvo","2"
"ke","事","","func","9"
"afer","事","a","basic","24"
"fakt","事","f","basic","4"
"event","事","e","basic","3"
"kvankam","虽","","func","1"
"kvazaŭ","如","","func","22"
"li","他","","func","7"
"altru","他","a","pejvo","3"
"mem","自","","func","104"
"mi","我","","func","20"
"atm","我","a","piv","2"
"morgaŭ","明","","func","6"
"eksplicit","明","e","pejvo","2"
"ne","不","","func","498"
"nek","也不","","func","1"
"ni","我们","","func","9"
"nun","现","","func","14"
"aper","现","a","basic","19"
"modern","现","m","basic","10"
"aktual","现","ak","basic","10"
"fenomen","现","f","basic","22"
"kontant","现","k","basic","8"
"nur","仅","","func","4"
"ol","比","","func","26"
"proporci","比","p","basic","14"
"hom","人","","basic","90"
"person","人","p","basic","30"
"oni","人","o","func","8"
"antrop","人","a","pejvo","16"
"plej","最","","func","34"
"pli","更","","func","88"
"preskaŭ","几","","func","3"
"se","若","","func","5"
"sed","但","","func","3"
"si","己","","func","95"
"propr","己","p","basic","32"
"egoist","己","e","basic","0"
"propriet","己","pt","pejvo","8"
"ŝi","她","","func","5"
"tamen","却","","func","2"
"tre","很","","func","4"
"tro","太","","func","57"
"tuj","即","","func","15"
"ekstemporal","即","e","pejvo","2"
"vi","你","","func","13"
"adiaŭ","再见","","func","5"
"ho","喂","","pejvo","4"
"he","喂","he","func","2"
"hoj","喂","hj","pejvo","2"
"minus","减","","func","5"
"redukt","减","r","basic","14"
"subtrah","减","s","basic","3"
"diskont","减","d","pejvo","6"
"dekrement","减","dk","pejvo","2"
"plus","加","","func","8"
"adici","加","a","basic","4"
"rest","余","","basic","25"
"ceter","余","c","basic","4"
"sald","余","s","pejvo","5"
"ali","别","","basic","62"
"alt","高","","basic","94"
"hips","高","h","pejvo","3"
"altitud","高","at","pejvo","3"
"am","爱","","basic","81"
"amik","友","","basic","40"
"bel","美","","basic","61"
"bon","良","","basic","152"
"konscienc","良","k","basic","7"
"benign","良","bg","pejvo","2"
"eu^","良","e","piv","5"
"ĉambr","室","","basic","68"
"kamer","室","k","pejvo","12"
"studi","室","s","pejvo","2"
"lokal","室","l","piv","3"
"demand","问","","basic","26"
"salut","问","s","basic","15"
"dev","应","","basic","39"
"dezir","欲","","basic","16"
"apetit","欲","a","basic","11"
"dir","说","","basic","44"
"don","给","","basic","112"
"est","是","","basic","51"
"facil","易","","basic","34"
"far","做","","basic","104"
"feliĉ","幸","","basic","20"
"fin","终","","basic","50"
"final","终","fl","pejvo","5"
"finis^","终","fŝ","piv","2"
"flank","侧","","basic","83"
"foj","次","","basic","39"
"sekundar","次","s","pejvo","2"
"form","形","","basic","222"
"figur","形","fg","basic","28"
"formal","形","fl","basic","12"
"adjektiv","形","a","basic","2"
"morf","形","m","sci","49"
"morfi","形","mi","piv","13"
"fort","强","","basic","121"
"trud","强","t","basic","34"
"emfaz","强","e","basic","3"
"ĝoj","喜","","basic","25"
"ŝat","喜","ŝ","basic","15"
"grand","大","","basic","105"
"majuskl","大","m","basic","6"
"maj^or","大","mĵ","pejvo","8"
"pez","重","","basic","50"
"grav","重","g","basic","19"
"akcent","重","a","basic","8"
"hav","有","","basic","78"
"posed","有","p","basic","15"
"help","助","","basic","53"
"adjunkt","助","a","pejvo","3"
"infan","童","","basic","59"
"fabel","童","f","basic","10"
"pedo","童","p","pejvo","3"
"ir","往","","basic","140"
"jar","年","","basic","117"
"jun","幼","","basic","41"
"neoten","幼","n","piv","2"
"kamp","田","","basic","66"
"hub","田","h","pejvo","2"
"kap","头","","basic","102"
"cefal","头","c","pejvo","16"
"pru","头","p","pejvo","2"
"kelk","些","","basic","22"
"klar","清","","basic","48"
"net","清","n","basic","19"
"likvid","清","l","pejvo","12"
"kompren","解","","basic","35"
"liz","解","l","suf","19"
"solv","解","s","basic","31"
"disoci","解","d","pejvo","5"
"kon","认","","basic","44"
"konfes","认","kf","basic","12"
"agnosk","认","a","pejvo","3"
"kor","心","","basic","62"
"mens","心","m","basic","16"
"psikologi","心","p","basic","0"
"psik","心","ps","sci","37"
"kardi","心","kd","sci","18"
"kred","信","","basic","49"
"fid","信","f","basic","19"
"leter","信","l","basic","45"
"mesaĝ","信","m","basic","7"
"konfid","信","kn","basic","11"
"epistol","信","e","pejvo","2"
"labor","劳","","basic","175"
"land","国","","basic","114"
"ŝtat","国","ŝ","basic","59"
"regn","国","r","basic","22"
"last","末","","basic","25"
"leg","读","","basic","46"
"lern","学","","basic","78"
"logi","学","lg","suf","233"
"nomi","学","n","suf","19"
"student","学","s","basic","15"
"lingvistik","学","ln","basic","8"
"universitat","学","u","basic","9"
"ik","学","i","pejvo","12"
"lev","举","","basic","44"
"kondut","举","k","basic","9"
"liber","自由","","basic","93"
"loĝ","住","","basic","42"
"lok","处","","basic","77"
"dispon","处","d","basic","6"
"dispozici","处","dz","pejvo","3"
"man","手","","basic","82"
"kiral","手","k","piv","2"
"met","置","","basic","75"
"milit","战","","basic","92"
"batal","战","b","basic","45"
"polem","战","p","piv","2"
"lim","界","","basic","68"
"mond","界","m","basic","63"
"horizont","界","h","basic","4"
"montr","示","","basic","36"
"sugest","示","s","basic","3"
"manifestaci","示","mf","basic","3"
"mort","死","","basic","100"
"nekr","死","n","pejvo","5"
"mov","动","","basic","100"
"motor","动","mt","basic","35"
"verb","动","v","basic","11"
"aŭtomat","动","a","basic","18"
"kinet","动","k","pejvo","4"
"kinez","动","kz","piv","7"
"mult","多","","basic","92"
"poli","多","p","pref","43"
"plur","多","pr","pejvo","57"
"naci","族","","basic","94"
"etn","族","e","basic","15"
"gent","族","g","basic","15"
"trib","族","t","pejvo","6"
"nom","名","","basic","80"
"fam","名","f","basic","21"
"substantiv","名","s","basic","5"
"onim","名","o","pejvo","12"
"nominal","名","nn","pejvo","5"
"nov","新","","basic","104"
"neologism","新","nl","basic","0"
"neo","新","ne","pejvo","7"
"nask","生","","basic","68"
"okaz","生","o","basic","28"
"biologi","生","b","basic","0"
"gen","生","g","sci","65"
"bi","生","bi","pejvo","20"
"bio","生","bo","sci","44"
"gener","生","gr","pejvo","18"
"poez","生","p","piv","6"
"plazi","生","pl","piv","5"
"parol","话","","basic","73"
"dialog","话","d","basic","0"
"patr","父","","basic","61"
"pet","求","","basic","39"
"postul","求","ps","basic","16"
"petici","求","pc","pejvo","2"
"plen","满","","basic","151"
"kontent","满","k","basic","18"
"port","运","","basic","70"
"fortun","运","f","basic","4"
"pov","能","","basic","58"
"iv","能","i","suf","126"
"energi","能","e","basic","55"
"kapabl","能","k","basic","29"
"kompetent","能","km","basic","8"
"pren","拿","","basic","57"
"proksim","近","","basic","28"
"miop","近","m","basic","4"
"rapid","速","","basic","75"
"ekspres","速","e","basic","11"
"taki","速","t","piv","3"
"respond","答","","basic","28"
"riĉ","富","","basic","69"
"oz","富","o","suf","138"
"ricev","收","","basic","23"
"adopt","收","a","basic","16"
"ferl","收","f","pejvo","4"
"rid","笑","","basic","31"
"komik","笑","k","basic","7"
"ruĝ","红","","basic","68"
"skarlat","红","s","pejvo","2"
"ŝajn","像","","basic","34"
"statu","像","s","basic","5"
"sam","同","","basic","86"
"homo","同","h","pref","25"
"ident","同","i","basic","10"
"asimil","同","a","basic","6"
"unison","同","u","pejvo","2"
"sci","知","","basic","46"
"gnostik","知","g","piv","4"
"sekv","随","","basic","34"
"send","送","","basic","41"
"eksped","送","e","basic","6"
"sid","坐","","basic","52"
"sinjor","君","","basic","16"
"libr","书","","basic","93"
"skrib","书","s","basic","104"
"star","立","","basic","52"
"temp","时","","basic","113"
"ten","持","","basic","92"
"ter","地","","basic","142"
"geo","地","g","pref","49"
"teren","地","tn","basic","14"
"geografi","地","gg","basic","0"
"topo","地","tp","pejvo","8"
"tut","整","","basic","37"
"aranĝ","整","a","basic","30"
"apret","整","ap","pejvo","4"
"entjer","整","e","pejvo","3"
"rektif","整","r","pejvo","3"
"apretur","整","ar","pejvo","2"
"rektifik","整","rk","pejvo","3"
"ven","来","","basic","79"
"vetur","乘","","basic","72"
