type	root	kanji	band	F
pref	ge	双	pref	52
pref	eks	旧	pref	44
cal	april	四月	cal	3
cal	aŭgust	八月	cal	2
cal	oktobr	十月	cal	1
cal	vendred	金	cal	4
cal	januar	一月	cal	1
cal	mard	火	cal	4
cal	dimanĉ	日	cal	5
cal	novembr	十一月	cal	1
cal	decembr	十二月	cal	2
cal	ĵaŭd	木	cal	3
cal	mart	三月	cal	3
cal	sabat	土	cal	5
cal	septembr	九月	cal	2
cal	merkred	水	cal	4
cal	maj	五月	cal	8
cal	juli	七月	cal	4
cal	februar	二月	cal	1
cal	juni	六月	cal	3
cal	lund	月	cal	3
func	la	该	func	38
func	ajn	任	func	0
func	almenaŭ	至	func	1
func	ambaŭ	两	func	13
func	ankaŭ	也	func	1
func	ankoraŭ	还	func	4
func	apenaŭ	才	func	3
func	aŭ	或	func	4
func	baldaŭ	将	func	4
func	ĉar	因	func	35
func	ĉu	吗	func	3
func	do	故	func	2
func	eĉ	连	func	2
func	for	离	func	200
func	ĝi	它	func	4
func	hieraŭ	昨	func	6
func	hodiaŭ	今	func	5
func	ili	他们	func	4
func	ja	确	func	1
func	jam	已	func	5
func	jen	这	func	4
func	jes	对	func	7
func	ĵus	刚	func	2
func	kaj	和	func	41
func	ke	事	func	9
func	kvankam	虽	func	1
func	kvazaŭ	如	func	22
func	li	他	func	7
func	mem	自	func	104
func	mi	我	func	20
func	morgaŭ	明	func	6
func	ne	不	func	498
func	nek	也不	func	1
func	ni	我们	func	9
func	nun	现	func	14
func	nur	仅	func	4
func	ol	比	func	26
func	oni	人	func	8
func	plej	最	func	34
func	pli	更	func	88
func	plu	还	func	21
func	preskaŭ	几	func	3
func	se	若	func	5
func	sed	但	func	3
func	si	己	func	95
func	ŝi	她	func	5
func	tamen	却	func	2
func	tre	很	func	4
func	tro	太	func	57
func	tuj	即	func	15
func	vi	你	func	13
func	adiaŭ	再见	func	5
func	he	喂	func	2
func	minus	减	func	5
func	plus	加	func	8
func	bis	再	func	4
content	rest	余	basic	25
content	afer	事	basic	24
content	ali	别	basic	62
content	alt	高	basic	94
content	am	爱	basic	81
content	amik	友	basic	40
content	bel	美	basic	61
content	bon	良	basic	152
content	ĉambr	室	basic	68
content	demand	问	basic	26
content	dev	应	basic	39
content	dezir	欲	basic	16
content	dir	说	basic	44
content	don	给	basic	112
content	est	是	basic	51
content	facil	易	basic	34
content	far	做	basic	104
content	feliĉ	幸	basic	20
content	fin	终	basic	50
content	flank	侧	basic	83
content	foj	次	basic	39
content	form	形	basic	222
content	fort	强	basic	121
content	ĝoj	喜	basic	25
content	grand	大	basic	105
content	grav	重	basic	19
content	hav	有	basic	78
content	help	助	basic	53
content	hom	人	basic	90
content	infan	童	basic	59
content	ir	往	basic	140
content	jar	年	basic	117
content	jun	幼	basic	41
content	kamp	田	basic	66
content	kap	头	basic	102
content	kelk	些	basic	22
content	klar	清	basic	48
content	komenc	始	basic	24
content	kompren	解	basic	35
content	kon	认	basic	44
content	kor	心	basic	62
content	kred	信	basic	49
content	labor	劳	basic	175
content	land	国	basic	114
content	last	末	basic	25
content	leg	读	basic	46
content	lern	学	basic	78
content	lev	举	basic	44
content	liber	自由	basic	93
content	loĝ	住	basic	42
content	lok	处	basic	77
content	long	长	basic	82
content	man	手	basic	82
content	met	置	basic	75
content	milit	战	basic	92
content	mond	界	basic	63
content	montr	示	basic	36
content	mort	死	basic	100
content	mov	动	basic	100
content	mult	多	basic	92
content	naci	族	basic	94
content	nom	名	basic	80
content	nov	新	basic	104
content	okaz	生	basic	28
content	parol	话	basic	73
content	patr	父	basic	61
content	pet	求	basic	39
content	plen	满	basic	151
content	port	运	basic	70
content	pov	能	basic	58
content	pren	拿	basic	57
content	proksim	近	basic	28
content	rapid	速	basic	75
content	respond	答	basic	28
content	riĉ	富	basic	69
content	ricev	收	basic	23
content	rid	笑	basic	31
content	ruĝ	红	basic	68
content	ŝajn	像	basic	34
content	sam	同	basic	86
content	sci	知	basic	46
content	sekv	随	basic	34
content	send	送	basic	41
content	sid	坐	basic	52
content	sinjor	君	basic	16
content	skrib	书	basic	104
content	star	立	basic	52
content	tag	日	basic	80
content	temp	时	basic	113
content	ten	持	basic	92
content	ter	地	basic	142
content	tut	整	basic	37
content	ven	来	basic	79
content	vetur	乘	basic	72
content	vid	见	basic	85
content	vir	男	basic	63
content	viv	活	basic	147
content	voj	路	basic	132
content	vol	愿	basic	48
content	vort	词	basic	87
content	daŭr	续	basic	40
content	kolekt	集	basic	40
content	nul	零	basic	19
content	aĉet	买	basic	26
content	akv	水	basic	201
content	arb	树	basic	150
content	art	艺	basic	81
content	atend	待	basic	15
content	aŭd	听	basic	29
content	bat	打	basic	67
content	bezon	需	basic	12
content	bild	画	basic	46
content	bird	鸟	basic	63
content	blank	白	basic	68
content	brul	燃	basic	73
content	buŝ	口	basic	33
content	cert	确	basic	18
content	dank	谢	basic	25
content	dekstr	右	basic	43
content	dolĉ	甘	basic	32
content	dom	屋	basic	80
content	dorm	睡	basic	46
content	edz	夫	basic	74
content	fal	落	basic	67
content	famili	家	basic	24
content	fenestr	窗	basic	35
content	ferm	闭	basic	56
content	fil	儿	basic	44
content	fingr	指	basic	35
content	flug	飞	basic	71
content	frat	兄	basic	30
content	fraŭl	单	basic	8
content	frukt	果	basic	65
content	har	毛	basic	82
content	hejm	家	basic	42
content	hor	钟	basic	41
content	interes	趣	basic	22
content	ĵet	投	basic	67
content	kant	唱	basic	49
content	knab	郎	basic	16
content	kolor	色	basic	106
content	konsil	议	basic	27
content	konstru	建	basic	51
content	kost	费	basic	21
content	kresk	育	basic	43
content	kri	叫	basic	32
content	kuraĝ	勇	basic	19
content	kur	跑	basic	63
content	las	留	basic	56
content	leter	信	basic	45
content	libr	书	basic	93
content	lingv	语	basic	188
content	lit	床	basic	68
content	lum	光	basic	135
content	manĝ	食	basic	86
content	mank	缺	basic	29
content	mar	海	basic	167
content	maten	晨	basic	23
content	memor	记	basic	51
content	mir	惊	basic	18
content	mon	钱	basic	78
content	mont	山	basic	67
content	mur	壁	basic	39
content	nask	生	basic	68
content	neces	必	basic	18
content	nigr	黑	basic	60
content	okul	目	basic	67
content	okup	占	basic	17
content	pac	和	basic	47
content	pag	付	basic	69
content	part	部	basic	49
content	pas	过	basic	54
content	pec	片	basic	35
content	pens	思	basic	49
content	perd	失	basic	21
content	permes	许	basic	21
content	person	人	basic	30
content	pied	足	basic	81
content	popol	民	basic	38
content	pord	门	basic	37
content	prem	压	basic	102
content	prezent	呈	basic	27
content	propr	己	basic	32
content	prov	试	basic	42
content	punkt	点	basic	69
content	pur	纯	basic	48
content	rajt	权	basic	62
content	rakont	述	basic	15
content	reg	治	basic	55
content	renkont	遇	basic	10
content	rigard	看	basic	44
content	rimark	觉	basic	11
content	ŝanĝ	变	basic	62
content	semajn	周	basic	25
content	sent	感	basic	52
content	serĉ	寻	basic	22
content	simpl	简	basic	21
content	sol	唯	basic	29
content	son	声	basic	95
content	sun	阳	basic	63
content	tabl	桌	basic	45
content	tim	怕	basic	44
content	tir	拉	basic	75
content	trankvil	静	basic	18
content	trink	饮	basic	26
content	turn	转	basic	62
content	urb	市	basic	72
content	uz	用	basic	54
content	valor	值	basic	58
content	varm	暖	basic	136
content	vent	风	basic	81
content	ver	真	basic	34
content	vesper	晚	basic	28
content	vest	衣	basic	70
content	vizaĝ	颜	basic	16
content	vojaĝ	旅	basic	42
content	fru	早	basic	48
content	aer	气	basic	95
content	aĝ	岁	basic	41
content	agrabl	快	basic	10
content	akcept	受	basic	14
content	amas	堆	basic	44
content	aper	现	basic	19
content	atent	注	basic	16
content	aŭskult	听	basic	12
content	aŭtun	秋	basic	12
content	best	兽	basic	49
content	blu	蓝	basic	41
content	bril	亮	basic	30
content	cel	标	basic	45
content	dent	齿	basic	95
content	dik	厚	basic	39
content	direkt	方	basic	34
content	divers	杂	basic	24
content	dolor	痛	basic	42
content	dub	疑	basic	23
content	elekt	选	basic	39
content	erar	错	basic	32
content	esper	望	basic	28
content	fiŝ	鱼	basic	83
content	flor	花	basic	87
content	forges	忘	basic	13
content	fremd	异	basic	19
content	gaj	欢	basic	27
content	ĝarden	园	basic	39
content	gazet	报	basic	30
content	glas	杯	basic	15
content	ĝust	正	basic	21
content	histori	史	basic	32
content	hund	犬	basic	60
content	ide	意	basic	31
content	kalkul	算	basic	48
content	kapt	捕	basic	42
content	kar	亲	basic	16
content	kaŝ	藏	basic	50
content	kat	猫	basic	27
content	kaŭz	因	basic	18
content	koler	怒	basic	18
content	komerc	商	basic	48
content	komun	共	basic	53
content	konduk	导	basic	35
content	konsent	赞	basic	24
content	kontent	满	basic	18
content	korp	体	basic	44
content	kovr	盖	basic	51
content	kuir	烹	basic	41
content	kuŝ	躺	basic	24
content	lac	疲	basic	16
content	lakt	乳	basic	48
content	larĝ	宽	basic	29
content	lav	洗	basic	39
content	lig	结	basic	49
content	lud	玩	basic	87
content	mark	标	basic	37
content	mez	中	basic	91
content	minut	分	basic	7
content	monat	月	basic	26
content	natur	然	basic	66
content	naz	鼻	basic	37
content	neĝ	雪	basic	51
content	nokt	夜	basic	61
content	nub	云	basic	24
content	onkl	叔	basic	6
content	opini	想	basic	23
content	orel	耳	basic	33
content	pan	面包	basic	54
content	paper	纸	basic	89
content	pardon	恕	basic	11
content	plor	哭	basic	18
content	pluv	雨	basic	52
content	pret	备	basic	28
content	printemp	春	basic	11
content	ripoz	休	basic	12
content	river	河	basic	25
content	romp	破	basic	69
content	salut	问	basic	15
content	san	健	basic	91
content	sat	饱	basic	27
content	seĝ	椅	basic	34
content	serv	务	basic	81
content	silent	默	basic	25
content	ŝip	船	basic	118
content	somer	夏	basic	30
content	ŝton	石	basic	95
content	strat	街	basic	29
content	sufiĉ	够	basic	13
content	tranĉ	切	basic	52
content	tuŝ	触	basic	40
content	util	益	basic	28
content	vend	卖	basic	59
content	verd	绿	basic	49
content	vintr	冬	basic	25
content	vok	呼	basic	29
content	zorg	护	basic	28
content	ag	办	basic	55
content	ating	到	basic	11
content	ban	浴	basic	42
content	decid	决	basic	37
content	ekzist	存	basic	14
content	fiks	定	basic	38
content	flu	流	basic	85
content	grup	团	basic	26
content	instru	教	basic	40
content	invit	邀	basic	14
content	klas	级	basic	30
content	mol	软	basic	40
content	paĝ	页	basic	15
content	pend	挂	basic	43
content	pez	重	basic	50
content	plaĉ	悦	basic	13
content	poŝt	邮	basic	56
content	puŝ	推	basic	48
content	saĝ	智	basic	22
content	ŝat	喜	basic	15
content	simil	似	basic	16
content	stud	研	basic	19
content	sukces	成	basic	19
content	verk	作	basic	37
content	vizit	访	basic	19
content	dio,Di	神	pejvo	0
content	precip	主	basic	3
content	supr	顶	basic	58
content	bedaŭr	憾	basic	9
content	gvid	导	basic	29
content	miks	混	basic	43
content	par	偶	basic	32
content	publik	公	basic	46
content	spert	验	basic	21
content	te	茶	basic	41
content	trov	找	basic	22
content	venk	胜	basic	32
content	volv	卷	basic	42
content	afabl	善	basic	14
content	ĉeval	马	basic	51
content	halt	停	basic	31
content	kort	院	basic	19
content	postul	求	basic	16
content	rimed	法	basic	14
content	dat	期	basic	49
content	angul	角	basic	85
content	apart	独	basic	13
content	av	爷	basic	10
content	batal	战	basic	45
content	bord	岸	basic	18
content	brak	臂	basic	29
content	bru	噪	basic	27
content	ĉapel	帽	basic	22
content	ekzempl	例	basic	9
content	fajr	火	basic	61
content	fer	铁	basic	66
content	fest	庆	basic	31
content	frap	敲	basic	45
content	gajn	赢	basic	11
content	hel	亮	basic	27
content	intern	内	basic	32
content	just	公	basic	18
content	kol	颈	basic	36
content	kutim	习	basic	25
content	lign	木	basic	51
content	lini	线	basic	85
content	mezur	测	basic	57
content	moment	刻	basic	13
content	nombr	数	basic	78
content	ord	序	basic	47
content	ordon	令	basic	14
content	paŝ	步	basic	48
content	pen	努	basic	15
content	plank	板	basic	8
content	plend	诉	basic	9
content	plezur	乐	basic	13
content	plum	羽	basic	34
content	prav	理	basic	12
content	profund	深	basic	25
content	rond	圆	basic	36
content	roz	玫	basic	35
content	salt	跳	basic	47
content	sang	血	basic	86
content	spec	种	basic	24
content	staci	站	basic	29
content	stat	态	basic	41
content	sufer	苦	basic	16
content	suker	糖	basic	39
content	vagon	厢	basic	28
content	vek	醒	basic	13
content	veter	气	basic	20
content	vilaĝ	村	basic	6
content	vitr	玻	basic	53
content	produkt	产	basic	50
content	prunt	借	basic	20
content	rul	卷	basic	75
content	aŭt	车	basic	61
content	adres	址	basic	16
content	amuz	娱	basic	11
content	anim	魂	basic	33
content	aranĝ	整	basic	30
content	arĝent	银	basic	10
content	benk	凳	basic	10
content	bov	牛	basic	37
content	brun	褐	basic	28
content	brust	胸	basic	30
content	buter	黄油	basic	29
content	ĉes	止	basic	10
content	ceter	余	basic	4
content	danĝer	危	basic	13
content	donac	礼	basic	13
content	dors	背	basic	33
content	efektiv	实	basic	0
content	efik	效	basic	34
content	egal	等	basic	47
content	estim	尊	basic	9
content	flav	黄	basic	31
content	foli	叶	basic	98
content	font	泉	basic	39
content	freŝ	鲜	basic	16
content	fund	底	basic	23
content	gard	守	basic	49
content	genu	膝	basic	18
content	glaci	冰	basic	42
content	griz	灰	basic	21
content	herb	草	basic	67
content	horloĝ	钟	basic	32
content	ink	墨	basic	16
content	insekt	虫	basic	19
content	intenc	意	basic	12
content	juĝ	判	basic	40
content	kapabl	能	basic	29
content	klin	斜	basic	38
content	kok	鸡	basic	28
content	kompat	怜	basic	14
content	konserv	存	basic	19
content	kovert	封	basic	2
content	krajon	笔	basic	15
content	kre	创	basic	22
content	kruc	十字	basic	59
content	krur	腿	basic	18
content	kuk	糕	basic	31
content	kuler	勺	basic	9
content	kulp	罪	basic	22
content	kurac	医	basic	40
content	kuz	堂	basic	4
content	lag	湖	basic	29
content	lang	舌	basic	24
content	leĝ	律	basic	39
content	lert	巧	basic	19
content	lim	界	basic	68
content	lun	月	basic	35
content	manier	式	basic	27
content	marŝ	步	basic	11
content	mastr	主	basic	37
content	mok	嘲	basic	18
content	muzik	乐	basic	48
content	numer	号	basic	21
content	objekt	物	basic	30
content	ofic	职	basic	38
content	ombr	影	basic	22
content	ordinar	普	basic	19
content	ov	卵	basic	41
content	pak	包	basic	32
content	plafon	顶	basic	4
content	pork	猪	basic	18
content	poŝ	袋	basic	24
content	prefer	宁	basic	10
content	prepar	备	basic	14
content	promen	步	basic	10
content	promes	诺	basic	18
content	radi	射	basic	120
content	region	区	basic	20
content	reĝ	王	basic	39
content	rekt	直	basic	38
content	religi	宗	basic	27
content	ripet	复	basic	13
content	ŝaf	羊	basic	27
content	sak	袋	basic	46
content	sek	干	basic	55
content	senc	意	basic	36
content	serioz	严	basic	10
content	ŝlos	锁	basic	26
content	spir	息	basic	39
content	spirit	灵	basic	23
content	ŝtat	国	basic	59
content	ŝtel	偷	basic	33
content	stel	星	basic	46
content	ŝtup	阶	basic	20
content	sum	总	basic	19
content	teler	盘	basic	15
content	terur	恐	basic	8
content	tond	剪	basic	20
content	traf	击	basic	23
content	tru	穴	basic	48
content	vapor	汽	basic	42
content	vast	广	basic	31
content	vin	酒	basic	68
content	voĉ	声	basic	55
content	di	神	basic	63
content	fend	裂	basic	36
content	fot	拍	basic	87
content	inkluziv	含	basic	7
content	koleg	伴	basic	7
content	komput	算	basic	37
content	kontakt	接	basic	23
content	kotiz	纳	basic	12
content	Krist	未対応	basic	23
content	novel	篇	basic	3
content	registr	录	basic	33
content	rezerv	储	basic	29
content	sonor	响	basic	23
content	strek	划	basic	38
content	taŭg	适	basic	14
content	akir	获	basic	21
content	akompan	陪	basic	9
content	akr	锐	basic	26
content	anonc	宣	basic	15
content	aparten	属	basic	6
content	apog	支	basic	23
content	aprob	肯	basic	9
content	arm	武	basic	39
content	atak	攻	basic	23
content	avert	警	basic	5
content	bar	障	basic	32
content	baston	棒	basic	32
content	blov	吹	basic	31
content	bol	沸	basic	22
content	botel	瓶	basic	32
content	branĉ	枝	basic	24
content	buton	扣	basic	20
content	ĉapitr	章	basic	1
content	ĉas	猎	basic	44
content	ĉemiz	衫	basic	14
content	cifer	数	basic	25
content	danc	舞	basic	31
content	defend	防	basic	24
content	delikat	细	basic	27
content	dens	密	basic	43
content	desegn	绘	basic	26
content	diferenc	异	basic	18
content	doktor	博	basic	11
content	eben	平	basic	28
content	eduk	育	basic	35
content	esting	灭	basic	14
content	evit	避	basic	14
content	faden	丝	basic	39
content	fak	专	basic	31
content	fakt	事	basic	4
content	fals	伪	basic	22
content	fam	名	basic	21
content	fidel	忠	basic	13
content	fier	骄	basic	15
content	firm	坚	basic	15
content	flag	旗	basic	19
content	fork	叉	basic	18
content	fum	烟	basic	49
content	gas	气	basic	84
content	gast	客	basic	24
content	ĝeneral	总	basic	20
content	ĝen	扰	basic	23
content	ĝentil	礼	basic	12
content	gras	脂	basic	36
content	gut	滴	basic	30
content	haŭt	皮	basic	37
content	hejt	热	basic	23
content	honest	诚	basic	18
content	honor	誉	basic	35
content	hont	耻	basic	17
content	imag	想	basic	15
content	imit	仿	basic	16
content	industri	业	basic	37
content	inform	告	basic	33
content	insul	岛	basic	55
content	jak	服	basic	8
content	kajer	册	basic	9
content	kest	箱	basic	42
content	kis	吻	basic	11
content	komfort	舒	basic	12
content	kompar	较	basic	14
content	kondiĉ	件	basic	23
content	kondut	举	basic	9
content	konsci	觉	basic	27
content	konsist	成	basic	7
content	konstant	恒	basic	24
content	konven	适	basic	11
content	korespond	通	basic	10
content	kultur	耕	basic	46
content	kviet	静	basic	20
content	lamp	灯	basic	34
content	lecion	课	basic	4
content	legom	菜	basic	15
content	lip	唇	basic	22
content	liter	字	basic	33
content	maŝin	机	basic	88
content	matur	熟	basic	19
content	mebl	具	basic	16
content	mend	订	basic	21
content	mensog	谎	basic	9
content	merit	值	basic	15
content	metal	金	basic	33
content	mien	容	basic	16
num	milion	百万	num	7
content	minac	胁	basic	5
content	naĝ	游	basic	47
content	najbar	邻	basic	9
content	nep	孙	basic	4
content	nev	侄	basic	6
content	oft	常	basic	12
content	nepr	必	basic	5
content	volont	愿	basic	10
content	nord	北	basic	29
content	not	记	basic	26
content	obe	服	basic	11
content	okcident	西	basic	23
content	ole	油	basic	73
content	ond	波	basic	95
content	or	金	basic	61
content	organiz	组	basic	0
content	orient	东	basic	43
content	ost	骨	basic	52
content	pacienc	忍	basic	10
content	paf	射	basic	46
content	pantalon	裤	basic	12
content	parenc	亲	basic	10
content	past	糊	basic	19
content	pel	驱	basic	30
content	pentr	描	basic	23
content	pik	刺	basic	44
content	pilk	球	basic	20
content	pint	尖	basic	44
content	plant	植	basic	75
content	plur	多	pejvo	57
content	polic	警	basic	20
content	pom	苹	basic	33
content	pont	桥	basic	33
content	posed	有	basic	15
content	praktik	践	basic	17
content	preciz	准	basic	16
content	preĝ	祈	basic	18
content	premi	奖	basic	11
content	pres	印	basic	44
content	prez	价	basic	43
content	progres	进	basic	18
content	pun	罚	basic	28
content	rad	轮	basic	60
content	regul	规	basic	53
content	rekomend	荐	basic	9
content	respekt	敬	basic	15
content	ret	网	basic	64
content	rezult	果	basic	14
content	rifuz	拒	basic	6
content	rikolt	获	basic	12
content	rilat	关	basic	22
content	ripar	修	basic	9
content	riproĉ	责	basic	10
content	sal	盐	basic	40
content	ŝanc	机	basic	8
content	sankt	圣	basic	44
content	sap	皂	basic	22
content	sav	救	basic	37
content	scienc	科	basic	56
content	sekret	秘	basic	20
content	sem	种	basic	33
content	seri	列	basic	15
content	sezon	季	basic	23
content	sign	符	basic	83
content	ŝir	裂	basic	24
content	skatol	盒	basic	16
content	soif	渴	basic	9
content	soldat	兵	basic	24
content	special	特	basic	11
content	spez	兑	basic	28
content	ŝrank	柜	basic	20
content	strang	奇	basic	8
content	streĉ	紧	basic	36
content	ŝtrump	袜	basic	17
content	ŝu	鞋	basic	44
content	subit	突	basic	5
content	sud	南	basic	28
content	sup	汤	basic	16
content	tabul	板	basic	49
content	tas	杯	basic	7
content	tegment	顶	basic	19
content	tol	布	basic	22
content	trem	颤	basic	24
content	tromp	骗	basic	21
content	tuk	巾	basic	30
content	val	谷	basic	13
content	vang	颊	basic	20
content	viand	肉	basic	21
content	vic	列	basic	57
content	vigl	活	basic	18
content	viŝ	拭	basic	16
content	vund	伤	basic	43
content	fos	掘	basic	27
content	polur	磨	basic	13
content	ŝarĝ	载	basic	36
content	akcident	祸	basic	10
content	aparat	器	basic	28
content	arme	军	basic	18
content	artikol	文	basic	7
content	aspekt	显	basic	10
content	babil	聊	basic	15
content	bank	银	basic	34
content	bier	酒	basic	20
content	bilet	票	basic	23
content	blind	盲	basic	18
content	ĉap	帽	basic	16
content	ĉarm	魅	basic	10
content	centr	央	basic	61
content	des	愈	basic	4
content	detru	毁	basic	13
content	difekt	损	basic	21
content	difin	定	basic	15
content	diligent	勤	basic	10
content	diskut	论	basic	18
content	divid	分	basic	28
content	ekskurs	游	basic	7
content	ekzamen	检	basic	31
content	ekzerc	练	basic	11
content	elektr	电	basic	161
content	embaras	窘	basic	11
content	energi	能	basic	55
content	epok	纪	basic	18
content	esplor	探	basic	30
content	esprim	表	basic	28
content	etaĝ	层	basic	16
content	etend	伸	basic	14
content	etern	永	basic	12
content	evident	显	basic	8
content	evolu	展	basic	17
content	fald	折	basic	36
content	fand	熔	basic	35
content	fart	体	basic	7
content	favor	利	basic	28
content	feri	假	basic	7
content	fianĉ	婚	basic	16
content	fid	信	basic	19
content	figur	形	basic	28
content	film	影	basic	44
content	flam	焰	basic	27
content	fortik	坚	basic	17
content	fulm	闪	basic	27
content	glat	滑	basic	14
content	grad	度	basic	30
content	ĝu	享	basic	13
content	gust	味	basic	39
content	haven	港	basic	14
content	hezit	犹	basic	7
content	hotel	馆	basic	7
content	humil	谦	basic	13
content	humor	情	basic	18
content	jup	裙	basic	7
content	kamarad	伴	basic	8
content	karakter	格	basic	30
content	kav	洞	basic	35
content	kler	文	basic	11
content	komunik	传	basic	41
content	koncern	涉	basic	8
content	kongres	会	basic	22
content	konsider	虑	basic	13
content	konsol	慰	basic	8
content	konstat	确	basic	3
content	krud	粗	basic	22
content	kudr	缝	basic	27
content	kurs	课	basic	26
content	kvalit	质	basic	13
content	kvant	量	basic	20
content	lan	毛	basic	27
content	laŭd	赞	basic	11
content	laŭt	响	basic	17
content	litr	升	basic	7
content	lu	租	basic	17
content	luks	奢	basic	10
content	magazen	仓	basic	5
content	mantel	披	basic	13
content	membr	员	basic	19
content	meti	艺	basic	11
content	metr	米	basic	166
content	mild	柔	basic	9
content	mizer	惨	basic	8
content	mod	式	basic	14
content	mor	俗	basic	6
content	murmur	咕	basic	6
content	mut	哑	basic	10
content	nebul	雾	basic	23
content	nest	巢	basic	17
content	nud	裸	basic	22
content	nutr	养	basic	40
content	odor	气	basic	26
content	oportun	便	basic	12
content	oranĝ	橙	basic	14
content	organ	器	basic	59
content	origin	源	basic	10
content	ornam	饰	basic	22
content	pal	苍	basic	7
content	plac	场	basic	3
content	plan	划	basic	43
content	politik	政	basic	50
content	potenc	力	basic	23
content	prezid	主	basic	13
content	privat	私	basic	17
content	protest	抗	basic	11
content	prudent	慎	basic	12
content	radik	根	basic	41
content	rajd	骑	basic	24
content	rel	轨	basic	31
content	reprezent	表	basic	0
content	restoraci	餐	basic	4
content	ring	环	basic	49
content	riz	米	basic	30
content	ruz	狡	basic	10
content	sabl	沙	basic	28
content	scen	场	basic	16
content	sekund	秒	basic	9
content	sever	严	basic	7
content	signif	意	basic	15
content	sincer	诚	basic	7
content	soci	社	basic	29
content	societ	社	basic	14
content	solv	解	basic	31
content	sonĝ	梦	basic	15
content	spac	空	basic	29
content	ŝpar	省	basic	27
content	stomak	胃	basic	19
content	ŝtop	堵	basic	37
content	stult	愚	basic	5
content	suk	汁	basic	26
content	ŝuld	欠	basic	23
content	ŝultr	肩	basic	19
content	supoz	设	basic	14
content	surpriz	惊	basic	8
content	ŝvel	肿	basic	20
content	ŝvit	汗	basic	22
content	tabel	表	basic	24
content	taks	评	basic	24
content	task	务	basic	13
content	tem	题	basic	11
content	titol	题	basic	11
content	toler	忍	basic	20
content	tomb	墓	basic	17
content	tondr	雷	basic	9
content	traduk	译	basic	23
content	tur	塔	basic	30
content	urĝ	急	basic	22
content	valiz	箱	basic	4
