判定	語根	鏡像	意味	学習者版に誤り	理由
ACCEPT	eu^foni	良ᴱ声ᶠᴼ	美音・快い響き(euphony)。学術版47480 eu^foni/o:Belsoneco de la parolo(話しことばの美しい響き)。		★同綴別語の罠を実データで確認したうえで合格。fon には二層あり、正本map1802は content fon 底(背景fon/o⟦底ᶠᴼ⟧=背景・下地)だが、_homonym_disp.tsv 193行が fon/comb/声/声ᶠᴼ「音(phone)結合形 telefon/mikrofon等。背景fon=底はidx0で別」と定義。eu^/fon/i/o は fon が idx1(結合形)なので 声ᶠᴼ が発火し、学習者版47480 eu^/fon/i/o⟦良ᴱ/声ᶠᴼ/i/o⟧ の通り「良い+音」=euphony と語釈が一致する(背景の底ᶠᴼ を拾う誤りは起きていない)。良ᴱ はsidecar761 eu^=良ᴱ(学術版47475 eu^/⟦良ᴱ/⟧「良好・正常な状態や機能を示す接頭辞」)で、兄弟語 eu^/termi/o⟦良ᴱ/温ᵀᴿ⟧(正常体温)・eu^/bakteri/oj⟦良ᴱ/菌ᴮ⟧と整合。-i を落とすのは既存鏡像慣行どおり。sidecarに良ᴱ声ᶠᴼ は0件=衝突なし。
ACCEPT	franj	兄ᶠᴿ女ᴺ	fratino(姉妹)の愛称形「姉ちゃん」。PIV k13502「Karesformo de fratino」、PEJVO 12003「姉妹（親愛の呼びかけ）,=fratineto」。学術版12003はラテンのまま。		学習者版12003 fra/nj/o⟦兄ᶠᴿ/女ᴺ/o⟧。_homonym_disp.tsv:133 に sep で fra→兄ᶠᴿ が明示登録され、注記が『fra/nj/o⟦兄/女ᴺ/o⟧=姉ちゃん。既存の frat/in/o⟦兄/女/o⟧ の完全な鏡像。分節 fra は両版でこの2語にしか現れない』と自ら鏡像であることを述べている。成分所有権も確認: 兄裸=frat(basic F=30)/兄ᶠᴿ=fra、女裸=in(suf F=359)/女ᴺ=nj(pejvo F=2, sidecar 240行)。識別子込みなので両方とも一意復号。音訳要素なし、固有名でもない(A/njo・Ma/njo等の人名はラテン維持で正しく分離済み)。表面同形0件(学術/学習者/mapとも)。識別子整合性監査でも当該行は無違反。
ACCEPT	glicerid	甘油ᴳᶜ子	グリセリド(グリセロールのエステル)。学術版13028 `glicerid/o:【化】グリセリド`		学習者版13028 `glicer/id/o⟦甘油ᴳᶜ/子/o⟧`(偽分解(PIV正式分解)タグ付き)。glicer=甘油ᴳᶜ は sidecar に `"glicer" "甘油" "gc" "ᴳᶜ" "甘油ᴳᶜ" "piv" F=3` として正規登録。学術版48380 `glicer/o:Radiko, CH2OH-CHOH-CH2-, de glicerolo` と一致し、甘油は「甘い油」= グリセロールの中国語標準語で音訳ではない(R4適合)。id=子 は `suf id 子`(既定)。_homonym.tsv の id→化(bromid/klorid/sulfid 等の二元化合物系)の disc に glicerid は含まれないので、既定の 子 で正しく、同族の ozid(糖ᴼ/子)とも整合。「グリセロールの誘導体」で意味が導ける。同綴別語の混入なし。
ACCEPT	glukozid	糖ᴳ子	【化】グルコシド(配糖体のうち糖部分がグルコースのもの)。学術版48426『Heterozido, kies sakarida parto estas glukozo.』		①glukoz=糖ᴳ は sidecar 登録済(pejvo F=2)、糖群(suker無印/konfitᴷ/bombonᴮ/kandᴷᴰ/glukozᴳ/glukᴳᴸ/glikᴳᴵ/sakaridˢᴰ/glucidᴳᶜ)で ᴳ は一意。②id=子 は master `suf id 子`(F=108)で 子 群の無印所有者ゆえ、裸の 子 は id に一意に戻る(atom は 子ᴬ)。③重要な取り違えチェック: 化学の二元化合物 -id は別描画 化ᴵᴰ(学習者版16293 `jod/id/o⟦碘/化ᴵᴰ/o⟧`)だが、_homonym_disp.tsv 121行の disc リストは glukoz/id・oz/id を含まず、注記に「lanthanoid lantan/id·saccharide sakar/id(糖類)は二元化合物でないため除外」と明記=配糖体の -id は 子 が正しい。学習者版48426 の 糖ᴳ/子 は規約どおり。④意味の透明性: ozid/o の PIV 定義『Substanco, kies hidrolizo liveras unu au^ plurajn monosakaridojn』=加水分解で単糖を生む物質、すなわち「糖の派生体」ゆえ 糖+子(派生)は R4 を満たす。⑤衝突走査0件。留意(阻害要因ではない): 同族の ozid/o(学術版52912)・heterozid/o(48920) は学術版でラテンのまま。充填するなら 糖ᴼ子・异ᴴ糖ᴼ子 で family ごと埋めるのが整合的。
ACCEPT	heksacian	六ᴴᴬ青	ヘキサシアノ-(hexacyano-)=シアン化物イオン6個を配位子とする錯体の接頭部。学術版58353 heksacian/o/ferat/o⟦heksacian/o/铁盐/o⟧:ヘキサシアノ鉄(III)/(II)酸の塩。47702 ferician/o・47711 ferocian/o の同義語としても現れる。		学習者版58353 heksa/cian/o/fer/at/o⟦六ᴴᴬ/青/o/铁/盐ᴬ/o⟧を実確認。六ᴴᴬ はsidecar145 heksa=六ᴴᴬ(学術版48796 heksa/⟦六ᴴᴬ/⟧「物質が6個の原子・官能基・分子から成ることを示す接頭辞」——化学用途そのもの)、青 はsidecar8387 cian=青(学習者版4952 cian/o⟦青/o⟧=シアン、4951 cian/id/o⟦青/化ᴵᴰ⟧=シアン化物、46284 cian/at/o⟦青/盐ᴬ⟧)。六ᴴᴬ青=「六つのシアン(化物)」で語釈と一致=R4合格、音訳成分なし。既に学術版側に同型の語根鏡像 ferocian/o⟦铁青/o⟧(47711、学習者版は fer/o/cian/o⟦铁/o/青/o⟧)という先例があり、本件はその系列に整合する。数詞六は heksa の意味そのもの(音ではない)。sidecarに六ᴴᴬ青 は0件=衝突なし。
ACCEPT	ih^tiopterig	鱼ᴵᴴ̂翅ᴾᴳ	魚鰭類 Ichthyopterygia(中生代の海生爬虫類の目、魚竜を含む)。学術版49293 `ih^tiopterig/oj:【PIV】= iktiopterigoj.`→49312 `iktiopterig/oj:【動】【PIV】Ordo (Ichthyopterygia) de mezozoikaj maraj reptilioj, al kiu apartenas la fis^osau^roj.`		学習者版49293 `ih^tio/pterig/oj⟦鱼ᴵᴴ̂/翅ᴾᴳ/oj⟧`。両成分とも語根表の固定描画そのもの: sidecar 1648行 `ih^tio 鱼 iĥ ᴵᴴ̂ 鱼ᴵᴴ̂ piv`、6005行 `pterig 翅 pg ᴾᴳ 翅ᴾᴳ pejvo`。文脈上書き・inline rule は一切介在しない(_inject_final.ps1 に該当語のscoped規則なし)。Ichthyo-(魚)+pteryg-(鰭・翼)で語義「魚の鰭をもつもの」と厳密に一致し R4 透明。識別子ᴵᴴ̂/ᴾᴳ が付くため中国語の日常語「鱼翅(フカヒレ)」とも表示上一意に弁別される。姉妹語への申し送り: 正則綴りの `iktiopterig`(学術版49312)も同様にラテンのままで、学習者版49312は `iktio/pterig/oj⟦鱼ᴵᴷ/翅ᴾᴳ/oj⟧` なので、対の鏡像 鱼ᴵᴷ翅ᴾᴳ を同時に入れないと綴り異体間で被覆が割れる。
ACCEPT	iktiopterig	鱼ᴵᴷ翅ᴾᴳ	魚竜上目 Ichthyopterygia。学術版49312「Ordo (Ichthyopterygia) de mezozoikaj maraj reptilioj, al kiu apartenas la fis^osau^roj」= 中生代の海生爬虫類の目(魚竜が属する)。語源 ichthyo-(魚)+pterygia(ひれ)。		学習者版49312 iktio/pterig/oj⟦鱼ᴵᴷ/翅ᴾᴳ/oj⟧。(1) 鱼ᴵᴷ=iktio は sidecar 1602行(piv, F=2)、iktio/log/o(魚類学者)・iktio/logi/o・iktio/sau^r/o(魚竜)と同一描画で固定。(2) 翅ᴾᴳ=pterig は sidecar 6005行(pejvo, F=7)、aktin/o/pterig(条鰭類)・akant/o/pterig(棘鰭類)・a/pterig(キーウィ)・arkeo/pterig(始祖鳥)と同一。裸 翅=pter(sci F=18)とは識別子で分離済み。『魚のひれ』は Ichthyopterygia の語義そのもので R4 透明。分類群名は人名・地名でないので §7 非該当(本プロジェクトは生物名369件を漢字化済み)。h-system異綴 ih^tio/pterig は 鱼ᴵᴴ̂翅ᴾᴳ で別識別子=衝突なし。表面同形0。
ACCEPT	indigozid	蓝ᴵ糖ᴼ子	インジゴ植物のグルコシド(インジカン)、C14H17O6N・3H2O、インジゴの基。学術版49383 `indigozid/o:【化】【PIV】Glukozido de indigujo, hetero-ducikla, C 14 H 17 O 6 N, 3H 2 O, bazo de indigo.`		学習者版49383 `indig/oz/id/o⟦蓝ᴵ/糖ᴼ/子/o⟧`。indig=蓝ᴵ は学術版15196 `indig/o⟦蓝ᴵ/o⟧:【化】インジゴ（染料）,藍` で基本形一致(値する ind/ig=值/使 とは分節が別で衝突なし)。oz=糖ᴼ は _homonym.tsv の oz→糖 sep で disc に `indig/oz/id/o,indig/oz/id/az/o` が明示列挙(既定の 富、症状の 症 とは別)。id=子 は既定。「藍+糖+誘導体」= インジゴの配糖体で語義と一致。音訳成分なし。
ACCEPT	karafic	藻ᴷ藻ᶠᶜ	【植】シャジクモ綱(Charophyceae)/シャジクモ植物門=緑藻の一群、約250種。学術版50002 karafic/oj:Klaso (Charophyceae el klorofitoj) au^ filumo (Charophyta) de verdalgoj。		学習者版50002 kara/fic/oj⟦藻ᴷ/藻ᶠᶜ/oj⟧を実確認。分節は karaf/ic ではなく kara/fic であり、藻ᴷ はsidecar5448 kara=藻ᴷ(学習者版50001 kara/o⟦藻ᴷ/o⟧=シャジクモ属Chara)、藻ᶠᶜ はsidecar5446 fic=藻ᶠᶜ(学術版57285 -fic/⟦藻ᶠᶜ/⟧「藻類の綱名を作る接尾辞」)。カラフェ karaf/o⟦瓶ᴷ/o⟧(17174)を拾う取り違えは起きていない=同綴罠クリア。兄弟の bangi/fic⟦藻ᴮ/藻ᶠᶜ⟧(45641)・fuk/o/fic⟦藻ᶠ/o/藻ᶠᶜ⟧(48094)・ulv/o/fic⟦藻ᵁ/o/藻ᶠᶜ⟧(56587)・klor/o/fic⟦绿ᴷ/o/藻ᶠᶜ⟧(50428)と完全に同型で、-fic系の綱名システムに正しく合流する。sidecarに藻ᴷ藻ᶠᶜ は0件=衝突なし。
ACCEPT	karafit	藻ᴷ植ᶠ	【植】シャジクモ綱/門 Charophyceae / Charophyta(緑藻の一群)。学術版50003『Klaso (Charophyceae el klorofitoj) au^ filumo (Charophyta) de verdalgoj; 250 sp-oj el c^. 5−6 g-oj.』		①kara=藻ᴷ の接地確認: 学習者版50001 `kara/o⟦藻ᴷ/o⟧:【植】G. (Chara el karaacoj) de dolc^akvaj verdalgoj…` =属名 Chara そのものの見出しが存在し、藻ᴷ はその固定字。sidecar `kara 藻 k ᴷ piv F=1`、藻群(alg無印ほか24語根)で ᴷ は一意。②同綴取り違えの検査: 分節 kara は学習者版全体で kara/o・kara/fic/oj・kara/fit/oj の3語にしか現れず(grep実施)、形容詞 kara(=いとしい、語根 kar)や karaf/o⟦瓶ᴷ/o⟧(カラフ)とは分節が別(karaf は一塊)。よって silv/莺 型の取り違えは発生しない。③fit=植ᶠ は sidecar 登録済(pejvo F=10)、bri/fit/oj⟦苔ᴮ/植ᶠ/oj⟧ 等と一貫。④意味: Charophyta=「シャジクモ(藻)の植物門」で 藻ᴷ植ᶠ は逐語計算どおり。音訳要素ゼロ(Chara を音写せず最近縁の 藻 に寄せる=生物名グルーピング方針どおり)。⑤衝突走査0件。留意: 同語釈の兄弟 karafic/oj(学術版50002)も学術版ラテンのまま=学習者版は 藻ᴷ/藻ᶠᶜ。充填するなら対で。
ACCEPT	klavikord	键弦	クラヴィコード。学術版50372「Frua klavara instrumento kun frapataj kordoj, populara de la 15a g^is la 18a jc」= 打弦式の初期鍵盤楽器。語源 clavis(鍵)+chorda(弦)。		学習者版50372 klav/i/kord/o⟦键/i/弦/o⟧。両成分とも裸字の正所有者で、他語根との誤読が構造的に起きない稀な例: sidecar 4821行 klav=键(basic F=17, 裸字所有者)、4541行 kord=弦(basic F=16, 裸字所有者)。すなわち 键弦 は klav+kord 以外に復号しようがない(裸鏡像だが案Aが警戒する『成分が別語根の無印に読める』事態は発生しない)。「鍵+弦」は語釈 klavara instrumento kun frapataj kordoj と一直線に対応し R4 透明。表面同形0(学術版・学習者版・map の全描画に 键弦 は不在)。姉妹語 klavicen/o(チェンバロ)はラテンのままだが本件の可否には影響しない。識別子整合性監査で当該行は無違反。
ACCEPT	kromiat	金ᴷᴿ盐ᴬ	【化】クロム酸塩(chromate)。PIV k24507 kromi/o=クロム(元素Cr)の派生形 kromiato「Salo de kromiata acido, H2CrO4」。学術版50990はラテン、学習者版50990は kromi/at/o⟦金ᴷᴿ/盐ᴬ/o⟧		同綴別語の取り違えなし。kromi=クロム元素は _kanji_map_master.tsv:6565(pejvo kromi 金)+_identifier_sidecar.tsv:304(金ᴷᴿ)で確定。前置詞krom=外(map:73)とは _homonym.tsv:5 で明示分離済み(「krom/at=クロム酸塩→金/盐」と裁定済)。-at-は受動分詞の被(map:2680)ではなく化学塩接尾辞で、_inject_final.ps1:198/233 の行レベル判定$chemSaltLine(語釈に'Sal[oj] '/'酸塩'を含む)が発火し 盐ᴬ(_inline_tokens.tsv:19)になる。語釈が「Salo de ...」なので発火条件を実際に満たす。音訳なし・固有名なし・R4透明(クロム+塩→クロム酸塩)。★付随所見: _kanji_map_master.tsv:8591 に既存の piv dikromiat 二金盐 があるが、学習者版59506は di/kromi/at/o⟦二ᴰᴵ/金ᴷᴿ/盐ᴬ/o⟧ で識別子付き。案A(識別子込み)に合わせるなら dikromiat も 二ᴰᴵ金ᴷᴿ盐ᴬ に更新して版間整合を取るべき(本件のACCEPT自体は阻害しない)。同様に bi/kromi/at(59505)=二ᴮ/金ᴷᴿ/盐ᴬ も未充填候補。
ACCEPT	ksenartr	外ᴷˢ节ᴬᴿ	異節上目/貧歯目 Xenarthra(=Edentata)。歯が無いか琺瑯質の無い歯を持つ哺乳類の目で、ナマケモノ・アルマジロ・アリクイを含む。学術版51035 `ksenartr/oj:【動】【PIV】Ordo (Edentata, sin. Xenarthra) de mamuloj, sen dentoj au^ kun dentoj sen emajlo...`		学習者版51035 `ksen/artr/oj⟦外ᴷˢ/节ᴬᴿ/oj⟧`。ksen=外ᴷˢ は sidecar `"ksen" "外" "ks" "ᴷˢ" "外ᴷˢ" piv F=2` に正規登録され、同じ字で ksen/o/fob/o⟦外ᴷˢ/o/怕ᶠ⟧(外国人嫌悪)を描いている(元素 ksenon は 气ᴷˢ で別)。artr=节ᴬᴿ は学術版45348 `artr/o⟦节ᴬᴿ/o⟧:【医】Artiko (en kunmetaj^oj)`。Xenarthra の語源そのものが xeno-(異)+arthron(関節)= 異常な椎骨関節を持つことに由来するので、外+节 は逐語的に正しい。同綴別語の混入なし・音訳なし。分類群名なので §7 非該当。
